company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
OnScale,2021-11-01,https://www.onscale.app,"New York, New York, United States","Apps, Information Technology, Media and Entertainment, Mobile, Sales and Marketing, Software","Content Creators, Information Technology, Mobile Apps, Social Media Marketing",361426.0,"CRM and collaboration tool that enable talent management agencies to pitch brands, execute brand deals and manage talent rosters 10X faster",1-10,2.0,Seed,2022-04-01,0.0,Seed,0.0,2.0,1-10,Private,,,,,,2,2,2021,32052,False,False
Eastview Capital,2019-08-01,https://eastviewcap.com,"New York, New York, United States","Financial Services, Real Estate","Commercial Real Estate, Crowdfunding",795356.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,47129,False,False
Soothing Coin,2019-01-01,https://soothing.center,"Birmingham, Alabama, United States","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software","Cryptocurrency, Financial Services, Trading Platform",1524943.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,63732,False,False
Breck Partners,2019-01-01,https://www.breckpartners.com,"Frisco, Texas, United States","Data and Analytics, Professional Services","Business Development, Business Intelligence, Consulting",602549.0,Breck Partners is a private equity firm that provides consultants on investments in middle-market industrial companies with opportunities.,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,0.0,1.0,,6,5,2019,41497,False,False
Ferncreek Family Dentistry,2019-01-01,https://www.ferncreekdentistry.com,"Fayetteville, North Carolina, United States",Health Care,"Dental, Health Care, Hospital",2983945.0,"Ferncreek Family Dentistry offers dental implants, cosmetic procedures, and tooth extraction treatments. They provide root canal therapy, porcelain crowns, and implant dentures services.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,89327,False,False
Harper Coats,2019-01-01,https://harpercoats.com/,"New York, New York, United States","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","Consumer Goods, Fashion, Retail",141221.0,"Harper Coats makes modern outerwear at accessible prices so customers can fall in love with winter again. Harper fills the gap in their coat closets with timeless style, high-end construction, and machine-washable fill.",1-10,1.0,Seed,2019-06-28,515000.0,Seed,515000.0,1.0,1-10,Private,,,,,,0,5,2019,17565,False,False
Lyncwork,2019-01-01,https://lyncwork.com,"Lawrenceville, Georgia, United States","Administrative Services, Other","Human Resources, Professional Services, Staffing Agency",1169421.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,55625,False,False
OakSpy Signs & Graphics,2021-01-01,https://oakspysignsandgraphics.com,"North Richland Hills, Texas, United States","Advertising, Sales and Marketing",Advertising,2587417.0,"OakSpy Signs & Graphics is your local Fort Worth Sign Company! Our specialty lies in the areas of sign design, manufacturing, installation, and maintenance. We are committed to designing signs that help our clients to promote their offerings and communicate effectively with their customers. We believe in providing unique solutions that elevate the level of visual communication and leave a lasting impression on the patrons.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,83079,False,False
Untangl,2021-03-01,https://untangl.net/,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Software",575523.0,"The Untangl mission is simple - create the best customer and employee experiences by making the complex simple.   At Untangl, we are at the forefront of building AI-based products and services that change the way companies structure customer experiences and contact centers. We accomplish this by aligning human-machine interactions in ways that drastically improve customer journeys. Our tools evolve transactional data into meaningful context and prescriptive actions, empowering all levels of your business.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,3,2021,40613,False,False
Vikk AI,2021-03-03,https://vikk.ai,"Long Beach, California, United States","Apps, Artificial Intelligence (AI), Professional Services, Software","Apps, Consumer Software, Generative AI, Legal Tech, SaaS",78448.0,"Vikk AI – Your Standby Legal Assistant Have you ever found yourself in need of legal help but didn't know where to start? Introducing Vikk AI - an innovative legal assistant designed to provide immediate, personalized legal guidance straight from your pocket.  WHY VIKK AI? - Instant Legal Assistance: Get answers to your legal queries anytime, anywhere. Vikk AI is available 24/7 to provide you with insights tailored to your unique situation and jurisdiction. - Tailored Advice: Whether it's a family dispute, a work-related issue, or questions about immigration, Vikk AI's conversational interface offers advice specific to your local state laws. - Privacy-Centric: We prioritize your privacy. Your conversations and case details are confidential and encrypted.  - Diverse Legal Specialties: Our AI understands a broad range of legal areas - from injury and immigration to business law and intellectual property. - Connect with Real Lawyers (coming soon!): Need more than advice? Vikk AI will seamlessly connect you with a lawyer who can take your case further, ensuring you have the right representation when it matters most. FEATURES: - Interactive Chat: Discuss your legal concerns through a user-friendly chat interface. - Case Summarization: Vikk AI summarizes your case details for your record or to share with lawyers for a consultation. - Lawyer Marketplace (coming soon): With your consent, access a network of legal professionals ready to assist you. - Document Analysis (coming soon): Upload documents for Vikk AI to review and provide initial guidance. Constant Learning: Our AI continuously evolves, learning from interactions to provide more accurate and relevant advice. SECURE,SMART AND READY TO ASSIST Our technology is enabled by cutting-edge AI, leveraging our proprietary data, and systems to offer unparalleled legal support. Join thousands of users who are navigating the legal landscape more confidently with Vikk AI. DOWNLOAD VIKK AI FOR FREE Start your legal journey with Vikk AI today – your first step towards hassle-free legal clarity.  WE'RE HERE FOR YOU Our mission is to make legal help accessible for everyone. If you're facing legal uncertainty or simply need quick advice, talk to Vikk. We're here to change the way you think about legal support. CONNECT WITH US We're constantly working to improve your experience with Vikk AI. If you have any feedback or questions, please reach out to us at hello@vikk.ai HERE ARE A FEW FAQ’s: WHAT IS VIKK AI? Vikk is an on demand generative AI legal assistant where you can discuss your case detail in human like interactions. IS VIKK A LAWYER? No ! Vikk is not lawyer nor a law firm. Vikk does not give legal advice but gives you legal assistance. Is VIKK FREE TO USE? Yes! Vikk is free to use for you the consumer.  There are daily account and platform limits that may interrupt a chat. WHAT STATES DOES VIKK COVER? Vikk will answer questions covering the entire 50 United States and will tailor its answer based on the jurisdiction you are in. Vikk will also answer federal case subjects like IP and Bankruptcy. CAN I TALK TO VIKK IN OTHER LANGUAGES? Not yet ! While Vikk is able to understand other languages our first release is in English. We will roll out other languages in future releases. IS VIKK AVAILABLE FOR OTHER COUNTRIES BESIDES USA? Not yet. Vikk is currently trained on laws of the United States of America only. TALK TO VIKK NOW ! Download Vikk AI and step into a world where legal help is always in your pocket. Developer: Law Zebras Inc. Vikk AI harnesses the power of AI to deliver immediate legal assistance and guide you through ""what if's"" or urgent help in any legal categories in all 50 states.",1-10,2.0,Seed,2023-07-05,200000.0,Pre-Seed,375000.0,1.0,1-10,Private,,,,,,0,3,2021,10638,False,False
NAVoX,2022-01-01,https://navoxllc.com,"Louisville, Kentucky, United States","Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Software","Analytics, CRM, Customer Service",1995552.0,"NAVoX LLC operates as a 24/7 navigation center that provides outbound call campaigns. The company's services are primarily focused on analytics, customer relationship management (CRM), and customer service. NAVoX's operations are overseen by Chief Operating Officer Cindy Roney, RN, BSN, who has extensive experience in post-acute care. The company's services are designed to assist clients in managing and improving their customer interactions and relationships.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,71921,False,False
Livin in Vegas,2021-01-01,https://www.livininvegas.com,"Las Vegas, Nevada, United States","Content and Publishing, Media and Entertainment","Content, Media and Entertainment, News",2777218.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,86389,False,False
Vision RNG,2021-01-01,https://visionrng.com,"Canonsburg, Pennsylvania, United States","Energy, Natural Resources, Real Estate, Sustainability","Construction, Oil and Gas, Sustainability, Waste Management",341720.0,"Vision RNG specialises in waste management and natural gas infrastructure. They provide solutions for capturing landfill emissions for conversion into sustainable, renewable products. They use proven LFG technologies and processes in the natural gas sector.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,31031,False,False
SKU CANDY,2022-04-20,https://www.skucandy.com/,"Seattle, Washington, United States","Commerce and Shopping, Other","B2B, Marketplace, Retail, Wholesale",1315502.0,"SKU CANDY is the premiere, wholesale, B2B marketplace that focuses exclusively on the Outdoor, Lifestyle & Adventure space, it's where ""Brands Meet Buyers"" and smart business gets done. Whether you're a new brand looking to crack the code for going to market, or an established brand looking to affordably and efficiently enable online wholesale business, we've built SKU CANDY for you and the challenges we've personally faced and the ones you've told us are the most important and biggest obstacles to your success. Buying habits have changed, innovation is still in demand. Welcome to the new age, the age of simplicity and efficiency, welcome to SKU CANDY.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,2.0,,6,1,2022,58290,False,False
Hemato.AI,2022-10-04,https://hemato.ai,"Bethesda, Maryland, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Health Diagnostics",312207.0,"Hemato.AI is on a mission to automate the manual microscopy part of specialist doctors who look at blood and other bodily samples under a microscope.  Hemato.AI is a hosted AI service that reads blood film images to detect diseases. It can be used for the detection of parasitic infectious diseases, anemias, various hematological disorders, and hematological malignancy; some examples include malaria, sickle cell disease, leukemias or anemias due to nutritional deficiencies.  Through the power of AI, we can provide fast, affordable healthcare, and help hematopathologists focus on cases that need their ingenuity the most.",1-10,0.0,,,0.0,,0.0,4.0,1-10,Private,,,,,,6,1,2022,29443,False,False
Front Door Residential,2020-01-01,https://www.frontdoorresidential.com,"Newport Beach, California, United States","Commerce and Shopping, Real Estate","Property Management, Real Estate, Rental, Residential",2301442.0,Front Door Residential is a property management and real estate company. They renovate homes to provide amenities and enhanced comfort. They help clients find home that fits their needs.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,78224,False,False
Universal Reach Group,2019-01-01,https://www.universalreachgroup.com,"Dallas, Texas, United States","Financial Services, Professional Services, Real Estate, Sales and Marketing","Consulting, Digital Marketing, Financial Services, Real Estate Investment",1509924.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,62469,False,False
The AGC™,2019-01-01,https://advisorgc.com,"San Diego, California, United States",Financial Services,Financial Services,1452425.0,The AGC®  is a virtual community of financial advisors committed to personal and professional development alongside their peers.,1-10,0.0,M&A,,0.0,,0.0,,1-10,Private,,,,,,5,5,2019,61993,False,False
Scour.ai,2020-01-09,http://www.scour.ai,"Los Angeles, California, United States","Administrative Services, Information Technology, Internet Services, Other, Software","Cloud Data Services, Collaboration, Enterprise Software, Knowledge Management, Productivity Tools, SaaS, Search Engine, Software",392732.0,"Scour.ai is a unified enterprise search engine for finding what you need, across cloud applications. Scour is available as SaaS or On-Prem. Scour is in stealth mode. The company is based on 3 years of R&D.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,33526,False,False
Lemon Squeezy,2020-03-01,https://lemonsqueezy.com,"Salt Lake City, Utah, United States","Commerce and Shopping, Internet Services, Software","E-Commerce Platforms, SaaS, Software",125570.0,"Lemon Squeezy is how SaaS, software companies, and digital creators sell globally online. We handle every payment need, from subscription management to tax collection and remittance, fraud protection — and much more.",11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,4,2020,16039,False,False
Home Improvement Consultants,2019-01-01,https://homeimprovementconsultants.us,"Miami, Florida, United States","Professional Services, Real Estate","Consulting, Home Improvement, Home Services",2962004.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,88185,False,False
Sunflower Counseling Center,2020-01-01,https://www.sfcounseling.org,"Stockbridge, Georgia, United States","Health Care, Other, Professional Services, Social Impact","Consulting, Non Profit, Personal Health, Therapeutics",1889171.0,"Sunflower Counseling Center operates in the healthcare industry, providing mental health services. The center offers both virtual and in-person counseling sessions, catering to a wide range of mental health needs. They are committed to ensuring that every individual's story is heard and understood, providing a safe and supportive environment for their clients. The center also encourages volunteer participation, further fostering a community of support and understanding. Contact can be made through phone or email for more information or to schedule a session.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,70524,False,False
Critical Fault,2021-01-01,https://criticalfault.com,"Edmond, Oklahoma, United States","Information Technology, Privacy and Security, Professional Services","Cyber Security, Network Security, Risk Management",562955.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,40166,False,False
The Real Estate Dudes,2019-01-01,https://realestatedudes.com,"Southington, Connecticut, United States","Commerce and Shopping, Real Estate","Property Management, Real Estate, Rental, Residential",2879181.0,"The Real Estate Dudes is a team of realtors that provides services in the property management, real estate, rental, and residential sectors. The company offers sales and rental services, helping clients navigate the real estate market. The team is motivated and dedicated to assisting clients with their real estate needs. They also provide a platform for property buyers and sellers to rate their experiences, fostering transparency and trust. The company also values privacy, ensuring the personal information of clients is well-protected.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,87949,False,False
Sprekk Supply Group,2019-11-01,https://sprekksupplygroup.com/,"Rockford, Illinois, United States","Health Care, Sales and Marketing, Software","Health Care, Lead Generation, Medical Device, Sales, Software",1434856.0,Sprekk Supply Group is a medical technology and lead generation software company focused on accelerating the use of cutting-edge medical technology for pain treatments. Sprekk actively distributes for Enso Relief and Victory Medical across the Midwestern United States. Sprekk Supply Group also licenses it proprietary lead generation software to non-competing medical device companies.,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2019,60756,False,False
