company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Vault Media Group,2019-01-01,http://vaultmediagroup.com/,"Westlake Village, California, United States",Media and Entertainment,Media and Entertainment,120864.0,"Vault Media Group is a media platform that creates publications, digital content and immersive experiences with global brands and icons from sports and entertainment.",1-10,1.0,,2019-10-08,3400000.0,Debt Financing,3400000.0,1.0,1-10,Private,,,,,,1,2019,15564,False,False
Titan Workspace,2020-01-01,https://titanworkspace.com,"Richardson, Texas, United States","Information Technology, Other, Software","Document Management, Professional Services",487928.0,,51-100,,,,,,,1.0,51-100,Private,,,,,,6,2020,37467,False,False
Hudson Valley Professional Development,2019-01-01,https://www.hudsonvalleyprofessionaldevelopment.com,"New Paltz, New York, United States","Education, Health Care","Education, Health Care, Mental Health, Training",974814.0,,11-50,,,,,,,,11-50,Private,,,0.0,0.0,,6,2019,51731,False,False
KreditForce,2019-01-01,https://kreditforce.com,"Boston, Massachusetts, United States","Financial Services, Lending and Investments, Media and Entertainment","Advice, Banking, Credit, Financial Services",858486.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,48833,False,False
NOVAM,2018-01-01,https://www.novam.ai/,"Dallas, Texas, United States","Consumer Electronics, Hardware, Information Technology, Privacy and Security","Computer, Network Security",933132.0,,1-10,1.0,,2019-05-15,,Non-equity Assistance,,,1-10,Private,,,,,,3,2018,50706,False,False
Mostlygreen.life,2020-01-01,https://mostlygreen.life,"Austin, Texas, United States","Community and Lifestyle, Professional Services","Communities, Environmental Consulting",3020587.0,"Mostlygreen.life is a community of people trying to do all the things that wants to achieve greater health and wellness.  It was founded in 2020 and is located in Austin, Texas.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2020,88855,False,False
aJust Solutions,2021-01-01,https://ajustsolutions.com/,"Menlo Park, California, United States","Financial Services, Health Care","Health Care, Insurance, Medical",142921.0,"AJust Solutions provides solutions for all types of healthcare insurance claims. The company was founded in 2021 and is headquartered in Menlo Park, California, United States.",1-10,6.0,,2023-03-01,75000.0,Undisclosed,175008.0,,1-10,Private,,,,,,1,2021,17700,False,False
Gumshoe,2023-06-30,http://gumshoe.co,"Redwood City, California, United States","Commerce and Shopping, Privacy and Security","Marketplace, Security",490626.0,"Finding a skilled and trustworthy private investigator can be challenging, time-consuming and expensive. Not anymore! Gumshoe is an AI-powered marketplace that aims to revolutionize the private investigation industry, by connecting clients with a curated network of licensed private investigators.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2023,37576,False,False
SmartPoint Solutions,2018-01-01,http://smartpointsolutions.us,"Richmond, Virginia, United States",Professional Services,Consulting,772789.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,46509,False,False
DemandGrabber,2020-01-01,https://demandgrabber.com,"Orlando, Florida, United States","Apps, Design, Mobile, Sales and Marketing, Software","Digital Marketing, Lead Generation, Mobile Apps, Web Design, Web Development",792098.0,"DemandGrabber offers leads generation, appointment setting, data services, sales prospecting processes, digital marketing, content, mobile application development, e-Commerce platforms services, and business solution services.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,47047,False,False
K&K Skin Products,2018-01-01,https://kkskinproducts.com/,"Albuquerque, New Mexico, United States","Health Care, Manufacturing, Other","Consumer, Manufacturing, Personal Health",157443.0,"K&K Skin Products is a skincare company that combines pure, premium oils with a cutting edge patent-pending molecule.",1-10,1.0,,2022-03-31,25000.0,Grant,25000.0,,1-10,Private,,,,,,1,2018,18881,False,False
Brians club,2022-04-04,https://briansklub.cm/,"Freehold, New Jersey, United States","Financial Services, Payments, Professional Services","Business Development, Payments",195462.0,"Discover the best dumps and CVV2 shop at Brianssclub.cc. Experience the best security, reliability and customer service with Brianssclub.cc to make your online purchases safe and secure.",11-50,,,,,,,,11-50,Private,,,,,,6,2022,21783,False,False
Strike Labs,2018-01-01,https://www.strikelabs.io,"Fairfield, Connecticut, United States","Information Technology, Internet Services, Other","Information Technology, Internet, Technical Support",1565018.0,Strike Labs creates and deploys advanced technical solutions within days to a few months for small groups of mission-specific experts focused on national security and scientific advancement.,1-10,,,,,,,,1-10,Private,,,,,,6,2018,64495,False,False
Global Tech Council,2018-06-06,https://www.globaltechcouncil.org/,"Menlo Park, California, United States","Education, Information Technology, Professional Services","Career Planning, Higher Education, Information Technology",547201.0,"Global Tech Council is a platform bringing techies from all around the globe to share their knowledge, passion, expertise and vision on various in-demand technologies, thereby imparting valuable credentials to individuals seeking career growth acceleration.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,39638,False,False
GW Ridge,2019-01-01,https://gwridge.com,"Canonsburg, Pennsylvania, United States","Energy, Manufacturing, Other, Real Estate","Construction, Energy, Industrial, Infrastructure",497181.0,"GW Ridge is a provider of energy infrastructure solutions focused on midstream services. It drives down project costs, produces modernized solutions, improves forecasting and grants full transparency. The company was founded in 2019 and is headquartered in Canonsburg, PA.",251-500,1.0,Private Equity,2019-07-01,,Private Equity,,,251-500,Private,,,,,,2,2019,37786,False,False
Zain Ventures,2020-01-01,https://zain-ventures.com,"San Francisco, California, United States","Financial Services, Lending and Investments, Real Estate","Angel Investment, Hedge Funds, Real Estate Investment",313144.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2020,29506,False,False
How to Help,2018-01-01,https://www.howtohelp.co,"New York, New York, United States","Content and Publishing, Government and Military, Information Technology, Media and Entertainment","CivicTech, Digital Media, Media and Entertainment, News, Publishing, Social News",285252.0,"If you're like us, your digital life is one big, fast news feed. Some of this news is messed up. How to Help works in the news cycle to connect you with ways to do something about the day's big stories.",1-10,1.0,,2018-01-25,30000.0,Non-equity Assistance,30000.0,2.0,1-10,Private,,,,,,1,2018,27876,False,False
