company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Night Life Crypto,2020-01-01,https://nightlifecrypto.com,"Largo, Florida, United States","Blockchain and Cryptocurrency, Financial Services, Gaming, Other","Blockchain, Finance, Gaming",167956.0,Blockchain based gaming platform without the transaction fees.,11-50,3.0,Early Stage Venture,2021-05-01,382750.0,Series A,968750.0,1.0,11-50,Private,,,,,,0,2020,19711,False,False
Ewing Tools,2022-11-01,https://www.ewingtools.com/?utm_source=crunchbase&utm_medium=about-website,"Dallas, Texas, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Marketplace, PaaS, Property Management, PropTech, SaaS",109016.0,"Ewing Tools is one of those rare companies that has managed to revolutionize a large market that is difficult to innovate in, by combining software and hardware breakthroughs to create unparalleled technology for non-intrusive damage prevention and aboveground mapping. It continues to lead a complete reinvention of damage prevention for commercial properties, hotels, hospitals, stadiums, and more while automating operations through its innovative platform and plans to further bolster its competitive edge by developing a marketplace for third-party developers and businesses. It operates with a unique intensity, leading to incredible market and product velocity. The solo founder is clearly on a mission to build today's future.",1-10,1.0,Seed,2022-11-01,260000.0,Pre-Seed,260000.0,1.0,1-10,Private,,,,,,0,2022,14293,False,False
Animo Sano Psychiatry,2021-01-01,https://animosanopsychiatry.com/,"Durham, North Carolina, United States",Health Care,Health Care,2334541.0,"Animo Sano Psychiatry treats a wide range of behavioral health conditions, including Depression and Anxiety, Post Traumatic Stress Disorder (PTSD), Obsessive Compulsive Disorder (OCD), and sleep disorders, among others. In addition to the treatment of these noted conditions, Animo Sano Psychiatry also operates an ADHD Specialty Clinic.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,79262,False,False
Mensura Health,2022-01-01,https://mensurahealth.com/,"Newton, Massachusetts, United States","Health Care, Information Technology","Health Care, Health Diagnostics, Information Technology",118758.0,"Mensura Health is an early-stage company dedicated to finding practical solutions for rapid and accurate therapeutic drug monitoring (TDM) of small molecule drug levels at the point of care (PoC). In diseases where TDM in patients can dramatically improve the effectiveness of existing medications, the availability of highly accurate, rapid PoC options can greatly contribute to amelioration of morbidity and dramatic improvements in quality of life for patients. The initial focus of the company is on epilepsy. Mensura Health, Inc., was founded several years ago by a small group of academic, biotech industry and finance professionals dedicated to improving PoC TDM. Our detection platform employs electrochemical-based biosensors using cutting-edge aptamer technology.",1-10,1.0,Seed,2022-10-10,850000.0,Seed,850000.0,,1-10,Private,,,,,,0,2022,15340,False,False
QPathology,2018-01-01,https://qpathology.com ,"Boston, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Clinical Trials, Health Care, Medical, Precision Medicine",751745.0,"QPathology develops a global ecosystem for precision medicine for biotechnology companies. The company connects healthcare professionals, biomedical companies, physicians, and researchers to make opinions amongst each other about the diagnosis and treatment of any particular condition. Doctors can take suggestions from other doctors from the emergency room through this platform. It has developed a tissue microarray biobank for research purposes.",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,45918,False,False
Rock The Bells,2018-01-01,https://www.rockthebells.com/,"Los Angeles, California, United States","Clothing and Apparel, Commerce and Shopping, Design, Sales and Marketing","E-Commerce, Fashion, Sales",16834.0,Rock The Bells is an online store for hip-hop culture merchandise.,1-10,2.0,Early Stage Venture,2023-04-17,15000000.0,Series B,23000000.0,2.0,1-10,Private,,,,,,0,2018,759,False,False
Vape-Jet,2019-03-01,https://vape-jet.com/,"Tigard, Oregon, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Food and Beverage, Hardware, Health Care, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Cannabis, Computer Vision, Machine Learning, Machinery Manufacturing, Software",118999.0,"Founded in May 2019, Vape-Jet merges a pharmaceutical-grade fluid handling system with advanced machine vision alignment. Software driven design allows for precise tuning on every aspect of operation, and full web capability allows you to control the system via any internet-enabled device. Configuration profiles can be easily created, updated and saved for different product types, allowing for quick and easy batch changes. Three independently controlled heat zones provide stable and precise temperatures, ensuring reliable and accurate fluid dispensing. Individual cartridge fill data reporting with photo verification provides traceability and quality assurance. Machine vision alignment allows fills direct to shipping trays, without the need to transfer into a jig. Our expert team of in-house engineers are available for support via live-chat, phone, and email. As your company and goals evolve, we will adapt with your vision. We create customized support and maintenance packages to align with current initiatives, and future growth. Vape-Jet is cash flow positive and profitable in 2020, approximately a year after inception.",11-50,1.0,Seed,2019-12-01,45000.0,Pre-Seed,45000.0,3.0,11-50,Private,,,,,,0,2019,15371,False,False
InoBrix,2021-01-01,https://inobrix.com,"Irving, Texas, United States","Information Technology, Professional Services, Software","Consulting, Enterprise Resource Planning (ERP), Information Technology",2663641.0,"InoBrix is a digital technology company that provides SAP implementation, consulting, and assessment services. Their ERP consulting services include project management, ongoing support, change management, materials management, production planning, and more.",11-50,,,,,,,,11-50,Private,,,,,,6,2021,84965,False,False
Subsea Coating Technologies,2018-01-01,http://subseacoat.com/,"Houston, Texas, United States","Energy, Manufacturing, Natural Resources, Other, Science and Engineering","Chemical Engineering, Industrial Engineering, Manufacturing, Oil and Gas, Service Industry",1288329.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,58875,False,False
Maker Fiesta,2018-10-01,https://makerfiesta.com/,"Los Gatos, California, United States","Artificial Intelligence (AI), Data and Analytics, Software",Machine Learning,2229264.0,"We believe that Learning via Play can transform Education. Our Machine Learning Knowledge Graph platform uses Educational content and Custom Game engines to create Immersive Educational Game Experiences. GyanQuest Adventure game is an immersive 3D Game environment with Educational content. Students play the game as ‘Sam,’ an alien sent to explore Earth and learn everything about it. Using Role Playing Game elements like immersive story lines, interact-able elements, character progression, rewards along with highly curated Educational content – We create a fun environment where students can Play and Learn. Navigate different spaces to learn different concepts inside a game in a fun manner. Complete quests to earn rewards and earn bragging points. This game fits well with the concept of online distance learning and allows students to independently complete their assignments remotely.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,77761,False,False
