company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Dispensites,2019-01-01,https://dispensites.com/,"Phoenix, Arizona, United States","Community and Lifestyle, Food and Beverage, Health Care, Software","Cannabis, Software",2719414.0,,1-10,,,,,,,3.0,1-10,Private,,,,,,6,2019,85719,False,False
Collective,2021-01-01,https://collective.xyz,"Atlanta, Georgia, United States","Blockchain and Cryptocurrency, Community and Lifestyle, Financial Services, Internet Services, Payments, Software","Communities, Cryptocurrency, Online Forums, Web3",307252.0,"Collective is a web3-native platform that provides a token-gated forum for conversation, knowledge-sharing, and governance to each NFT community. Their mission is to empower every NFT community.  Collective was founded in 2021.",11-50,1.0,Seed,2023-01-01,,Seed,,,11-50,Private,,,,,,2,2021,29150,False,False
Clotheslyne,2021-01-01,https://www.clotheslyne.com/,"Goshen, New York, United States","Clothing and Apparel, Commerce and Shopping","E-Commerce, Laundry and Dry-cleaning, Marketplace",278144.0,ClothesLyne provides a Manhattan level laundry outsourcing experience to the rest of the country where laundry outsourcing isn't as easy. Our marketplace allows customers to bond with local gig workers who supply concierge-level laundry services via a personalized digital marketplace. ClothesLyne is repairing the broken gig economy by facilitating a gig worker experience that builds long-term relationships and provides livable wages.,1-10,1.0,Seed,2022-02-01,,Pre-Seed,,1.0,1-10,Private,,,,,,2,2021,27477,False,False
Mother Science,2021-01-01,https://www.motherscience.com,"Los Angeles, California, United States","Consumer Goods, Health Care","Beauty, Cosmetics, Personal Health",26944.0,Mother Science is a revolutionary biotech beauty brand company develops next-generation skincare treatments.,1-10,1.0,Seed,2022-11-01,6200000.0,Seed,6200000.0,,1-10,Private,,,,,,0,2021,2683,False,False
Belvista Software,2019-01-01,https://belvistasoftware.com,"Rochester, New York, United States","Administrative Services, Other, Professional Services, Software","Consulting, Project Management, Software, Web Development",620038.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2019,42062,False,False
Billings Leadership Foundation,2018-01-01,https://www.billingslf.org,"Billings, Montana, United States","Administrative Services, Education, Financial Services, Other, Social Impact","Financial Services, Human Resources, Non Profit, Training",1805868.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,69044,False,False
Empower Behavioral Services,2018-01-01,https://www.empowerbehavioralservices.com,"Cedar Grove, New Jersey, United States","Administrative Services, Education, Professional Services","Business Development, Human Resources, Training",3012103.0,"Empower Behavioral Services offers improving interpersonal relations, team building, resolving interpersonal conflict, communication problems, bullying, harassment/discrimination, retention issues, absenteeism, presenteeism, performance issues, and fragmented teams.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,88981,False,False
Webmint,2021-10-25,https://w3bmint.xyz/,"Wilmington, Delaware, United States","Blockchain and Cryptocurrency, Information Technology, Internet Services, Software","Information Technology, Internet, Software, Web Development, Web3",346841.0,"SaaS tool for creators, artists, musicians, SMEs, DAOs, clubs and other organized groups to build and grow their web3 communities.  Users can seamlessly generate, sell and manage NFTs within minutes, and access tools to continue building their communities, including access to an ecosystem of other web3 partners and projects, ERC-20 token creation, staking, giveaways portals, and on-chain and off-chain analytics.",1-10,,,,,,,,1-10,Private,,,0.0,1.0,,6,2021,31328,False,False
Sonosa Medical,2019-01-01,https://www.sonosamedical.com/,"Baltimore, Maryland, United States",Health Care,"Health Care, Medical, Medical Device",499344.0,"Sonosa Medical provides solutions for those who suffer from Obstructive Sleep Apnea. The company was founded in 2019 and is headquartered in Baltimore, Maryland, United States.",1-10,,,,,,,,1-10,Private,,,,,,6,2019,37866,False,False
WOXO,2020-01-04,https://woxo.tech,"Miami, Florida, United States","Advertising, Information Technology, Media and Entertainment, Sales and Marketing, Software","Advertising, Content Creators, Content Marketing, Information Technology, Marketing Automation, Software",352461.0,"WOXO is an AI-driven content creation and distribution platform aiming to redefine the digital content landscape. We empower creators with intuitive tools, engineer personalized content using cutting-edge AI, and deploy our Purposeful Content API to infuse existing platforms with more meaningful content.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2020,31595,False,False
