company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
KOBIND.COM,2020-10-06,https://kobind.com ,"Dover, Delaware, United States","Commerce and Shopping, Internet Services, Real Estate","E-Commerce, Internet, Real Estate",2372073.0,"Kobind.com is a global business and networking platform where buyers and sellers can freely participate and collaborate to buy and sell anything (goods and services) in both a B2B and B2C format. It's akin to a ""one-street global shop,"" where buyers and sellers can meet and keep in touch for future business opportunities.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,80184,False,False
The CAM Collective,2022-05-12,https://camcollective.com,"Chicago, Illinois, United States","Other, Professional Services, Real Estate","Association, Consulting, Management Consulting, Real Estate",2965924.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,1,2022,88146,False,False
Clearly Basics,2019-01-01,https://tryclearly.com,"Carrboro, North Carolina, United States","Commerce and Shopping, Consumer Goods, Manufacturing","Beauty, Cosmetics, E-Commerce, Manufacturing",1071490.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,53226,False,False
Helping Fido,2020-08-02,https://helpingfido.com,"San Mateo, California, United States","Community and Lifestyle, Content and Publishing, Media and Entertainment","Pet, Publishing",1855965.0,"At Helping Fido we are all about helping people build the best possible relationship with their dog by poviding readers with information on dog nutrition, training, toys, and a variety of other topics that realate to raising a dog. We’re focused on creating an online informational hub for dog owners to learn everyting they need to raise a healthy and healthy canine, or at least direct them to helpful resources.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,69627,False,False
Beyond Recovery,2020-01-01,https://beyondrecoverytreatment.com,"Boynton Beach, Florida, United States",Health Care,"Addiction Treatment, Health Care, Medical, Personal Health, Rehabilitation",769028.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,46410,False,False
Pista,2020-03-01,https://usepista.com,"Avon, Ohio, United States",Software,"SaaS, Software",1202604.0,"Most advertising platforms out there don't correctly attribute sales, especially if a business is running multiple ads. Pista fixes this by easily plugging directly into various platforms and showing the actual results.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,56252,False,False
PinProps,2018-05-01,https://www.pinprops.com/,"Wichita, Kansas, United States","Financial Services, Real Estate","Commercial Real Estate, Finance, Real Estate, Real Estate Investment",200038.0,"PinProps is the digital real estate investment partner, using machine learning algorithms to connect investors with properties and help them better predict the market. PinProps aims to make real estate more liquid and change how investors buy, sell, and understand real estate.",1-10,1.0,Seed,2018-06-01,1000000.0,Seed,1000000.0,2.0,1-10,Private,,,,,,0,5,2018,22123,False,False
Apipheny,2020-01-01,https://apipheny.io,"San Francisco, California, United States","Data and Analytics, Information Technology, Platforms, Software","Analytics, Data Integration, Developer APIs, Google, Software",413316.0,"Apipheny is a Google Sheets add-on that allows you to import APIs into Google Sheets in just a few clicks. No scripts or coding required. Apipheny is perfect for data analysts, marketers, and agency owners who need to pull APIs into Google Sheets to create reports and dashboards. It's a great alternative to expensive data integration and data visualization platforms.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,34447,False,False
TuneFlo,2022-01-01,https://tuneflo.io,"Boulder, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Media and Entertainment, Music, SaaS, Software",637252.0,"TuneFlo stands as the premier ally for unlocking fresh revenue streams in the dynamic global music landscape, propelled by an AI-driven SaaS solution. This state-of-the-art technology empowers music entities to initiate the delivery of their catalog, lyrical compositions, artwork, and comprehensive marketing endeavors without relinquishing artist ownership to external parties. This ensures that labels and artists can channel their energy and resources more towards the heart of their craft: the music and its creators. With TuneFlo's innovative platform, music professionals globally can: - Seamlessly compose, organize, and distribute lyrics, efficiently manage their expansive catalog, and make their music accessible on a plethora of digital service platforms (DSPs) such as Spotify, Amazon Music, Apple Music, YouTube, Deezer, Tidal, Facebook, TikTok, and countless others. - Acquire analytics from total streams, plays and engagement on all social media platforms via API and monitor royalties and revenue. - Consolidate and oversee all royalty statements and revenue streams from their clientele within a singular, user-friendly platform. - Generate album artwork and maintain 100% rights to all compositions of lyrics, music, and artwork. TuneFlo, originally established as a music distributor, has expanded its expertise over the past decade. Our experienced team has a deep understanding of the music industry's complexities. We proudly offer independent music entities a specialized creation, delivery, and analytical platform solution, catering to their unique needs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,42621,False,False
Aventi Enterprises,2019-01-01,https://www.aventienterprises.com,"Columbus, Ohio, United States","Commerce and Shopping, Education, Financial Services, Professional Services","Consulting, E-Commerce, Finance, Training",2268845.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,77128,False,False
