company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
Marmon Link,2019-01-01,https://www.marmonlink.com,"Brooklyn Park, Minnesota, United States",Transportation,"Logistics, Shipping, Supply Chain Management",664356.0,,51-100,,,,,,,,51-100,Private,,,,,,6,2019,43435,False,False
MAX Surgical Specialty Management,2022-01-01,https://max-sss.com,"River Edge, New Jersey, United States",Health Care,"Health Care, Hospital",226062.0,,101-250,1.0,Private Equity,2023-05-08,,Private Equity,,,101-250,Private,,,0.0,0.0,,2,2022,24098,False,False
PEI Global Partners,2022-01-01,https://peigp.com,"New York, New York, United States","Financial Services, Lending and Investments, Media and Entertainment","Advice, Banking, Financial Services",326976.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2022,30258,False,False
Gro52,2019-01-01,https://gro52.com,"Spring Grove, Virginia, United States","Biotechnology, Community and Lifestyle, Food and Beverage, Health Care, Science and Engineering","Biopharma, Biotechnology, Cannabis",2442848.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2019,80636,False,False
Swing,2020-01-01,https://weareswing.com,"Pasco, Washington, United States","Advertising, Design, Internet Services, Sales and Marketing, Software","Advertising, Marketing, SEO, Web Design, Web Development",2394926.0,"Swing is an advertising and marketing agency. Their services include web design, web development, marketing strategy, websites, branding, advertising, marketing automation, lead generation, SEO, brand strategy, inbound marketing, brand design, B2B growth, digital advertising, and eCommerce.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,79814,False,False
Qibus,2019-01-01,http://qibus.com,"San Francisco, California, United States",Transportation,"Automotive, Autonomous Vehicles, Transportation",222079.0,,11-50,3.0,Seed,2021-12-05,,Pre-Seed,,2.0,11-50,Private,,,,,,2,2019,23835,False,False
Solute Smart,2019-01-01,https://www.solutesmart.com/,"Olathe, Kansas, United States","Manufacturing, Science and Engineering, Sustainability","Environmental Engineering, Industrial Engineering, Waste Management",167757.0,"Solute Smart is a custom engineering company regarding refrigeration systems, industrial water treatment, and general filtration technology. It was founded in 2019 and is based in Olathe, Kansas.",11-50,1.0,Seed,2019-01-18,300000.0,Seed,300000.0,1.0,11-50,Private,,,,,,0,2019,19690,False,False
Rewardoo,2021-01-01,https://www.rewardoo.com,"Westlake Village, California, United States","Advertising, Professional Services, Sales and Marketing","Advertising Platforms, Business Development, Marketing",336783.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,30777,False,False
Find Sellers,2018-01-01,https://findsellers.com,"Riverside, California, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Lead Generation, Real Estate, SaaS",2883281.0,"Find Sellers has created a tool for real estate agents and investors to be successful.  Using artificial intelligence, users can identify which homeowners are most likely to sell in each neighborhood and create intelligent seller lead lists to increase response rates and lower costs on direct marketing.",1-10,,,,,,,4.0,1-10,Private,,,,,,6,2018,87874,False,False
Prestigious Turf Management,2018-01-01,https://prestigiousturfinc.com/,"Yorktown, Virginia, United States","Agriculture and Farming, Real Estate","Agriculture, Facility Management, Landscaping",2386023.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,79965,False,False
Infinite Legacy,2020-01-01,https://infinitelegacy.org,"Tucson, Arizona, United States","Advertising, Commerce and Shopping, Other, Professional Services, Sales and Marketing","Advertising, Consulting, Customer Service, Direct Marketing, Marketing, Retail, Sales",310868.0,"Founded in 2020, Infinite Legacy is the face-to-face representation for large telecommunications corporations. Our niche as a leader in the marketing and sales industries is our direct customer acquisition approach; we only meet with qualified consumers in-person in retail locations. This marketing method ensures a personalized customer service experience, along with a guaranteed 100% return on investment for our clients! What is the best part about Infinite Legacy? THE PEOPLE. Our greatest investment is in our team members, as they are the driving force behind our company's success. We believe that the businesses that survive the longest are the ones that have a strong, unified team. For this reason alone, Infinite Legacy promotes a company culture that is conducive to growth and advancement. When you provide long-term career opportunities and an exciting atmosphere, great things can be achieved. Looking for more information on Infinite Legacy? Feel free to visit our website at https://infinitelegacy.org!",101-250,,,,,,,1.0,101-250,Private,,,,,,6,2020,29365,False,False
Outsider,2020-01-01,https://outsider.com,"Brentwood, Tennessee, United States",Media and Entertainment,"Digital Entertainment, Media and Entertainment",443317.0,"Outsider celebrates the identity of culture and creates a place for people to find community through our authentic content, the stories to tell, the clothes to wear, the food to eat, even the beer to drinkBasically its promote american culture because they have a deep-rooted passion for adventure, hard work, community, traditional values, and new experiences; people who are always looking to go farther without forgetting where they came from. In other words, they’re Outsiders.",11-50,,,,,,,1.0,11-50,Private,,,0.0,0.0,,6,2020,35717,False,False
Wine House,2018-01-01,https://www.winehouse.com,"Los Angeles, California, United States",Food and Beverage,"Craft Beer, Food and Beverage, Wine And Spirits",1167042.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2018,55678,False,False
