Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Galvanize Climate Solutions,https://www.crunchbase.com/organization/galvanize-climate-solutions,2021-01-01,year,,"San Francisco, California, United States","Galvanize Climate Solutions provide the capital, and partnerships necessary to produce and scale vital and urgent climate solutions.","64,607",,Active,,,,,For Profit,https://galvanizeclimatesolutions.com/,https://twitter.com/galvanizellc,https://www.linkedin.com/company/galvanizeclimatesolutions/,,,"San Francisco Bay Area, West Coast, Western US",,Venture Capital,13,13,8,1,,,,,,,,,,,,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,2024-02-08,,,,2,,,,0,1,,Insurance; financial affairs,37586,USD,37586
Fyrii,https://www.crunchbase.com/organization/fyrii-ai,2020-02-06,day,"Artificial Intelligence (AI), Information Technology, Internet, Software","Cupertino, California, United States",Fyrii builds an AI based platform to enable individual experts to brand and monetize their individual innovative potential,"64,612",Less than $1M,Active,,,,,For Profit,https://www.fyrii.com/,https://twitter.com/fyriiai,https://www.linkedin.com/company/fyrii-ai,Fyrii builds an AI based platform to enable individual experts to brand and monetize their individual innovative potential while driving business growth for organizations,,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",1,Padma Subramanian,1-10,1,Seed,2021-08-23,660000,USD,660000,Seed,660000,USD,660000,Seed,660000,USD,660000,660000,USD,660000,"Right Side Capital Management, Sybilla Masters Fund, Outlines Venture Group, Cachet Ventures",2,4,,,,,,,Private,,,,,,,,,,,,,,,6,,,,0,1,,Advertising; business,,,
"360 Mining, Inc.",https://www.crunchbase.com/organization/360-mining-inc,2021-11-01,month,"Bitcoin, Energy, Oil and Gas","Austin, Texas, United States",Helping natural gas producers make more money on their gas production.,"64,624",,Active,,,,,For Profit,https://www.360mining.com/,https://twitter.com/360MiningInc,https://www.linkedin.com/company/360-mining-inc,360 Mining is oil and gas company that operates natural gas and power generation assets in the United States. 360 Mining developed In-Field Mining technology to generate higher revenue from their gas production and now are offering the solution to other oil and gas producers.,,Southern US,,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Energy, Financial Services, Natural Resources, Payments, Software",1,Christopher Alfano,1-10,2,Seed,2022-12-08,2250000,USD,2250000,Seed,2250000,USD,2250000,Seed,2250000,USD,2250000,8250000,USD,8250000,"Luxor Technology, BT Growth Capital",1,2,,,,,,,Private,,,,,,,,,,,,,,,1,,,,,,,,,,
Size,https://www.crunchbase.com/organization/size-48ff,2022-01-01,year,"Blockchain, Cryptocurrency, Marketplace","New York, New York, United States",Size is an on-chain OTC platform.,"64,631",,Active,,,,,For Profit,https://www.size.market,https://twitter.com/sizemarkets,https://www.linkedin.com/company/sizemarket,Size develops a virtual auction marketplace designed for users to participate in sealed-bid auctions for vested or unvested tokens. The platform allows for the participation of users in sealed bid auctions for unvested and vested tokens. Top 250k Enrichment Emp Range Freshness 2024 - Not Found,,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Other, Payments, Software",,,1-10,1,Seed,2022-06-01,6000000,USD,6000000,Seed,6000000,USD,6000000,Seed,6000000,USD,6000000,6000000,USD,6000000,"Wintermute, Three Arrows Capital, Genblock Capital, Alameda Research, D1 Ventures",2,6,,,,,,,Private,,,,,,,,,,,,,,,26,,,,,,,,,,
Dhakai,https://www.crunchbase.com/organization/dhakai,2020-01-01,year,"Apparel, Fashion, Information Technology, Marketplace, Retail Technology, Supply Chain Management","Cedar Falls, Iowa, United States",Premium B2B marketplace connecting verified apparel manufactures directly to fashion brands & retailers.,"64,640",Less than $1M,Active,,,,,For Profit,https://dhakai.com/,https://twitter.com/DhakaiDotCom,https://www.linkedin.com/company/dhakai/,"Dhakai connects emerging clothing brands directly to sustainable and ethical clothing manufacturers. Our operating system enables clothing brands to move from idea to final, and delivered products ethically, sustainably, and cost-effectively through a single technology platform. Enabling design, sampling, quotation, production matchmaking, communication, auditing, approval, payment processing, and tracking allows brands to launch and manage sourcing processes effectively and efficiently. Our vision is to bring supply chain transparency in a fashion that increases fairness, equity, and accessibility for the world.",https://www.facebook.com/dhakaidotcom/,Midwestern US,,,,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Information Technology, Software, Transportation",1,Russel Karim,11-50,5,Seed,2023-08-15,,,,Pre-Seed,,,,Pre-Seed,645000,USD,645000,870000,USD,870000,"Techstars, Newchip Accelerator, 5150 Capital, Iowa Dept of Economic Development, Pax Momentum",1,6,,,,,,,Private,,,,,,,,,,,,,,-3.41%,36,,,,,,,,,,
onetool,https://www.crunchbase.com/organization/onetool,2019-07-01,month,"Information Services, Information Technology, SaaS, Software, Subscription Service","Walnut, California, United States","onetool is a free platform where you can discover, subscribe & manage your SaaS tools.","64,652",$1M to $10M,Active,,,,,For Profit,https://onetool.co/,,https://www.linkedin.com/company/onetool/about/,"Onetool is an app-store for business software. It enables businesses to access all software with one membership, centralized login and provisioning, one login, and one centralized invoice in one subscription.",https://www.facebook.com/Onetool-448559075912384,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Information Technology, Other, Software",2,"Gordian Braun, Tobias Becker",11-50,1,Seed,2020-07-10,1700000,USD,1700000,Pre-Seed,1700000,USD,1700000,Pre-Seed,1700000,USD,1700000,1700000,USD,1700000,"Y Combinator, High-Tech Grunderfonds, Happiness Ventures, AltaIR Capital",1,4,,,,,,,Private,,,,,,,,,,,,,,,26,,,17,0,1,,Advertising; business,,,
Curiva,https://www.crunchbase.com/organization/curiva,2018-01-01,year,"Health Care, Medical, Medical Device","Goshen, Indiana, United States",Curiva is a femtech company that provides a non-invasive platform to the patient for the diagnosis of gynecologic malignancies.,"64,654",$1M to $10M,Active,,,,,For Profit,https://www.curiva.co/,https://mobile.twitter.com/curiva_co,https://www.linkedin.com/company/curiva/,,,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,Health Care,,,1-10,3,Seed,2024-02-26,,,,Non-equity Assistance,,,,Seed,,USD,,25000,USD,25000,"TechRise Chicago, CancerX Startup Accelerator",2,2,,,,,,,Private,,,,,,,,,,,,,,,4,,,,,,,,,,
StoreEase Virtual Management,https://www.crunchbase.com/organization/storeease-virtual-management,2019-01-01,year,"Information Technology, Real Estate, Self-Storage","Homewood, Alabama, United States",StoreEase Virtual Management provides a self-storage virtual third-party management solution.,"64,658",$1M to $10M,Active,,,,,For Profit,https://www.storeease.com/,,https://www.linkedin.com/company/storeease,"StoreEase Virtual Management provides a self-storage virtual third-party management solution. Their technology platform and virtual management, storeease lowers operating costs to increase owner profitability and asset value while improving the customer end experience.",,Southern US,,,,,,,,,,,,,,,,,"Information Technology, Real Estate",1,Josh Boyd,11-50,2,Seed,2021-08-19,2802690,USD,2802690,Seed,2802690,USD,2802690,Seed,2802690,USD,2802690,2802690,USD,2802690,Bienville Capital,1,1,,,,,,,Private,,,,,,,,,,,,,,-0.81%,19,,,,,,,,,,
VersaWare,https://www.crunchbase.com/organization/versaware,2021-08-31,day,"Personal Health, Retail Technology, Wellness","Southfield, Michigan, United States","VersaWare is a personalized digital kitchen built around recipe and nutrition AI harnessed into modern, all-in-one kitchen appliances.","64,677",$1M to $10M,Active,,,,,For Profit,https://www.versaware.io,,https://www.linkedin.com/company/versaware-technologies,"VersaWare builds your very own personalized artificially-intelligent recipe and nutrition platform into modern, all-in-one kitchen appliances. We provide users with a real-time nutritional engine, that gives users the modularity to both see and alter the real-time nutrition profile of any meal they make while they make it, along with customized recipe recommendations tailormade to the individual, based on a variety of user-defined input varibles from cost, time, dietary resitrictions, nutritional targets, ingredients available, and more. VersaWare equips everyday users with the ability to optimize their own dietary health without the manual difficulty associated with conventional nutrition tracking or recipe apps.  VersaWare takes the difficulty and knowledge conventionaly demanded by the consumer in order to build meals that meet precise nutritional and dietary requirements and automates the process with back-end computation and AI, seamlessly walking the user through preparing for their meals as well as making them with minimal effort. Our mission is to provide users with the easiest way to access coveted nutritional information at no extra cost or time required, so that everyone, despite their background or occupation, can become their healthiest self.",,"Greater Detroit Area, Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Health Care, Software",2,"Creed McKinnon, Jacob Lindberg",1-10,2,,2023-07-24,1223969,USD,1223969,Venture - Series Unknown,1223969,USD,1223969,Venture - Series Unknown,1523969,USD,1523969,1523969,USD,1523969,"Centrepolis Accelerator, BAF Capital, Lean Rocket Lab, Taylor McLemore, Ali Eldessouky",1,8,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
Orion Haus,https://www.crunchbase.com/organization/orion-haus,2020-01-01,year,"Hospitality, Information Technology, Residential","Miami, Florida, United States",Orion Haus develops a tech-enabled multifamily platform enabling residential leaseholders and landlords to home-share their apartments.,"64,696",$1M to $10M,Active,,,,,For Profit,https://www.orionhaus.com/,,https://www.linkedin.com/company/orionhaus/,Orion Haus is a technology platform that enables multifamily leaseholders and landlords to home-share their apartments. Its proprietary software converts typical apartment-style communities into next-level residential hospitality and helps create additional revenue for both owners and tenants.,https://www.facebook.com/liveorionhaus,"Greater Miami Area, East Coast, Southern US",,,,,,,,,,,,,,,,,"Information Technology, Real Estate, Travel and Tourism",2,"Cindy Diffenderfer, Kanan Whited",11-50,2,Seed,2023-03-15,550000,USD,550000,Seed,550000,USD,550000,Seed,3125000,USD,3125000,3125000,USD,3125000,,,,,,,,,,Private,,,,,,,,,,,,,,,37,1,,,,,,,,,
