company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Nowy,2022-04-01,https://nowy.io/,"Washington, District of Columbia, United States","Apps, Internet Services, Media and Entertainment, Mobile, Software, Travel and Tourism","Mobile Apps, Social Media, Travel",234967.0,"Nowy is dedicated to providing the best travel experiences sharing platform to connect community, user generated contents and attractions marketplace that reshapes the travelling lifestyles.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,1,2022,24785,False,False
Brillia,2018-01-01,https://discoverbrillia.com,"Scottsdale, Arizona, United States","Commerce and Shopping, Health Care","E-Commerce, Medical, Pharmaceutical, Wellness",571642.0,"Brillia offers a holistic approach to managing anxiety and improving focus in both children and adults. Their program is designed to target the source of symptoms without the harmful side effects often associated with prescription medication. In addition to their product, Brillia provides a range of resources and support for individuals and families, including a blog with practical advice and a loyalty rewards program for customers. They also offer a family discount program, providing 20% off orders of two or more 3-month supplies.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,6,2018,40480,False,False
Monarch Behavioral Health,2019-01-01,https://monarchbehavioral.net,"San Antonio, Texas, United States","Health Care, Professional Services","Consulting, Health Care, Mental Health, Personal Health, Psychology, Therapeutics",1134517.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,55089,False,False
Snowcat Cloud Inc.,2020-01-01,https://www.snowcatcloud.com/,"San Diego, California, United States","Data and Analytics, Information Technology, Internet Services, Software","Analytics, Cloud Data Services, Data Integration, Software",233324.0,"SnowcatCloud is a Hosted Snowplow platform built with the reliability, security, and support necessary to deliver behavioral data at scale.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,24672,False,False
NGU Sports Lighting,2018-01-01,https://ngusportslighting.com,"Palm Beach Gardens, Florida, United States","Hardware, Information Technology, Other, Professional Services","Consulting, Lighting, Technical Support",1819813.0,"NGU Sports Lighting offers lighting technology and support for recreational, high school, university, or professional venues. Their lighting systems, such as full spectrum, versatile LED, adjustable temperature, large outdoor, sports court, and colour control. Their remote lighting controls allow arenas across the nation to control all new and existing light fixtures through a single hub.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,6,2018,68808,False,False
Leverage,2018-01-01,https://leveragecloudservices.com/,"Rancho Santa Margarita, California, United States","Information Technology, Internet Services, Professional Services, Real Estate, Software","Cloud Management, Construction, Consulting, Information Technology",2844746.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,6,2018,86931,False,False
Simbie Health,2023-01-01,https://www.simbiehealth.com,"Dover, Delaware, United States","Education, Health Care","Health Care, Personal Development, Personal Health",246181.0,Simbie Health develops a patient management platform tailored for healthcare professionals. The platform includes a customized landing page to boost patient signups and features an automated revenue cycle management service. This empowers female healthcare professionals to expand their practices and compete effectively with established hospital groups.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,1,2023,25501,False,False
Metaverse Swapping,2021-03-04,https://metaverseswapping.com/,"New York, New York, United States","Information Technology, Media and Entertainment, Software","Information Technology, Metaverse",1284839.0,"Metaverseswapping.com aims to provide explanatory and practical information about the metaverse and related topics. The metaverse is coming, and many technologies are involved, making it seem complex. We continuously explore, experience, and discuss the metaverse, underlying technologies, and related subjects. Then we aim to turn that knowledge into clear articles so that others can join us on our journey to the future where the online and physical world merge. Metaverse Swapping is an information provider for all the leading industries. Our magazine aims at delivering quality material. Since the introduction of Ample magazine, we have published content on lifestyle, insights, entertainment, nature, and artwork. Ample magazine has also taken the initiative to spread knowledge of experts through the media tool. We are located in the city of Pune and Ahmedabad. Since the introduction of time, we have gained popularity around the market because of the quality content we upload for the user. This information is fresh, attractive, and includes facts and vast knowledge of the expert. Shortly, we will add more categories to our exclusive magazine. For our users, we are a quality information (content) provider. We highly request our users to send us feedback if they don’t get information on the subject you were looking for. We will ensure that you have the best and most reliable information on our hands ASAP.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2021,57299,False,False
CMO Coaches,2018-01-01,https://www.cmocoaches.com,"Saratoga, California, United States","Education, Professional Services","Business Development, Training",2814517.0,"CMO Coaches is a management development training business that offers personalized coaching and mentoring to aspiring and current CMOs. The company was founded in 2018 and is based in Saratoga, California.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,6,2018,85850,False,False
DARI Management Group,2018-10-11,https://www.darimanagement.com,"Washington, District of Columbia, United States","Information Technology, Professional Services","Consulting, Information Technology",2781677.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,86326,False,False
