Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
PLEX Capital,https://www.crunchbase.com/organization/plex-capital,2019-01-01,year,"Finance, Financial Services, Small and Medium Businesses","Overland Park, Kansas, United States",PLEX Capital provides working capital solutions to small and medium size businesses.,"668,630",$1M to $10M,Active,,,,,For Profit,https://plexcapital.com,https://twitter.com/plexcapital,https://www.linkedin.com/company/plexcapital,,https://www.facebook.com/plexcap,Midwestern US,,,,,,,,,,,,,,,,,"Financial Services, Other",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,39,,,,,,,,,,
Blocktag,https://www.crunchbase.com/organization/blocktag,2018-01-01,year,"Artificial Intelligence (AI), Computer","Sherman Oaks, California, United States","Blocktag is to bridge the physical and digital worlds by utilizing computer vision, cryptography, and AI.","668,691",,Active,,,,,,https://www.blocktag.com,,https://www.linkedin.com/company/blocktag,"The goal of Blocktag is to bridge the physical and digital worlds by utilizing computer vision, cryptography, and AI.",,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1,Nova Spivack,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.89%,,,,,,,,,,,
Just Human,https://www.crunchbase.com/organization/just-human,2018-01-01,year,"E-Commerce, Eyewear, Wholesale","Los Angeles, California, United States",Just Human is an e-commerce platform that offers a comprehensive range of sunglasses and eyeglass products.,"668,699",$1M to $10M,Active,,,,,For Profit,https://justhuman.co,,https://www.linkedin.com/company/just-human-co/,,https://www.facebook.com/shopjusthuman,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods",2,"Craig Gonsenhauser, Stacey Gorlick",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-11.3%,75,,,,,,,,,,
HazAdapt,https://www.crunchbase.com/organization/hazadapt,2019-07-18,day,"GovTech, Information and Communications Technology (ICT), Information Technology","Corvallis, Oregon, United States",HazAdapt builds humanity-friendly information engagement technology for emergency communication and public wellness.,"668,753",,Active,,,,,For Profit,https://www.hazadapt.com,https://twitter.com/HazAdapt,https://www.linkedin.com/company/hazadapt,"HazAdapt aims to build the world's most trusted and humanity-friendly technology for emergency communication and public wellness. We live in a reality filled with hazards. From everyday home and medical emergencies to large-scale disasters, they can happen to everyone and anyone. HazAdapt strives to build tools and services to help people (real, everyday not-trained-professionals-type people) connect to safety resources, adapt to the situation, and overcome with a strong recovery, as well as provide valuable systems and services for emergency authorities to engage with their community and their disaster preparedness.",https://www.facebook.com/HazAdapt,"West Coast, Western US",,,,,,,,,,,,,,,,,"Government and Military, Information Technology",3,"Ginny Katz, MPH, Omeed Habibelahian, Uday Phalak",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,11.49%,18,,,,,,,,,,
Trilogy Aviation Group,https://www.crunchbase.com/organization/trilogy-aviation-group,2018-02-23,day,Business Travel,"Fort Worth, Texas, United States",Specializing in private jet charters from any airport in the world (mostly). Book your next charter flight with us - Trilogy Aviation Group,"668,790",$1M to $10M,Active,,,,,For Profit,https://www.trilogyaviationgroup.com,https://twitter.com/trilogyaviation,https://www.linkedin.com/company/trilogyaviationgroup/,"Trilogy Aviation Group is not an ordinary aircraft charter broker who schedules flights and books aircraft for clients. We pride ourselves on providing service and value that leaves our clients no choice but to continue to use us for all their future travel.  We believe that every trip is a journey and we are by your side from the time you book the flight until your trip is completed, taking every necessary measure to make your journey a complete success.",https://www.facebook.com/trilogyaviationgroup/,"Dallas/Fort Worth Metroplex, Southern US",,,,,,,,,,,,,,,,,Travel and Tourism,1,Thomas Nelson,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-19.16%,27,,,,,,,,,,
Orbital Overview,https://www.crunchbase.com/organization/tappstick,2023-07-04,day,"Advertising, Information Technology, Software","Marion, North Carolina, United States","Technology, Information and Internet","668,799",,Closed,,,,none,For Profit,https://www.orbitaloverview.com,,https://www.linkedin.com/company/orbitaloverview/,"Orbital Overview is revolutionizing the field of meteorological technology, setting a new standard in weather forecasting with its user-focused, accuracy-driven approach. Our platform, powered by NOAA's API, employs device coordinates for hyper-localized weather data, delivering precision that surpasses traditional city-based forecasts. What truly sets us apart in the industry is our commitment to accessibility. We offer an expansive 100 hours of detailed hourly weather forecasts completely free of charge, a significant leap from the industry norm where competitors often restrict their 40+ hour forecasts behind a paywall. This feature empowers our users with comprehensive, reliable weather insights without any cost. Our sophisticated suite includes state-of-the-art Doppler radar and infrared satellite technology, providing an in-depth analysis of weather patterns. Along with this, users have access to extensive 7-day forecasts, ensuring a complete overview of upcoming weather conditions. The platform doesn't just stop there. We provide daily high and low temperature readings, current conditions (temperature, text-based weather descriptions, rain probability, relative humidity, wind direction, speed), and the specific time of the forecast, all designed for utmost accuracy and user convenience. Completing our range of services is FastCast – a quick, efficient tool for obtaining immediate weather forecasts for any specified city and state. This feature is particularly user-friendly, offering essential weather information rapidly and succinctly. Orbital Overview is more than just a weather forecasting company; we are at the forefront of technological advancement, with an eye towards a sustainable future for our planet and ambitious plans for space exploration. Our mission is to redefine how humanity interacts with and understands the environment, both here on Earth and beyond, through innovative and freely accessible technology.",https://www.facebook.com/orbitaloverview/,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Advertising, Information Technology, Sales and Marketing, Software",2,"Jesse Conner, Khaleb Ghaleb",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4,,,,,,,,,,
Loggy Media,https://www.crunchbase.com/organization/loggy-media,2019-01-01,year,"Advertising, Marketing, Social Media Marketing","Chicago, Illinois, United States","loggy media offers social advertising, photo production, graphic design, and web design services.","668,819",$1M to $10M,Active,,,,,For Profit,https://www.loggymedia.com,,https://www.linkedin.com/company/loggy-media,,https://www.facebook.com/loggymedia,"Greater Chicago Area, Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Advertising, Sales and Marketing",1,Nick Loggarakis,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,43,,,,,,,,,,
Rehabilitation Health,https://www.crunchbase.com/organization/rehabilitation-health,2018-01-01,year,"Health Care, Medical, Rehabilitation","Park City, Utah, United States","Rehabilitation Health is a platform for health professionals, offering wellness, fitness, and rehabilitation services.","668,861",$1M to $10M,Active,,,,,For Profit,https://rehabilitationhealth.com,,https://www.linkedin.com/company/rehabilitationhealth,"Rehabilitation Health operates as a platform for health professionals and subject-matter experts. It offers a range of wellness and fitness services, with a focus on rehabilitation. The company provides a variety of programs, including a secured dementia unit, a GO™ Rehab Program, and cardiac rehabilitation. It also offers accommodations and community services. Rehabilitation Health is recognized for its clinical capabilities, often handling complex, comorbid cases. The company also supports the physical therapy industry and promotes the formation of a healthy lifestyle.",https://www.facebook.com/RehabWellHealth,Western US,,,,,,,,,,,,,,,,,Health Care,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,1,3,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,,,
Prompts AI Hub,https://www.crunchbase.com/organization/prompts-ai-hub,2023-08-27,day,Information Technology,"Los Angeles, California, United States",Fueling AI with Prompts,"668,865",,Active,,,,,For Profit,https://promptsaihub.com/,https://twitter.com/PromptsAIHub,https://www.linkedin.com/company/prompts-ai-hub/,"Welcome to Prompts AI Hub, where we've cracked the code to simplify AI for everyone!  In a world where AI can feel like a mysterious puzzle, we're here to provide clarity and solutions. We understand that three common challenges hold back AI adoption: a lack of AI-specific information, the absence of proper guidance, and the scarcity of tailored training. Our mission is to bridge these gaps. Founded by Muhammad Basit and co-founded by Muhammad Younus, Prompts AI Hub offers a comprehensive suite of solutions. We provide a full AI guide to demystify the technology, offer tailored AI workflows for seamless integration into your processes, and conduct industry-specific workshops to ensure you're harnessing AI's true potential. Join us on this journey as we make AI accessible, understandable, and actionable for businesses and individuals alike. With Prompts AI Hub, you'll not only stay ahead in the tech game but also thrive in the AI-powered future. Let's simplify AI together!",https://www.facebook.com/promptsaihub,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,Information Technology,2,"Muhammad Basit, Muhammad Younas",,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,9.22%,3,,,,,,,,,,
ResumeBuilderPro,https://www.crunchbase.com/organization/resumebuilderpro,2020-01-01,year,"Information Services, Information Technology","Oelwein, Iowa, United States",ResumeBuilderPro makes building an effective and job-winning resume very simple and fast.,"668,886",,Active,,,,,For Profit,https://resumebuilderpro.com,,https://www.linkedin.com/company/resumebuilderpro/,,https://www.facebook.com/Resume-Builder-Pro-101076151648915/,Midwestern US,,,,,,,,,,,,,,,,,Information Technology,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,30.87%,7,,,6,,,,,,,
