Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Axiom,https://www.crunchbase.com/organization/axiom-co,2020-01-16,day,"Analytics, Big Data, Cloud Data Services, Data Storage, Data Visualization, Software","San Francisco, California, United States",Axiom is a completely cloud native service that is disrupting the economics and experience of using and managing event data.,"8,992",,Active,,,,,For Profit,https://axiom.co,https://twitter.com/AxiomFM,https://www.linkedin.com/company/axiomhq/,Axiom’s Mission:  All your event data.  All the time.  All in one place.  For every possible need or desire.,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software",3,"Gord Allott, Neil Patel, Seif Lotfy",11-50,2,Seed,2020-06-10,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,7000000,USD,7000000,7000000,USD,7000000,"Fly Ventures, Nat Friedman, Crane Venture Partners, Mango Capital, LocalGlobe",2,6,,,,,,,Private,,,,,,,,,,,,,,-63.98%,29,,,,0,9,,Vehicles,,,
Anchor,https://www.crunchbase.com/organization/anchor-0154,2021-01-01,year,"B2B, Billing, Collection Agency, Finance, Financial Services, Payments, Software","New York, New York, United States","Anchor is an autonomous billing platform that redefines B2B billing, collections, and payments.","9,000",$1M to $10M,Active,,,,,For Profit,https://www.sayanchor.com/,https://twitter.com/Say_anchor_,https://www.linkedin.com/company/say-anchor/,"Anchor pays companies on schedule. A cloud-based platform that redefines B2B billing, collections, and payments is Anchor's autonomous billing solution. The dangers of fraud and human mistake in B2B payments are eliminated by Anchor by offering an end-to-end billing and collections solution and removing all manual labor from these operations. Anchor was established in 2021 in New York, United States.",https://www.facebook.com/sayanchor/,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Administrative Services, Financial Services, Other, Payments, Software",3,"Leeor Aharon, Omry Man, Rom Lakritz",11-50,1,Seed,2021-12-01,15000000,USD,15000000,Seed,15000000,USD,15000000,Seed,15000000,USD,15000000,15000000,USD,15000000,"Entrée Capital, Tal Ventures, Rapyd Ventures",3,3,,,,,,,Private,,,,,,,,,,,,,,-5.27%,45,,,13,"3,376",419,Vehicles In General,Vehicles,,,
Yuvo Health,https://www.crunchbase.com/organization/yuvo-health,2021-01-01,year,"Communities, Health Care, Medical","New York, New York, United States",Yuvo Health is a leading solution to give community health centers an advantage in value-based care.,"9,018",$1M to $10M,Active,,,,,For Profit,https://www.yuvohealth.com,,https://www.linkedin.com/company/yuvohealth,"Yuvo provides health centers with the resources they need. The company provides administrative and managed-care contracting services to federally qualified health centers (FQHCs) empowering them to unlock revenue streams through value-based care, enabling health centers and their patients to enjoy the benefits without assuming risk, burning out staff, or drowning in data.",,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Community and Lifestyle, Health Care",4,"Carmelo Cruz Reyes, Cesar Herrera, Janel Sia, Stephanie Hudson",11-50,4,Early Stage Venture,2023-06-07,20200000,USD,20200000,Series A,20200000,USD,20200000,Series A,27850000,USD,27850000,27850000,USD,27850000,"Route 66 Ventures, New York Ventures, AV8 Ventures, VamosVentures, Mastry Ventures",2,13,,,,,,,Private,,,,,,,,,,,2024-03-04,,,-86.03%,17,,,,,,,,,,
Superstate,https://www.crunchbase.com/organization/superstate-317d,2023-01-01,year,"Blockchain, Finance, Financial Services","San Francisco, California, United States",Superstate is a developer of legal and blockchain-based financial solutions.,"9,027",,Active,,,,,For Profit,https://superstate.co,https://twitter.com/superstatefunds,https://www.linkedin.com/company/superstate,Superstate is a developer of legal and blockchain-based financial solutions. These solutions include short-term government bond funds that can be held in a cryptocurrency wallet or by a crypto custodian.,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Other",,,1-10,2,Early Stage Venture,2023-11-15,14000000,USD,14000000,Series A,14000000,USD,14000000,Series A,18000000,USD,18000000,18000000,USD,18000000,"Breyer Capital, Hack VC, ParaFi Capital, 1kx, Arrington XRP Capital",2,16,,,,,,,Private,,,,,,,,,,,,,,33.49%,22,,,,0,0,,Insurance; financial affairs,,,
Urban Sky,https://www.crunchbase.com/organization/urban-sky,2019-08-01,day,"Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities","Denver, Colorado, United States",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,"9,029",$1M to $10M,Active,,,,,For Profit,https://urbansky.com,,https://www.linkedin.com/company/urban-sky-imaging,"Urban Sky is developing the first-ever reusable 'micro-sat' version of a near-space balloon, armed with sensors that collect high-value Earth observation data over entire cities, serving a multi-billion dollar imagery market and making daily and weekly aerial imagery collection a cost-effective reality.  Leveraging advances in component miniaturization, first-of-its-kind balloon reusability, and the high vantage point of the stratosphere, the Microballoon drastically reduces the cost of high-resolution remote sensing and weather-related data capture over broad areas, leading to more impactful data over more areas than ever before. With a new wealth of data from the stratosphere - this completely untapped layer of Earth’s atmosphere - we can fundamentally change the collective human understanding of the surface of our planet and urban centers.",https://www.facebook.com/theurbansky,"Greater Denver Area, Western US",,,,,,,,,,,,,,,,,"Data and Analytics, Hardware, Navigation and Mapping, Real Estate, Science and Engineering",2,"Andrew Antonio, Jared Leidich",11-50,7,Early Stage Venture,2023-10-16,9750000,USD,9750000,Series A,9750000,USD,9750000,Series A,15459149,USD,15459149,15963834,USD,15963834,"Techstars, National Science Foundation, TenOneTen Ventures, Lerer Hippeau, New Stack Ventures",10,12,,,,,,,Private,,,,,,,,,,,,,,29.64%,9,,,9,3,0,Aircraft; Aviation; Cosmonautics,,,,
Atomicwork,https://www.crunchbase.com/organization/atomicwork,2022-09-09,day,"Information Technology, Internet, SaaS","San Francisco, California, United States",Atomicwork is an employee experience platform that allows users to find information and get help at work.,"9,030",$1M to $10M,Active,,,,,For Profit,https://www.atomic.work,https://twitter.com/atomicworkhq,https://www.linkedin.com/company/atomicworkhq/,"Atomicwork is an employee experience platform that allows users to find information and get help at work. The company was founded in 2022 and is headquartered in San Francisco, California, United States.",https://www.facebook.com/atomicworkhq,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Software",3,"Kiran Darisi, Parsuram Vijayasankar, Vijay Rayapati",11-50,1,Seed,2023-09-05,11000000,USD,11000000,Seed,11000000,USD,11000000,Seed,11000000,USD,11000000,11000000,USD,11000000,"Blume Ventures, Matrix Partners India, Storm Ventures, Neon Fund",2,4,,,,,,,Private,,,,,,,,,,,,,,,7,,,,0,0,,Scientific and technological services,,,
Cents,https://www.crunchbase.com/organization/cents-ba2f,2019-01-01,day,Payments,"San Francisco, California, United States","Cents provides modernized payments, employee management, machine tracking, and plant/hub operations.","9,033",$10M to $50M,Active,,,,,For Profit,http://trycents.com,https://twitter.com/trycents,https://www.linkedin.com/company/trycents,"Cents provides modernized payments, employee management, machine tracking, and plant/hub operations. With Cents, owners utilize software and hardware proven to help save money, transform operations, and drive additional revenue. It manages orders, sales, and payments in one system designed for laundromats and dry cleaners. Cents was founded in 2019 and is headquartered in San Francisco, California.",https://www.facebook.com/centstech,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Financial Services, Payments",4,"Alexander Jekowsky, Gilli Cherrin, Pramod Dabir, Pramod Dabir",11-50,2,Seed,2021-10-07,4999999,USD,4999999,Seed,4999999,USD,4999999,Seed,9249999,USD,9249999,9249999,USD,9249999,"Alumni Ventures, Tiger Global Management, Bessemer Venture Partners, 1517 Fund, Newfund",1,10,,,,,,,Private,,,,,,,,,,,,,,-2.36%,62,1,,,0,4,,Scientific and technological services,,,
iTrustCapital Inc.,https://www.crunchbase.com/organization/itrustcapital-inc,2018-01-01,year,"Cryptocurrency, Financial Services, FinTech, Trading Platform","Los Angeles, California, United States",iTrustCapital is a digital asset investment platform to buy and sell Cryptocurrencies and Physical Gold real-time.,"9,036",$10M to $50M,Active,,,,,For Profit,https://itrustcapital.com/,https://twitter.com/iTrustCapital,https://www.linkedin.com/company/itrustcapital00/,"iTrustCapital is a digital asset investment platform that allows clients to buy and sell Cryptocurrencies and precious metals real-time, 24/7, through their retirement accounts. The service addresses approximately $1 Trillion + of capital that's held by investors who trade these assets outside of tax-advantaged accounts.  An estimated 10-15 million Americans invest in cryptocurrencies and millions more in precious metals. While other IRA services charge as much as 15% for a single transaction, iTrust's transaction fee is just 1%. As part of the service, iTrust provides IRA maintenance and institutional-grade secure storage.",https://www.facebook.com/iTrustCapital/,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",,,101-250,4,Early Stage Venture,2022-01-19,125000000,USD,125000000,Series A,125000000,USD,125000000,Series A,128000000,USD,128000000,128000000,USD,128000000,"LedgerPrime, Left Lane Capital, John Vojtech",1,3,,,,,,,Private,,,,,,,,,,,,,1,63.03%,58,1,7,,,,,,,,
Heliux,https://www.crunchbase.com/organization/heliux,2023-01-01,year,"Aerospace, Artificial Intelligence (AI), Clean Energy, Industrial, Manufacturing, Robotics, Software, Space Travel","San Francisco, California, United States","All-In-One, AI-Powered Enterprise Operating System for Engineering and Manufacturing.","9,038",,Active,,,,,For Profit,https://www.heliux.com,https://twitter.com/HeliuxInc,https://www.linkedin.com/company/heliux/,,,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Hardware, Manufacturing, Science and Engineering, Software, Sustainability, Transportation",,,1-10,1,,2024-02-12,2265000,USD,2265000,Undisclosed,2265000,USD,2265000,Undisclosed,2265000,USD,2265000,2265000,USD,2265000,"Crosscut Ventures, Amplify.LA, Lux Capital, Countdown Capital, New Stack Ventures",,5,,,,,,,Private,,,,,,,,,,,,,,40.35%,4,,,,,,,,,,
Antaris,https://www.crunchbase.com/organization/antaris,2021-01-01,year,"Information Technology, SaaS, Space Travel","Los Altos, California, United States","Antaris is a digital space platform that simplifies the design, simulation, and operation of satellites.","9,039",$1M to $10M,Active,,,,,For Profit,https://antaris.space/,,https://www.linkedin.com/company/antaris-space/,"Antaris is a digital space platform that simplifies the design, simulation, and operation of satellites. It features design tools, digital twinning, open APIs, complete spacecraft software, and a secure space data network with an approach to removing friction in the value chain to help clients reduce cost.",,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Information Technology, Software, Transportation",,,11-50,3,Seed,2023-09-06,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,7700000,USD,7700000,7700000,USD,7700000,"Intel Ignite, Lockheed Martin Ventures, HCVC, Acequia Capital (AceCap), E2MC Ventures",4,9,,,,,,,Private,,,,,,,,,,,,,,,2,,,,2,4,Computing; Calculating,Scientific and electric apparatus and instruments,,,
