Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Mote,https://www.crunchbase.com/organization/mote-d1ef,2020-01-01,year,"CleanTech, Environmental Engineering","Los Angeles, California, United States","Mote creates more utilities, businesses, and transportation companies seek to minimize carbon emissions by using clean hydrogen.","70,519",$1M to $10M,Active,,,,,For Profit,https://www.motehydrogen.com,https://twitter.com/motehydrogen,https://www.linkedin.com/company/motehydrogen,"Mote's carbon-negative hydrogen solution is a one-of-a-kind method of eliminating CO2 from the environment. This second facility, like its first in Bakersfield, will use carbon capture and geological sequestration to produce carbon-negative hydrogen.",,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Science and Engineering, Sustainability",,,1-10,1,,2022-08-10,1200000,USD,1200000,Grant,,,,,,,,1200000,USD,1200000,U.S. Forest Service,1,1,,,,,,,Private,,,,,,,,,,,,,,,2,,,,3,0,Inorganic Chemistry,,,,
Dozera News,https://www.crunchbase.com/organization/dozera-news,2018-01-01,year,"Journalism, Media and Entertainment, News, Social News","New York, New York, United States",Dozera News Is a American News Company & website this company started by Gursharn Arya in 2018,"70,522",,Active,,,,,For Profit,https://www.dozera.in,,https://www.linkedin.com/company/dozera-ltd/,"Dozera News: Transforming the American Media Landscape Since 2018 In a rapidly evolving media landscape, Dozera News has emerged as a prominent American news company, delivering unbiased and reliable news to its readers since its inception in 2018. Founded by Gursharn Arya, an entrepreneur with a vision to redefine journalism, Dozera News has quickly gained recognition for its commitment to journalistic integrity and its dedication to providing in-depth and accurate reporting. This article delves into the story behind Dozera News, highlighting its journey, key milestones, and its impact on the American news industry. The Visionary Founder: Gursharn Arya, a Singer, Billionaire and Actor, recognized the need for a news platform that could break free from sensationalism, biases, and misinformation. With this vision in mind, Arya founded Dozera News in 2018. Arya's extensive experience in the media industry, coupled with a strong commitment to truthful reporting, became the driving force behind the company's mission to deliver reliable news to its audience. Unbiased Reporting: Dozera News is distinguished by its unwavering commitment to unbiased reporting. The company takes pride in its ability to provide comprehensive coverage of a wide range of topics, from politics and current affairs to business, technology, and entertainment. The team of talented journalists at Dozera News adheres to a strict code of journalistic ethics, ensuring that each news article is fact-checked, verified, and presented without bias, enabling readers to form their own opinions based on reliable information. In-Depth Analysis and Investigative Journalism: One of the key strengths of Dozera News lies in its commitment to in-depth analysis and investigative journalism. The company goes beyond reporting surface-level news and delves deeper into the underlying factors, exploring the complexities of significant events and issues. Through meticulous research and thorough investigations, Dozera News strives to bring transparency to the forefront and uncover the truth, even in the face of challenges and resistance. Engaging Digital Presence: Understanding the evolving media landscape, Dozera News has established a strong digital presence. Its user-friendly website and mobile applications provide readers with easy access to the latest news updates, feature articles, and exclusive interviews. The company has embraced various digital platforms and social media channels, engaging with its audience and promoting meaningful discussions on critical issues. Recognition and Impact: Since its establishment, Dozera News has received widespread recognition for its contributions to the American news industry. The company's commitment to journalistic integrity has earned it a loyal readership base that values accurate and unbiased reporting. In an era plagued by misinformation, Dozera News has become a trusted source of news, empowering readers to make well-informed decisions and contributing to a more informed society. Future Endeavors: With its solid foundation and growing influence, Dozera News continues to expand its reach and impact. The company aims to diversify its coverage, exploring emerging trends and issues, and reaching new demographics. By leveraging cutting-edge technologies and innovative storytelling techniques, Dozera News seeks to evolve with the changing media landscape, adapting to the needs and preferences of its readers while remaining steadfast in its commitment to truthful and reliable journalism. Conclusion: Dozera News, founded by Gursharn Arya in 2018, has made remarkable strides in the American news industry. Through its unwavering dedication to unbiased reporting, in-depth analysis, and investigative journalism, the company has emerged as a beacon of truth and reliability. As it continues to grow and adapt to the ever-changing media landscape, Dozera News remains steadfast in its mission to deliver accurate, transparent, and impactful news to its readers, playing a vital role in shaping an informed society.",,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",1,Gursharn Arya,251-500,2,Late Stage Venture,2018-04-05,186243192,USD,186243192,Series C,186243192,USD,186243192,Series C,186273031,USD,186273031,186273031,USD,186273031,Gursharn Arya,1,1,,,,,,,Private,,,,,,,,,,,,,,,,,,,0,3,,Clothing; footwear; headgear,,,
Easy Moves Holdings,https://www.crunchbase.com/organization/easy-moves-holdings,2018-01-01,year,Self-Storage,"Clearwater, Florida, United States",Easy Moves Holdings is the parent company of Red Rover.,"70,535",,Active,,,,,For Profit,,,,,,"Tampa Bay Area, East Coast, Southern US",,,,,,,,,,,,,,,,,Real Estate,1,Peter Warhurst,,4,,2022-02-01,50000000,USD,50000000,Venture - Series Unknown,50000000,USD,50000000,Venture - Series Unknown,75042807,USD,75042807,75042807,USD,75042807,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,0,7,,"Transport, packaging and storing",,,
Mattrix Technologies,https://www.crunchbase.com/organization/mattrix-technologies,2018-01-01,year,"Electronics, Semiconductor","Gainesville, Florida, United States",Mattrix Technologies develops full-aperture OLET display.,"70,536",$1M to $10M,Active,,,,,For Profit,https://mattrix.com,,https://www.linkedin.com/company/mattrix-technologies/,Mattrix Technologies develops full-aperture OLET display.  OLET is a new paradigm for emissive displays that circumvents the OLED backplane problem that has prevented widespread adoption of OLED displays.,,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Science and Engineering",3,"Andrew Rinzler, Bo Liu, Max Lemaitre",11-50,4,Seed,2022-11-23,,,,Debt Financing,,,,Seed,5000000,USD,5000000,5000000,USD,5000000,"Samsung Ventures, JSR, Stella Capital",2,3,,,,,,,Private,,,,,,,,,,,,,,12.21%,6,,,,7,0,Education; Cryptography; Display; Advertising; Seals,,,,
Skyllful,https://www.crunchbase.com/organization/skyllful,2019-01-01,year,"Apps, Information Technology, Software","Plano, Texas, United States",Skyllful provides on-device app simulation software specifically designed for frontline workers to ensure adoption of essential technology.,"70,539",$1M to $10M,Active,,,,,For Profit,https://www.skyllful.com,https://www.twitter.com/Skyllfulco,https://www.linkedin.com/company/skyllful/,Skyllful provides on-device app simulation software specifically designed for frontline workers to ensure the adoption of essential technology.,https://www.facebook.com/Skyllful/,"Dallas/Fort Worth Metroplex, Southern US",,,,,,,,,,,,,,,,,"Apps, Information Technology, Software",2,"Justin Lake, Ralph Hubregsen",11-50,1,,2022-04-01,2767674,USD,2767674,Venture - Series Unknown,2767674,USD,2767674,Venture - Series Unknown,2767674,USD,2767674,2767674,USD,2767674,,,,,,,,,,Private,,,,,,,,,,,,,,,55,2,,22,,,,,,,
SKYMINT Brands,https://www.crunchbase.com/organization/skymint,2018-01-01,year,Cannabis,"Ann Arbor, Michigan, United States",SKYMINT Brands is a vertically integrated cannabis company and the state's largest medical and recreational license holder.,"70,543",,Active,,,,,For Profit,http://www.skymint.com/,,https://www.linkedin.com/company/skymint,SKYMINT is Michigan's vertically integrated cannabis company and the state's largest medical and recreational license holder.,,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Community and Lifestyle, Food and Beverage, Health Care",1,Jeffrey Radway,51-100,1,,2022-11-15,6250000,USD,6250000,Debt Financing,,,,,,,,6250000,USD,6250000,SunStream,1,1,1,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,-86.85%,6,,,,,,,,,,
IQRecruit,https://www.crunchbase.com/organization/iqrecruit,2023-01-01,year,"CRM, Recruiting, Staffing Agency","Nashville, Tennessee, United States","IQRecruit automates the sourcing for recruiters and hiring teams, so they can focus on connecting with candidates.","70,547",,Active,,,,,For Profit,https://www.iqrecruit.com/,,https://www.linkedin.com/company/iqrecruit,"IQRecruit automates the sourcing for recruiters and hiring teams, so they can focus on connecting with candidates. The company was founded in 2023 and is headquartered in Nashville, Tennessee, United States.",,Southern US,,,,,,,,,,,,,,,,,"Administrative Services, Information Technology, Professional Services, Sales and Marketing, Software",,,1-10,1,,2023-03-15,1950000,USD,1950000,Venture - Series Unknown,1950000,USD,1950000,Venture - Series Unknown,1950000,USD,1950000,1950000,USD,1950000,,,,,,,,,,Private,,,,,,,,,,,,,,-0.22%,18,,,,,,,,,,
Tabbi,https://www.crunchbase.com/organization/tabbi,2021-01-01,month,"FinTech, Social Network","Greenville, South Carolina, United States","Discover cool places, connect to people nearby, and pay your tab with ease.","70,552",,Active,,,,,For Profit,https://www.tabbi.app,https://twitter.com/tabbiapp,https://www.linkedin.com/company/tabbi-inc,"Tabbi is a mobile app addressing critical pain points in the hospitality industry. Users benefit from simplified tab management, streamlined loyalty and rewards, and enhanced social connections. Venues and brands gain access to comprehensive customer data through our marketing platform that allows for promotion at the point of consumption. Our vision extends from bars and restaurants to hotels, music venues, airports, and more, creating an ecosystem of seamless experiences and meaningful connections for users, venues, and brands.",https://www.facebook.com/thetabbiapp,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Financial Services, Internet Services",1,Brad Loflin,1-10,2,Seed,2023-08-01,,,,Seed,,,,Seed,1700000,USD,1700000,1700000,USD,1700000,,,,,,,,,,Private,,,,,,,,,,,,,,,1,2,6,,,,,,,,
Keymate.AI,https://www.crunchbase.com/organization/keymate-ai,2021-01-01,year,"Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning, Natural Language Processing, Semantic Search, Semantic Web","Los Angeles, California, United States","Keymate.AI Search is the ChatGPT Plus on steroids Plugin, powered by its own LangChain Crawling IP combined with Google Search.","70,553",,Active,,,,,For Profit,http://www.keymate.ai,,https://www.linkedin.com/company/keymate-ai/,"Keymate.AI Search is the ChatGPT PRO on steroids Plugin, powered by its own LangChain Crawling IP combined with Google Search.  It has garnered a massive user base of over  100,000+(as of 14th July 23) and 200,000+(as of 12th September 23), making it the first plugin to achieve such a remarkable feat. As the first professional paid plugin with packages priced at up to $40, Keymate.AI Search is the go-to resource for anyone seeking unparalleled search capabilities.",,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",2,"Ozgur Ozkan, Utku Boratach",1-10,1,Seed,2021-01-23,4000,USD,4000,Angel,4000,USD,4000,Angel,4000,USD,4000,4000,USD,4000,Sercan Alici,,1,1,Made Acquisitions,,,,,Private,,,,,,,,,,,,,1,-22.69%,25,,,,,,,,,,
Textual,https://www.crunchbase.com/organization/textual,2019-05-05,day,"Advertising, Marketing, Messaging","Boise, Idaho, United States","Textual is the pioneering SaaS platform enabling Text-to-Buy for Enterprise class clients, unlocking mobile commerce with instant payments.","70,555",$1M to $10M,Active,,,,,For Profit,https://www.textual.com,https://twitter.com/YEStobuy,https://www.linkedin.com/company/textual-com,"We enable brands to sell products directly inside text message, and customers can reply to buy with a single text.    Text message is the most universal and native channel on mobile with 95% open rates, yet current text marketing is spammy, low value and missing the true potential of text as a direct sales tool. Our text commerce platform sells more products, increases product reordering, and drives customer loyalty through simplified text messaging shopping that customers actually want to use. This year Textual will generate $10m in new incremental revenue for a Fortune 500 co at a best in class ROI of 25x.",,Western US,,,,,,,,,,,,,,,,,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing",,,11-50,2,Seed,2023-08-18,20000,USD,20000,Seed,20000,USD,20000,Seed,320000,USD,320000,320000,USD,320000,Techstars,1,1,,,,,,,Private,,,,,,,,,,,,,,104.96%,9,,,24,0,1,,Scientific and technological services,,,
