Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Edited Projects,https://www.crunchbase.com/organization/edited-projects,2019-01-01,year,"Brand Marketing, Consulting","New York, New York, United States","Edited Projects specializes in elevated basics and upcycled accessories, focusing on meaningful fashion and creativity.","2,019,909",,Active,,,,,For Profit,https://editedprojects.com,,https://www.linkedin.com/company/editedprojects,,https://www.facebook.com/editedprojects,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Professional Services, Sales and Marketing",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,21,,,,,,,,,,
Hui Malama Financial Advisors,https://www.crunchbase.com/organization/hui-malama-financial-advisors,2018-01-01,year,"Accounting, Finance, Financial Services","Honolulu, Hawaii, United States","Hui Malama Financial Advisors provides financial planning, taxation, accounting, life coaching and financial coaching services.","2,019,908",Less than $1M,Active,,,,,For Profit,https://www.huiadvisors.com/,https://twitter.com/HuiAdvisors,https://www.linkedin.com/company/hui-advisors-llc/,,https://www.facebook.com/huimalamaadvisors,"Asia-Pacific (APAC), Western US",,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,41,,,,,,,,,,
NY Coin Stores,https://www.crunchbase.com/organization/ny-coin-stores,2018-01-01,year,"Cryptocurrency, E-Commerce, Local Business","New York, New York, United States",NY Coin accepted within stores listed on our directory NY Coin Stores. Search our directory to see what businesses accept NY Coin.,"2,019,824",,Closed,,,,none,For Profit,https://www.nycoinstores.com/,https://twitter.com/NYCoinAccepted,,"NY Coin Stores features the places, the companies, and the locations around the world right now that accept this exciting cryptocurrency option. Discover a new restaurant. Grab some coffee. Get your buddies together to record your latest song. New businesses are accepting NewYorkCoin (NYC) every day.",https://www.facebook.com/nycoinstores/,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Payments, Sales and Marketing, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,5,,,,,,,,,,
WorkSteer,https://www.crunchbase.com/organization/worksteer,2019-01-01,year,"Recruiting, Staffing Agency","New Bern, North Carolina, United States",WorkSteer is a staffing agency that provides recruiting solutions for various organizations.,"2,019,772",,Active,,,,,For Profit,https://worksteer.com,,https://www.linkedin.com/company/worksteer-staffing,,https://www.facebook.com/worksteernewbern,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Administrative Services, Professional Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,34,,,,,,,,,,
Douglas Capital Advisors,https://www.crunchbase.com/organization/douglas-capital-advisors,2021-01-01,year,"Consulting, Financial Services, Wealth Management","Austin, Texas, United States","Douglas Capital Advisors is a financial advisory firm that offers financial planning, investment, and wealth management services.","2,019,740",,Active,,,,,For Profit,https://douglascapitaladvisors.com,,https://www.linkedin.com/company/douglas-capital-advisors,,,Southern US,,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3,,,,,,,,,,
The Fortress Group,https://www.crunchbase.com/organization/the-fortress-group-6aca,2022-01-01,year,"Finance, Financial Services, Lending","Germantown, Maryland, United States","The Fortress Group offers FHA home loans, VA loans, jumbo loans, mortgages, and refinancing services.","2,019,657",,Active,,,,,For Profit,https://thefortressgroup.com,,https://www.linkedin.com/company/the-fortress-group-total-home-finance-llc-nmls-2374023,,https://www.facebook.com/people/The-Fortress-Group-Total-Home-Finance-LLC/100088279711268,"Washington DC Metro Area, East Coast, Southern US",,,,,,,,,,,,,,,,,Financial Services,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
M1 Labs,https://www.crunchbase.com/organization/m1-labs-66cc,2019-01-01,year,"Health Care, Health Diagnostics, Test and Measurement","Columbiana, Ohio, United States",M1 Labs is a laboratory that offers oral fluid and urine toxicology testing services.,"2,019,601",,Active,,,,,For Profit,https://www.m1laboratories.com,,https://www.linkedin.com/company/m1-labs-llc,,,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Data and Analytics, Health Care",1,Chaz Jannuzi,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
FATHOMWERX,https://www.crunchbase.com/organization/fathomwerx,2019-01-01,year,"Communities, Law Enforcement","Port Hueneme, California, United States","FATHOMWERX is a laboratory, community, and resource for designs fusing academia, civilian, and DoD partners.","2,019,582",$1M to $10M,Active,,,,,For Profit,https://www.fathomwerx.com,https://twitter.com/fathomwerx,https://www.linkedin.com/company/fathomwerx,,https://www.facebook.com/fathomwerx,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Community and Lifestyle, Government and Military, Privacy and Security",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4,,,,,,,,,,
Klete,https://www.crunchbase.com/organization/klete,2019-01-01,year,"Advertising, Brand Marketing, Digital Marketing, Public Relations, Web Development","Victorville, California, United States","Klete specializes in digital marketing, advertising, brand development, web development, video production, and public relations.","2,019,496",,Active,,,,,For Profit,https://klete.co,https://www.twitter.com/Kletellc,https://www.linkedin.com/company/kletellc/,,https://www.facebook.com/kletellc,"Greater Los Angeles Area, Inland Empire, West Coast",,,,,,,,,,,,,,,,,"Advertising, Sales and Marketing, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,57,,,,,,,,,,
E5 Chem,https://www.crunchbase.com/organization/e5-chem,2018-01-01,year,"Industrial Engineering, Machinery Manufacturing","Mason, Ohio, United States",E5 Chem offers your brand innovation and expertise in the consumer packaged goods industry.,"2,019,422",Less than $1M,Active,,,,,For Profit,https://e5chem.com,,https://www.linkedin.com/company/e5chem/,,,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,8,,,,,,,,,,
JurisLogic,https://www.crunchbase.com/organization/jurislogic,2018-01-01,year,"E-Learning, Education, Legal","France, Idaho, United States",JurisLogic is an online education platform for the legal sector.,"2,019,399",,Active,,,,,For Profit,https://jurislogic.fr,https://twitter.com/jurislogic,https://www.linkedin.com/company/jurislogic,,https://www.facebook.com/jurislogic,Western US,,,,,,,,,,,,,,,,,"Education, Professional Services, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,13.33%,49,,,,,,,,,,
Creative Behavioral Consultants,https://www.crunchbase.com/organization/creative-behavioral-consultants,2018-01-01,year,"Child Care, Consulting, Personal Health, Therapeutics, Wellness","Calabasas, California, United States",Creative Behavioral Consultants provides autism and ABA therapy services.,"2,019,357",$1M to $10M,Active,,,,,For Profit,https://www.cbc-autism.com,,https://www.linkedin.com/company/creative-behavioral-consultants-inc.,"Creative Behavioral Consultants provides behavioral intervention services using evidence-based Applied Behavior Analysis techniques to children and adults. They provide each child to generalize behaviors across environments to help them function to the best of their ability in all situations. They provide patient-oriented needs treatments. The patient contact through phone number, email, and application form.",,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Health Care, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,35479,USD,35479
Zero To Ten,https://www.crunchbase.com/organization/zero-to-ten,2018-01-01,year,Management Consulting,"Alpine, Utah, United States","Zero To Ten offers coaching, leadership, and entrepreneurship programs and services in management and consulting industry.","2,019,346",,Active,,,,,For Profit,http://www.zerototen.com/,,https://www.linkedin.com/company/zerototen/,,,Western US,,,,,,,,,,,,,,,,,Professional Services,1,Jeff Adcock,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,36,,,,,,,,,,
Frontline Metal,https://www.crunchbase.com/organization/frontline-metal,2019-01-01,year,"Consumer Goods, Manufacturing","Rocklin, California, United States",Frontline Metal is a metal art manufacturing company.,"2,019,314",,Active,,,,,For Profit,https://www.frontlinemetal.com/,,https://www.linkedin.com/company/frontlinemetal/,,https://www.facebook.com/frontlinemetal/,"West Coast, Western US",,,,,,,,,,,,,,,,,"Consumer Goods, Manufacturing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,7,,,,,,,,,,
