company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Groupup,2018-01-01,https://groupup.io/,"San Francisco, California, United States","Apps, Commerce and Shopping, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Platforms, Software","Apps, E-Commerce, iOS, Location Based Services, Mobile Apps, Software",1319319.0,Groupup is a mobile app where you can buy and sell used items between your coworkers.  It is much better and safer than existing solutions because you are buying and selling with people you already know within your own company. Users can also join public groups to sell with other people from different companies nearby.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,6,2018,58205,False,False
EZ Assets,2021-06-21,https://ez-assets.com,"Cedar City, Utah, United States","Financial Services, Real Estate","FinTech, Real Estate Investment, Rental Property",2585933.0,"Traditionally real estate investors spend days or weeks looking through data to find good deals. We cut it to hours or minutes. Our users can see the numbers, tweak them according to their financial situation. With the help from our app, everyone can build their wealth.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,83098,False,False
Drut Technologies - Reinvent the Data Center | Reimagine the Machine,2018-11-01,https://drut.io,"Nashua, New Hampshire, United States","Information Technology, Internet Services, Software","Cloud Management, Information Technology, Software",216829.0,,11-50,1.0,Seed,2019-01-01,0.0,Seed,0.0,3.0,11-50,Private,,,,,,2,5,2018,23416,False,False
APEX Capital Investment,2019-01-01,https://www.apexcapitalus.com,"Philadelphia, Pennsylvania, United States","Financial Services, Real Estate","Financial Services, Real Estate Investment, Wealth Management",770814.0,"APEX Capital Investment provides financial planning, asset management, investment management, real estate investment, wealth management, and investment solutions. The contact mode is by mail, phone, and physical address.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,46462,False,False
Simpliigence,2019-01-01,https://simpliigence.com,"Monroe Township, New Jersey, United States","Information Technology, Internet Services, Sales and Marketing, Software","Cloud Management, CRM, IT Management, Software",461934.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,36450,False,False
Blockless,2021-01-01,https://blockless.network,"San Francisco, California, United States","Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software","Blockchain, Cryptocurrency, Information Technology",167235.0,"Blockless is a WASM-based verifiable serverless functions platform, they decentralize all the way without any compromise.",11-50,2.0,Seed,2023-02-09,0.0,Seed,0.0,,11-50,Private,,,,,,2,3,2021,19645,False,False
Tenet,2021-01-01,https://tenet.com/,"New York, New York, United States","Commerce and Shopping, Financial Services, Information Technology","Financial Services, FinTech, Information Technology, Marketplace",29096.0,"To accelerate the transition to a more sustainable future, we provide fast, affordable, and fully-digital financing for EVs by working with mission-aligned financial institutions and business partners.",11-50,4.0,Early Stage Venture,2023-11-15,20000000.0,Debt Financing,73000000.0,3.0,11-50,Private,,,0.0,1.0,,0,3,2021,3076,False,False
Roi,2021-11-01,https://www.getroi.app,"New York, New York, United States","Apps, Blockchain and Cryptocurrency, Financial Services, Mobile, Payments, Software","Asset Management, Cryptocurrency, Finance, FinTech, Mobile Apps, Non-Fungible Token (NFT)",164834.0,"At Roi, our vision is to be the one-stop-shop for all your investing needs, with support for everything from stocks and retirement to crypto, NFTs, collectibles and more.  Right now, we’re working to organize the world's investment opportunities into a single platform that makes it easy to track what you own, discover new opportunities that are right for you, and invest in those assets with ease.",101-250,2.0,Seed,2022-08-01,0.0,Seed,0.0,1.0,101-250,Private,,,0.0,1.0,,2,2,2021,19452,False,False
ChaneyBrooks Choice Advisors,2018-01-01,https://choicehi.com,"Honolulu, Hawaii, United States",Real Estate,"Property Management, Real Estate, Residential",1947801.0,ChaneyBrooks Choice Advisors provides real estate services and they offer residential real estate. They manage the resources of their clients and assist them in making real estate decisions. They provide property management services and they offer investment in their development as a home and property owner.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,6,2018,71161,False,False
Frame One Media,2018-01-01,https://frameonemedia.com/,"Twinsburg, Ohio, United States","Advertising, Media and Entertainment, Music and Audio, Sales and Marketing, Video","Advertising, Animation, Audio, Audio Recording and Production, Film Production, Media and Entertainment, Video",1673207.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,6,2018,65473,False,False
Crypto Block Wire,2018-01-01,https://cryptoblockwire.com/,"Boca Raton, Florida, United States","Blockchain and Cryptocurrency, Content and Publishing, Financial Services, Media and Entertainment, Payments, Software","Cryptocurrency, News, Social News",2155965.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,6,2018,73971,False,False
Escapely,2020-06-01,https://www.escapely.com,"Las Vegas, Nevada, United States","Events, Gaming, Media and Entertainment","Events, Gaming, Media and Entertainment",575679.0,"Escapely offers event planners who will take care of every detail so that just show up and play. They offer anyone getting left behind a helping hand; each small team has a dedicated moderator who ensures that everyone is working together. They also provide escape room team building activities to get everyone in the office brainstorming, problem-solving, and communicating.",51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,0.0,2.0,,6,3,2020,40622,False,False
My Salon Desk,2019-01-01,https://www.mysalondesk.com,"Boston, Massachusetts, United States","Administrative Services, Consumer Goods","Beauty, Call Center",614144.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,41878,False,False
Hypertrace,2020-01-01,https://www.hypertrace.org,"San Francisco, California, United States","Data and Analytics, Design, Information Technology, Internet Services, Software","Data Visualization, Information Technology, Online Portals",2190679.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,75011,False,False
Component Supply,2018-01-01,https://www.component-supply.com/,"New Albany, Indiana, United States","Commerce and Shopping, Manufacturing, Science and Engineering, Transportation","Automotive, Manufacturing, Mechanical Engineering, Wholesale",1116929.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,6,2018,53891,False,False
Edioak,2018-01-01,https://edioak.com,"New York, New York, United States","Advertising, Content and Publishing, Education, Media and Entertainment, Sales and Marketing","Advertising, Education, Marketing, Publishing",545670.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,6,2018,39597,False,False
