company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Blockhenge,2019-11-05,https://blockhenge.com/,"Austin, Texas, United States","Blockchain and Cryptocurrency, Financial Services, Information Technology, Payments, Software","Cryptocurrency, Finance, Financial Services, FinTech, Information Technology",149042.0,White-glove financial services for cryptoasset investors and traders.,1-10,1.0,Seed,2019-12-19,500000.0,Pre-Seed,500000.0,1.0,1-10,Private,,,,,,0,4,2019,18189,False,False
Sunlight Energy Investments,2022-01-01,https://sunlightinvest.com,"Newark, New Jersey, United States","Energy, Financial Services, Natural Resources, Sustainability","Energy, Finance, Solar",1174483.0,"Sunlight Energy Investments is an investment company that specializes in the energy sector. The company offers finance, energy storage, and solar project solutions. It is involved in the acquisition of rights to develop solar generation projects, aiming to generate stable, predictable returns. The company's focus is on harnessing the power of sunlight for energy production, contributing to the renewable energy sector. It has recently signed an agreement to invest in its energy storage systems, indicating a commitment to expanding its capabilities in the energy sector.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,0.0,,6,2,2022,55518,False,False
Gigs,2021-01-01,https://gigs.com/,"San Francisco, California, United States","Hardware, Media and Entertainment, Music and Audio, Professional Services, Software","Consulting, Music, Software, Telecommunications",57194.0,"Gigs is a telecom-as-a-service platform that provides wireless subscriptions for smartphones and wearables. It debuted with an API and white-label product that enables businesses and brands to offer full-service phone plans on any network worldwide. Businesses can create their own mobile service to monetize their audience and generate recurring revenue streams, all while maintaining complete brand and pricing control. It was founded in 2020 and is based in San Francisco, California.",51-100,3.0,Early Stage Venture,2022-09-21,20000000.0,Series A,24000000.0,2.0,51-100,Private,,,0.0,0.0,,0,3,2021,7716,False,False
Jobbie,2021-01-01,https://www.jobbie.us,"Chicago, Illinois, United States","Apps, Internet Services, Mobile, Software","Internet, Mobile Apps, Online Portals",1992512.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,71976,False,False
Yenae,2018-01-01,https://www.yenae.com/,"Alexandria, Virginia, United States","Commerce and Shopping, Community and Lifestyle, Consumer Goods","E-Commerce, Jewelry, Women's",1810387.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,1.0,,6,6,2018,68964,False,False
Allergood,2021-01-01,https://www.allergood.com/,"Durham, North Carolina, United States","Community and Lifestyle, Food and Beverage, Health Care, Information Technology","Communities, Food and Beverage, Health Care, Information Technology",118342.0,"Allergood delivers transparency to food allergen and cross-contact allergen information helping brands, retailers, and consumers win on the shelf.",1-10,1.0,,2022-08-01,10000.0,Grant,10000.0,1.0,1-10,Private,,,,,,1,3,2021,15291,False,False
Stealth Machine,2019-01-01,https://stealthmachine.co/,"San Francisco, California, United States","Manufacturing, Science and Engineering, Software","Industrial Automation, Manufacturing, Productivity Tools",1531150.0,"Stealth Machine is a provider of manufacturing capability as a service intended to build efficient machine shop for manufacturing purposes. Stealth Machine offers a mix of custom hardware and software automated job shops at the lowest-cost and efficient machining service, enabling commercial partners to replace large portions of their expensive manufacturing operations.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,63606,False,False
Strike 2,2019-01-01,https://strike-2.com/,"Chicago, Illinois, United States","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","Advertising, Creative Agency, Marketing",1982039.0,"Strike 2 provides a robust offering of creative and digital services for a wide range of clients from startups to Fortune 100s. With an approach that better serves modern-day clients and their budgets, Strike 2 operates under one core belief: collaboration. Unlike traditional creative agencies that rely on outdated processes, unnecessary layers, and unneeded overhead, It provides clients with a clear path to ROI, dedication to their business, and an obsession with effectiveness.",1-10,0.0,M&A,,0.0,,0.0,,1-10,Private,,,,,,5,5,2019,72167,False,False
Hyperquery,2020-01-01,https://www.hyperquery.ai,"San Francisco, California, United States",Software,Software,166214.0,,11-50,1.0,Seed,2020-01-01,0.0,Pre-Seed,0.0,3.0,11-50,Private,,,,,,2,4,2020,19571,False,False
Sportico,2020-06-01,https://www.sportico.com/,"Los Angeles, California, United States","Internet Services, Media and Entertainment, Sports","Digital Media, Social Media, Sports",252438.0,Sportico (a PMC company) is the default resource for professionals seeking the latest and highest quality news and information in the $500 billion worldwide sports industry.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,0.0,11.0,,6,3,2020,25915,False,False
