company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Continuuminnovations,2020-01-01,https://continuuminnovations.com/,"Princeton, New Jersey, United States","Information Technology, Software","DevOps, Enterprise Software, Information Technology, Software",1909020.0,"Continuuminnovations, The professional cloud managed service providers offers end-to-end cloud solutions from start-ups to enterprises. Our skilled cloud engineers strives hard to derive strategies that suits the best for your business. We provide optimal solutions from start-ups to enterprises and love to work with all industrial sectors. We take care of everything from developing personalized cloud solutions to managing workload migrations. we assist users to reduce security risks and ensure that the firm doesn’t fall victim to modern cloud security problems. From managing multi-cloud environments to ensuring compliance, we take care of it all. We keep on updating ourselves with the new emerging technologies to deliver the best to our cilents. We are the Doers team with strong business ethics! Our prime services  AWS Managed Services Azure Managed Services Cloud Migration DevOps Big data analytics",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,70187,False,False
GoodChange,2020-01-01,https://goodchange.app,"Little Rock, Arkansas, United States","Financial Services, Information Technology","Financial Services, FinTech, Information Technology",980981.0,GoodChange is a platform for fundraising for advocacy organizations that combines responsive financial technology. It offers the most recent developments in financial technology to assist in regaining control of fundraising.,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,51878,False,False
Paradox Insurance Agency,2019-01-01,https://paradoxinsurance.com,"Kalispell, Montana, United States",Financial Services,"Auto Insurance, Commercial Insurance, Insurance",867840.0,"Paradox Insurance Agency is a provider of personal insurance and business insurance. The personal insurance includes home insurance, auto insurance, classic car insurance, condo insurance, and watercraft insurance. The business insurance including business owners insurance, business auto insurance, workers’ compensation insurance, commercial umbrella insurance, and general liability insurance.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,49069,False,False
Afamia Financial,2019-01-01,https://afamiafinancial.com,"Los Angeles, California, United States","Financial Services, Media and Entertainment, Professional Services","Advice, Consulting, Finance, Financial Services",2202361.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,74812,False,False
Fourth Wave Energy,2020-01-01,http://www.fourthwaveenergy.com,"San Jose, California, United States","Energy, Professional Services, Sustainability","Clean Energy, Energy, Environmental Consulting",93596.0,Fourth Wave Energy is a climate change solutions company focused on eliminating greenhouse gas emissions from the built environment.,1-10,1.0,,2021-12-21,4300000.0,Venture - Series Unknown,4300000.0,,1-10,Private,,,,,,1,4,2020,12526,False,False
ZapUp by 500apps,2019-05-15,https://zapup.com/,"New York, New York, United States",Software,Software,995116.0,"ZapUp is the number one no-code app integration software for better cross-app integration. With ZapUp, redundant tasks are automated and more than 200 apps can be integrated. You can create and customize Zaps in seconds. With the evolution of multiple applications for different business needs such as marketing, sales, commerce, service, and IT, Interaction across applications becomes a necessity. Its user-friendly drag-and-drop builder allows you to accomplish all of this without coding experience. Get access to 40+ apps with ZapUp at $14.99/month",251-500,0.0,,,0.0,,0.0,1.0,251-500,Private,,,,,,6,4,2019,52255,False,False
Nation's Best Holdings,2019-01-01,https://nationsbest.net/,"Dallas, Texas, United States","Commerce and Shopping, Financial Services, Hardware, Real Estate","Building Material, Financial Services, Hardware, Retail",206310.0,,251-500,0.0,,,0.0,,0.0,1.0,251-500,Private,,,,,,6,5,2019,22610,False,False
State of Matter Apparel,2020-01-01,https://stateofmatterapparel.com,"New York, New York, United States","Clothing and Apparel, Commerce and Shopping, Design","Apparel, E-Commerce, Fashion, Retail",1079046.0,"State of Matter Apparel designs and sells pants and shirts. They provide products for long sleeve, henleys, button downs, polos, t-shirts, chinos, shorts, and joggers. The company's contact modes are mail, phone, and physical address.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,53418,False,False
Avellan Capital,2018-01-01,https://www.avellancapital.com,"Santa Monica, California, United States","Financial Services, Lending and Investments, Other, Professional Services","Consulting, Finance, Financial Exchanges, Financial Services, Professional Services",2173257.0,"Avellan Capital focuses on growing companies with proven business models and clear expansion plans. As an investment firm, they use a research-intensive, long-term investment approach as well as fundamental analysis to select the investments.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,6,2018,76164,False,False
Cyclonex Solutions,2018-01-01,https://www.cyclonexbilling.com/,"Sheridan, Wyoming, United States","Financial Services, Health Care, Payments, Professional Services, Software","Accounting, Billing, Medical",1697435.0,"Cyclonex Solutions offers claims scrubbing and submission, ar follow-up, coding, edi, era, and left setups, credentialing and enrollment, claim rejection and submission, patient collections, value-based care, analytics and reporting, free audit, older aging, and medical billing management services.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,6,2018,66566,False,False
Bounty Sports,2021-01-03,http://www.bountysports.com,"Las Vegas, Nevada, United States","Gaming, Sports",Fantasy Sports,1295110.0,"Bounty Sports has built the world's first daily fantasy sports platform designed for casual sports fans. Built by a dedicated team of everyday fans, Bounty levels the playing field, allowing fans to compete against each other to win cash prizes. No advanced algorithms or one sided odds, just fans vs fans. May the best fan win!",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,58720,False,False
Your Minute Mechanic,2018-01-01,https://www.maurersminutemechanic.com/,"Greenville, North Carolina, United States","Other, Professional Services, Transportation","Customer Service, Recreational Vehicles, Service Industry",741190.0,"Your Minute Mechanic provides convenient, low-cost self-service auto diagnostics helping people navigate costly car repairs every day. Your Minute Mechanic is a patented, new revolutionary concept in automotive diagnostics. It is a stand-alone auto diagnostic machine similar to air or vacuum machine outside your local gas station.  When an indicator light illuminates, most of us head to the service department or repair shop with no earthly idea of what is wrong with our vehicle. Others will ignore the light as long as possible for lack of time, money, or inconvenience. With Your Minute Mechanic, your car is diagnosed by a state of the art computer in simple terms to allow you to make an educated decision about the servicing of your vehicle.",1-10,1.0,,2021-05-13,0.0,Grant,0.0,,1-10,Private,,,,,,3,6,2018,45644,False,False
