Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
The Inspired Arts,https://www.crunchbase.com/organization/the-inspired-arts,2021-01-01,year,"Education, Media and Entertainment, Young Adults","Dudley, Massachusetts, United States",The Inspired Arts is an entertainment company that provides physical learning and comprehensive dance education with theatre performances.,"3,031,797",$1M to $10M,Active,,,,,For Profit,https://www.theinspiredartscompany.com,,,,https://www.facebook.com/inspiredartscompany,"East Coast, New England, Northeastern US",,,,,,,,,,,,,,,,,"Community and Lifestyle, Education, Media and Entertainment",1,Morgan Cacciapouti,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4,,,,,,,,,,
Bugaboo Bookkeeping,https://www.crunchbase.com/organization/bugaboo-bookkeeping,2019-01-01,year,"Accounting, Consulting, Financial Services","Auburn, Washington, United States","Bugaboo Bookkeeping is an accounting firm that provides tax preparation, financial reporting, payroll, and consulting services.","3,031,789",,Active,,,,,For Profit,https://bugaboobookkeeping.com/,https://twitter.com/BugBookkeeping,https://www.linkedin.com/company/bugbookkeeping/,,https://www.facebook.com/BugabooBookkeeping/,"Greater Seattle Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Huyai,https://www.crunchbase.com/organization/huyai,2018-11-01,day,,"Cincinnati, Ohio, United States",Book vacations & safaris to Africa,"3,031,654",,Active,,,,,For Profit,https://www.huyai.com,,https://www.linkedin.com/company/huyai,"Huyai is the most comprehensive and searchable source of information about African attractions from safaris, beaches, waterfalls, game parks, trails to monuments. Find your way to some of the most beautiful places on Earth. Book your travel from the convenience of your home.",https://facebook.com/teamhuyai,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,9.64%,6,,,,,,,,,,
Family Advance Loan Center,https://www.crunchbase.com/organization/family-advance-loan-center,2019-01-01,year,"Accounting, Credit, Financial Services","Tulsa, Oklahoma, United States","Family Advance Loan Center provides array of loans, credit, accounting, professional, online payments, and financial services.","3,031,601",Less than $1M,Active,,,,,For Profit,https://familyadvance.com/,,,,,Southern US,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,26,,,,,,,,,,
Lumos Language School,https://www.crunchbase.com/organization/lumos-language-school,2018-01-01,year,"Education, Language Learning, Vocational Education","Salt Lake City, Utah, United States",Lumos Language School offers English language programs for academic preparation and daily communication.,"3,031,542",$1M to $10M,Active,,,,,For Profit,https://lumos.edu,,https://www.linkedin.com/company/lumoslanguageschool,,https://www.facebook.com/lumoslanguageschool,Western US,,,,,,,,,,,,,,,,,Education,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-10.83%,,,,,,,,,,,
Rapid Testing Solutions,https://www.crunchbase.com/organization/rapid-testing-solutions,2020-01-01,year,"Health Care, Health Diagnostics, Wellness","Illinois City, Illinois, United States","Rocket Testing offers rapid COVID-19 drive-thru testing in Chicagoland, providing PCR and rapid results.","3,031,528",$1M to $10M,Active,,,,,For Profit,https://rockettesting.com,,https://www.linkedin.com/company/rockettesting/,,https://www.facebook.com/p/Rocket-Testing-100070534561880/,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,Health Care,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
MyResumeDash,https://www.crunchbase.com/organization/myresumedash,2021-01-01,year,"Apps, Information Technology, Software","Reston, Virginia, United States","MyResumeDash offers tools for resume building and management, aiding young professionals in career development.","3,031,523",,Active,,,,,For Profit,https://myresumedash.com,,https://linkedin.com/company/myresumedash,,,"Washington DC Metro Area, East Coast, Southern US",,,,,,,,,,,,,,,,,"Apps, Information Technology, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
BMO Media,https://www.crunchbase.com/organization/bmo-media,2022-01-01,year,"Digital Marketing, Email Marketing, Marketing","Los Angeles, California, United States","BMO Media offers retention marketing services including email, SMS, loyalty programs, and reviews management.","3,031,520",,Active,,,,,For Profit,https://bmomedia.co,,https://www.linkedin.com/company/bmo-media,,,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,Sales and Marketing,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
IMAAM,https://www.crunchbase.com/organization/imaam,2019-01-01,year,"Digital Marketing, Internet, Software","Orange, California, United States",IMAAM is a digital marketing agency that provides real-time ROI on marketing campaigns.,"3,031,517",,Active,,,,,For Profit,https://www.imaam.com,,https://www.linkedin.com/company/imaam/,,,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Internet Services, Sales and Marketing, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1,,,,,,,,,,
Rubberband Village,https://www.crunchbase.com/organization/rubberband-village,2020-01-01,year,"Consulting, Information Technology, Product Management","Bellevue, Washington, United States","Rubberband Village is an IT company that provides digital transformation, product leadership, and salesforce consulting services.","3,031,509",$1M to $10M,Active,,,,,For Profit,https://www.rubberbandvillage.com,https://twitter.com/RubberbandVilla,https://www.linkedin.com/company/rubberbandvillage,,,"Greater Seattle Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Information Technology, Other, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,2,,,12,,,,,,,
