Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Yae Labs,https://www.crunchbase.com/organization/yae-labs,2022-05-25,day,,"Tokyo, Tokyo, Japan","Yae Labs is a web3, metaverse, and anime startup.","89,638",,Active,,,,,For Profit,https://yaelabs.com/,https://twitter.com/YaeLabs_Inc,https://www.linkedin.com/company/yaelabs/,Yae Labs is a web3 and metaverse company that aims to create a future where people can economically live in an anime by utilizing blockchain technology.,https://www.facebook.com/yaelabs.inc,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,,1,Yoshiki Kono,1-10,1,Seed,2022-07-27,23000000,JPY,168969,Seed,23000000,JPY,168969,Seed,23000000,JPY,168969,23000000,JPY,168969,Skyland Ventures,1,1,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
HYKE,https://www.crunchbase.com/organization/hyke-up,2020-07-17,day,"Analytics, Customer Service, Information Technology, Internet, Software","St. John's, Newfoundland, Canada",Hyke is a pioneer of transparency and a leader in consumer-centric data analytics.,"89,638",Less than $1M,Active,,,,,For Profit,https://hykeup.com/,https://twitter.com/hykeup,https://www.linkedin.com/company/hykeup/,Hyke is a pioneer of transparency and a leader in consumer-centric data analytics. HYKE's mission is to revolutionize customer engagement by using psychology and technology as the main ingredients and a pinch of gamification as a spice.,https://www.facebook.com/hykeup/,,,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Other, Professional Services, Software",1,Sid Eskandari,11-50,4,Seed,2022-09-15,,,,Non-equity Assistance,102460,USD,102460,Pre-Seed,102460,USD,102460,102460,USD,102460,"Creative Destruction Lab (CDL), Government of Newfoundland and Labrador, National Research Council Canada, Genesis",1,4,,,,,,,Private,,,,,,,,,,,,,,,56,2,,,,,,,,,
Code Kingdoms,https://www.crunchbase.com/organization/code-kingdoms,2013-11-01,day,"Education, Internet, Mobile, Software","London, England, United Kingdom",Code Kingdoms is an online platform which teaches kids how to code.,"89,639",$1M to $10M,Active,2021-03-09,day,,,For Profit,http://codekingdoms.com,http://twitter.com/CodeKingdoms,https://www.linkedin.com/company/code-kingdoms/about/,"Code Kingdoms is an online platform for kids to learn to code. We believe that kids should be given the opportunity to learn one of the essential creative skills for the 21st century - code literacy.  They should have the chance to be creative with code and use it to build things they love.  We built our code editor so that kids can ‘mod’ existing games, build their own and program hardware using the best technology available.",http://www.facebook.com/codekingdoms,"Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Education, Internet Services, Mobile, Software",2,"Hugh Collins, Ross Targett",11-50,4,M&A,2017-07-21,750000,GBP,974962,Seed,750000,GBP,974962,Seed,2841782,USD,2841782,2841782,USD,2841782,"Entrepreneur First, Blenheim Chalcot, SparkLabs Global Ventures, Pitch@Palace, Initial Capital",,8,,Was Acquired,2021-03-09,day,Leveraged Buyout,,Private,,,,,,,,,,,,,,-3.92%,39,,,27,,,,,,,
Biographies,https://www.crunchbase.com/organization/biographies,2021-08-21,day,"Advertising, Marketing, Software",,Biographies has been dissolved.,"89,640",,Active,,,,,For Profit,,,,Dissolved,,,,,,,,,,,,,,,,,,,"Advertising, Sales and Marketing, Software",1,Yahya Osman,11-50,1,Seed,2021-08-21,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,,,,3,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,20175,USD,20175
DeepWork Capital,https://www.crunchbase.com/organization/the-fan-fund,2015-10-31,day,"Biotechnology, Venture Capital","Orlando, Florida, United States",DeepWork Capital is an early stage investment firm that focuses on underserved markets and invests in high growth companies.,"89,640",$1M to $10M,Active,,,,,For Profit,http://www.deepworkcapital.com,https://twitter.com/DeepWorkCapital,https://www.linkedin.com/company/deepworkcapital/,"DeepWork Capital, a Florida-based venture capital firm, invests in high-growth early-stage companies in the technology and life science sectors through proprietary and public committed capital funds. The Firm partners with visionary entrepreneurs building world-changing companies and supports portfolio companies' successes with active engagement.  For additional information, please see https://www.deepworkcapital.com.",,"East Coast, Southern US","Early Stage Venture, Seed","Micro VC, Venture Capital",39,68,25,19,4,4,,,,,,,,,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering",3,"Benjamin Patz, Kathy Chiu, Mitchel Laskey",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,72.44%,7,,,14,0,0,,Insurance; financial affairs,,,
Snaptag,https://www.crunchbase.com/organization/snaptag,2020-09-01,month,"Information Technology, Security, Software","Seongnam, Kyonggi-do, South Korea",Snaptag is a developer of an invisible watermark technology intended for image data engine processing.,"89,641",,Active,,,,,For Profit,https://snaptag.co.kr,,,,,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,,1,Early Stage Venture,2022-01-25,2500000000,KRW,2089776,Series A,2500000000,KRW,2089776,Series A,2500000000,KRW,2089777,2500000000,KRW,2089777,"TIGRIS investment, VIP Research & Management, Central Investment Partners",,3,1,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Atacama Biomaterials,https://www.crunchbase.com/organization/atacama-biomaterials,2023-01-01,year,"Advanced Materials, Artificial Intelligence, CleanTech, Machine Learning, Packaging Services","Cambridge, Massachusetts, United States",AI platform producing compostable and biodegradable plastic alternatives,"89,643",,Active,,,,,For Profit,https://www.atacamabiomaterials.com/,,,,,"Greater Boston Area, East Coast, New England",,,,,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence, Data and Analytics, Manufacturing, Science and Engineering, Software, Sustainability",2,"Jose Tomas Dominguez, Paloma Gonzalez",1-10,3,Seed,2023-03-01,500000,USD,500000,Pre-Seed,500000,USD,500000,Pre-Seed,500000,USD,500000,515000,USD,515000,Front Row Fund,1,1,,,,,,,Private,,,,,,,,,,,,,,,6,,,,,,,,,,
Da Zen Theranostics,https://www.crunchbase.com/organization/da-zen-theranostics,2017-01-01,year,"Biotechnology, Therapeutics","San Jose, California, United States","Da Zen Theranostics develop a product that can target cancer cells, function as a contrast agent to improve the visibility of cancer cells.","89,643",$1M to $10M,Active,,,,,For Profit,http://www.dazenthera.com,,,"Da Zen Theranostics develop a product that can target cancer cells, function as a contrast agent to improve the visibility of cancer cells. It functions as a contrast agent to improve the visibility of cancer cells during diagnostic imaging and deliver a therapeutic drug to destroy cancerous cells. The product will be based on a chemical compound that was created by Dr. Maged Henary, associate professor of chemistry at Georgia State. Henary’s chemical compound, a heptamethine cyanine also known to the scientific community as MHI-148, is already being used internationally in cancer imaging research. The company was founded in 2017 and is based in San Jose, California.",,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Leland W.K. Chung,1-10,2,Seed,2019-07-17,700000,USD,700000,Seed,700000,USD,700000,Seed,2300000,USD,2300000,2300000,USD,2300000,,,,,,,,,,Private,,,,,,,,,,,,,,,19,,,,,,,,,,
The Flowr Corporation,https://www.crunchbase.com/organization/the-flowr-corporation,2017-01-01,day,"Agriculture, Farming, Product Research","Toronto, Ontario, Canada","The Flowr Corporation is a vertically-integrated cannabis company that cultivates better people, plants, and products.","89,644",$10M to $50M,Active,2018-09-28,day,,,For Profit,https://flowrcorp.com,https://twitter.com/flowrcanada/,https://www.linkedin.com/company/flowrcanada,"The Flowr Corporation is a vertically-integrated cannabis company that cultivates better people, plants, and products. The cannabis company produces recreational and medicinal cannabis from a purpose-built, GMP-designed indoor cultivation facility, an outdoor and greenhouse cultivation site. It grows high-quality stuff for global medicinal cannabis demand through its subsidiary Holigen.  It was founded in 2017 and is headquartered in Toronto, Ontario, Canada.",https://www.facebook.com/FlowrCanada,Great Lakes,,,,,,,,,,,,,,,,,"Agriculture and Farming, Data and Analytics, Design",1,Tom Flow,51-100,2,IPO,2020-04-21,20000000,CAD,14092029,Post-IPO Debt,9084117,USD,9084117,Post-IPO Equity,9084117,USD,9084117,23176146,USD,23176146,,,,1,Made Acquisitions,,,,,Public,2018-09-28,,,,,,,FLWR,https://www.crunchbase.com/ipo/the-flowr-corporation-ipo--7da25455,TSX-V - Toronto TSX Venture Exchange,,2022-06-24,,,20,,,,,,,,,,
ELi Technology,https://www.crunchbase.com/organization/eli-technology,2017-01-01,year,"Information and Communications Technology (ICT), Information Technology, Telecommunications","Halifax, Nova Scotia, Canada",ELi Technology develops a patented methodology that provides the most accurate mobile location for an emergency call.,"89,645",,Active,,,,,For Profit,https://www.eli-technology.com/,,https://www.linkedin.com/company/eli-technology-inc/,"ELi Technology develops a patented methodology that provides the most accurate mobile location for an emergency call. The company's Emergency Mobile Location (EML) system provides verified, dispatchable civic addresses plus latitudinal and longitudinal coordinates, ensuring accurate and automatic emergency call location for mobile devices, including rural, urban and indoor. Peter Woodford founded the ELi in Halifax, Nova Scotia, Canada in 2017.",,,,,,,,,,,,,,,,,,,"Hardware, Information Technology",2,"Dennis Young, Peter Woodford",11-50,1,Seed,2020-11-18,142499,CAD,108871,Seed,142499,CAD,108871,Seed,142499,CAD,108871,142499,CAD,108871,,,,,,,,,,Private,,,,,,,,,,,,,,,26,,,5,3,0,,Scientific and technological services,,,
