Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Lillian Care,https://www.crunchbase.com/organization/lillian-care,2022-12-01,month,Health Care,"Heidelberg, Baden-Wurttemberg, Germany",Lillian is building a nationwide network of health facilities in Germany.,"16,941",,Active,,,,,For Profit,https://lillian-care.de,,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A90769943&keywords=lillian%20care%20gmbh&origin=RICH_QUERY_SUGGESTION&position=0&searchId=e3914be9-18f6-4b71-a73d-66de3bc2e982&sid=jUL,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,Health Care,3,"Dr. Florian Fuhrmann, Linus Drop, Markus Liesmann",1-10,1,Seed,2023-08-01,2400000,EUR,2641847,Pre-Seed,2400000,EUR,2641847,Pre-Seed,2400000,EUR,2641848,2400000,EUR,2641848,"Aescuvest, Nina Capital, Calm/Storm Ventures, Björn von Siemens, Caesar.vc",1,9,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
GLO Pharma,https://www.crunchbase.com/organization/glo-pharma,2018-01-01,year,"Beauty, Health Care, Medical","Carlsbad, California, United States",GLO Pharma is a beauty and aesthetics company developing aesthetic skincare products for at home use.,"16,943",,Active,,,,,For Profit,http://www.ourself.com,,https://www.linkedin.com/company/ourself,Glo Pharma is a healthcare company developing aesthetic skincare products. The company is currently operating in stealth mode.,,"Greater San Diego Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Consumer Goods, Health Care",3,"Connor Glenn, Lauren G. Otsuki, Scott Glenn",11-50,3,,2022-02-03,53000000,USD,53000000,Venture - Series Unknown,53000000,USD,53000000,Venture - Series Unknown,112845000,USD,112845000,112845000,USD,112845000,,,,,,,,,,Private,,,,,,,,,,,,,,55.06%,13,,,,,,,,,,
Didomi,https://www.crunchbase.com/organization/didomi,2017-01-01,year,"Compliance, Information Technology, Privacy, Software","Paris, Ile-de-France, France",Didomi is a consent and preference management platform for collecting and leveraging user consents and preferences for businesses.,"16,945",,Active,,,,,For Profit,https://www.didomi.io,https://twitter.com/Didomi_io,https://www.linkedin.com/company/didomi,"Didomi is a consent and preference management platform for collecting and leveraging user consents and preferences for businesses.The company's cloud-based suite of tools includes automated websites/apps scanning and auditing, privacy compliance assessment, privacy and cookie policy generation, and consent management, enabling businesses of all sizes to comply with privacy requirements and build consumer trust.",https://www.facebook.com/WeAreDidomi,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Professional Services, Software",2,"Raphael Boukris, Romain Gauthier",11-50,2,Early Stage Venture,2021-07-09,33800000,EUR,40146809,Series B,33800000,EUR,40146809,Series B,38800000,EUR,45814619,38800000,EUR,45814619,"Bpifrance, Breega, Thibaud Elziere, Elephant",2,4,,,,,,,Private,,,,,,,,,,,,,1,102.86%,86,,,33,0,6,,Education; entertainment,,,
GK8,https://www.crunchbase.com/organization/gk8,2018-01-01,year,"Asset Management, Blockchain, Cyber Security, Financial Services, Software","Tel Aviv, Tel Aviv, Israel",GK8 is a cybersecurity company that offers a high-security custodian technology for managing and safeguarding digital assets.,"16,946",$1M to $10M,Active,2022-12-01,day,,,For Profit,https://www.gk8.io/,,https://www.linkedin.com/company/gk8/,"GK8 is a cybersecurity company that offers a high-security custodian technology for managing and safeguarding digital assets. The technology allows financial institutions to execute the entire digital assets management process, including sending transactions to the blockchain, without the need for an Internet connection. The Company is led and backed by industry thought leaders.",,"Europe, Middle East, and Africa (EMEA), Middle East",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Privacy and Security, Software",2,"Lior Lamesh, Shahar Shamai",11-50,3,M&A,2020-10-01,8000000,USD,8000000,Series A,8000000,USD,8000000,Series A,12000000,USD,12000000,12000000,USD,12000000,"Eden Block, IN Venture, Rafi Gidron",2,3,,Was Acquired,2022-12-01,day,Acquisition,,Private,,,,,,,,,,,,,2,61.87%,49,1,5,,,,,,,,
Artly Coffee,https://www.crunchbase.com/organization/artly-coffee,2020-01-01,year,"Artificial Intelligence, Food and Beverage, Information Technology, Machine Learning, Robotics, Software","Seattle, Washington, United States",Artly Coffee develops a robot barista that learns various coffee-making techniques from human baristas.,"16,947",,Active,,,,,For Profit,https://artly.coffee/,,https://www.linkedin.com/company/artly-coffee,"Artly Coffee develops a robot barista that learns various coffee-making techniques from human baristas. The robots are trained by expert human baristas using artificial intelligence to brew specialty coffee. As robots, they eliminate the risks that human contact may pose to public health. Founded in 2020, Artly is based in Seattle, Washington.",,"Greater Seattle Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Food and Beverage, Hardware, Information Technology, Science and Engineering, Software",2,"Meng Wang, Yushan Chen",1-10,2,,2023-08-17,,,,Venture - Series Unknown,,,,Venture - Series Unknown,8300000,USD,8300000,8300000,USD,8300000,"Amino Capital, KPCS Ventures, LDV Partners, SV Tech Ventures, Aimtop Ventures",5,5,,,,,,,Private,,,,,,,,,,,,,,,15,,,,2,0,Controlling,Environmental control apparatus,,,
Porter,https://www.crunchbase.com/organization/porter-0eee,2014-01-01,year,"Information Technology, Internet, Software, Software Engineering","New York, New York, United States",Kubernetes powered PaaS that runs in your own cloud.,"16,948",,Active,,,,,For Profit,https://porter.run,,https://www.linkedin.com/company/getporter/,"Porter primarily focuses on developing remote dev environments that allow users to run, optimize & build solutions without local constraint.",,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Science and Engineering, Software",3,"Alexander Belanger, Justin Rhee, Trevor Shim",1-10,3,Seed,2021-07-30,1350000,USD,1350000,Seed,1350000,USD,1350000,Seed,1475000,USD,1475000,1475000,USD,1475000,"Y Combinator, Four Cities Capital, Translink Investment",1,3,,,,,,,Private,,,,,,,,,,,,,,-78.69%,132,,,,,,,,,,
BeeReaders,https://www.crunchbase.com/organization/beereaders,2020-02-01,day,"EdTech, Education, Language Learning","Austin, Texas, United States",Edtech company delivering digital solutions for PreK-12 Spanish literacy improvement,"16,949",Less than $1M,Active,,,,,For Profit,https://www.beereaders.com,https://twitter.com/bee_readers,https://www.linkedin.com/company/beereadersinc,"BeeReaders is a Spanish-first platform elevating Pre K-12 literacy with authentic content, AI-powered analytics for demonstrated impact, and school-family engagement.",https://www.facebook.com/BeereadersInc/,Southern US,,,,,,,,,,,,,,,,,"Education, Software",2,"Luis Gringras, Ruben Arias",51-100,6,Seed,2023-04-18,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,7695000,USD,7695000,7695000,USD,7695000,"MassChallenge, gener8tor, AT&T, Right Side Capital Management, Sorenson Impact",5,18,,,,,,,Private,,,,,,,,,,,,,,15.22%,85,2,721,8,0,1,,Education; entertainment,,,
Wyvern,https://www.crunchbase.com/organization/wyvern-d3f9,2018-03-01,day,"Aerospace, Big Data, Geospatial","Edmonton, Alberta, Canada",The highest resolution hyperspectral imagery of Earth from space.,"16,954",,Active,,,,,For Profit,https://www.wyvern.space/,https://twitter.com/WyvernSpace,https://www.linkedin.com/company/wyvern-space/,"Wyvern was created to unlock the secrets of the electromagnetic spectrum by providing groundbreaking access to high-resolution and quality imagery. The hyperspectral sensors on our Dragonette satellites will capture data in many narrow spectral bands, allowing for the identification of unique chemical and physical properties of the Earth's surface. This makes Wyvern's hyperspectral imagery data an extremely valuable tool for a wide range of site monitoring, mapping and geospatial intelligence (GEOINT) use-case applications.",https://www.facebook.com/WyvernSpace,,,,,,,,,,,,,,,,,,"Data and Analytics, Navigation and Mapping, Science and Engineering",4,"Callie Lissinna, Chris Robson, Kristen Cote, Kurtis Broda",11-50,8,Seed,2022-11-01,7000000,USD,7000000,Seed,7000000,USD,7000000,Seed,9250000,USD,9250000,12581362,USD,12581362,"Creative Destruction Lab (CDL), Y Combinator, Rebel Fund, Sprint Vc, MaC Venture Capital",4,17,,,,,,,Private,,,,,,,,,,,,,,,29,,,,,,,,,,
Anyscale,https://www.crunchbase.com/organization/anyscale,2019-01-01,year,"Artificial Intelligence, Developer Platform, Information Technology, Machine Learning, Open Source","San Francisco, California, United States","Anyscale accelerates the development and productionization of any AI app, on any cloud, at any scale.","16,956",$1M to $10M,Active,,,,,For Profit,https://anyscale.com,https://twitter.com/anyscalecompute,https://www.linkedin.com/company/joinanyscale,"Anyscale, the company founded by the creators of Ray, is accelerating the development and productionization of AI applications, at any scale. Ray, the fastest growing open source project in distributed AI, lets developers instantly scale applications from a laptop to the cloud, without the cost or expertise of building complex infrastructure. By empowering developers of all skill levels to effortlessly develop and scale the end-to-end AI lifecycle on a single compute substrate and deploy the app into production, Anyscale is enabling organizations to bring AI products to market faster and at lower costs. Backed by Andreessen Horowitz, NEA, and Addition, Anyscale is based in San Francisco, CA. www.anyscale.com",https://www.facebook.com/AnyscaleCompute,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",4,"Ion Stoica, Michael I. Jordan, Philipp Moritz, Robert Nishihara",101-250,4,Late Stage Venture,2022-08-23,99000000,USD,99000000,Series C,99000000,USD,99000000,Series C,259000000,USD,259000000,259000000,USD,259000000,"Ant Group, Andreessen Horowitz, Intel Capital, Foundation Capital, The House Fund",4,10,,,,,,,Private,,,,,,,,,,,,,,-38.85%,45,,,20,0,3,,Scientific and electric apparatus and instruments,,,
Point Pickup,https://www.crunchbase.com/organization/point-pickup,2015-01-01,year,"Delivery Service, E-Commerce, Mobile Apps","Stamford, Connecticut, United States","Point Pickup Technologies is a mobile app delivery platform that solves on-demand, pre-scheduled, and recurring same-day delivery needs.","16,957",$1M to $10M,Active,,,,,For Profit,https://pointpickup.com/,https://twitter.com/pointpickup,https://in.linkedin.com/company/point-pick-up,"Point Pickup Technologies (PPUP) is a mobile APP delivery platform solving on-demand, pre-scheduled, and recurring same-day delivery needs.  PPUP is a multi-modal single platform for all same-day delivery solutions (middle and last-mile) it services the widest range of industries and company sizes, with an emphasis on big-box retail, grocery, liquor/specialty, industrial, pharmaceutical, and manufacturing businesses. Based on its precision matching technology platform and diverse network of independent drivers including everyday people with cars and professional commercial vehicle drivers, PPUP’s complete delivery model solves the unique challenges of the same-day delivery market. PPUP services all major markets throughout the United States while also uniquely focusing on the under-served secondary markets.",https://www.facebook.com/pointpickup,"East Coast, New England, Northeastern US",,,,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Mobile, Software, Transportation",1,Tom Fiorita,11-50,3,,2021-11-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,30070616,USD,30070616,30070616,USD,30070616,"Techstars, Connecticut Innovations, BBH Capital Partners, SymphonyAlpha Ventures",2,4,2,Made Acquisitions,,,,,Private,,,,,,,,,,,,,1,-83.48%,77,3,"4,403",,,,,,200212,USD,200212
