Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Datarisk.io,https://www.crunchbase.com/organization/datarisk-io,2015-01-01,year,"Credit, FinTech, Fraud Detection, Information Services, Information Technology, Machine Learning, Predictive Analytics, SaaS","Florianópolis, Santa Catarina, Brazil","DataRisk is an online predictive modeling platform focused on credit, collection, and fraud serving mainly financial institutions.","73,379",,Active,,,,,For Profit,http://www.datarisk.io,https://twitter.com/datarisk1,https://www.linkedin.com/company/datarisk,"DataRisk is an online predictive modeling platform focused on credit, collection, and fraud serving mainly financial institutions. The company uses tools to deliver a complete, scalable web solution. A model available for shoring is possible in a few hours. It also develops a SaaS solution that makes data science reachable to any company without a data scientist. It enables the development and automatic updating of machine learning models for applications such as credit, marketing, and fraud prevention. The products are created to extract information and generate a predictive model. DataRisk was founded on 2015 and is headquartered in Florianópolis, Brazil.",https://www.facebook.com/pg/DataRiskMachineLearning,Latin America,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Payments, Privacy and Security, Software",2,"Gustavo Di Giovanni Bernardo, Jhonata Emerick",1-10,3,Seed,2021-04-01,,,,Non-equity Assistance,2500000,BRL,610295,Seed,2500000,BRL,610296,673296,USD,673296,"Google for Startups, Criatec 2",2,2,,,,,,,Private,,,,,,,,,,,,,,,49,,,,,,,,,,
Rigor,https://www.crunchbase.com/organization/rigor-fe19,2021-01-01,year,"Construction, Cryptocurrency, Finance, Financial Services, Property Development","Dover, Delaware, United States",Rigor decentralizes lending and coordinates payment flows with construction logistics.,"73,380",,Active,,,,,For Profit,https://rigor.build/,https://twitter.com/Rigor_HQ,https://www.linkedin.com/company/rigor-technologies/about/,Rigor decentralizes lending and coordinates payment flows with construction logistics.,,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Payments, Real Estate, Software",1,Erich Wasserman,11-50,2,Seed,2022-06-16,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,4800000,USD,4800000,4800000,USD,4800000,"Bain Capital Ventures, Digital Currency Group, Cozy Finance, Agya Ventures, Third Prime",1,8,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Zebi,https://www.crunchbase.com/organization/zebi,2015-01-01,year,"Analytics, Information Services, Information Technology","Visakhapatnam, Andhra Pradesh, India",Zebi provides Data and Analytics as a Service to Indian Businesses/Governments of all sizes.,"73,381",,Active,,,,,For Profit,https://www.zebi.io,https://twitter.com/ZebidataIndia,https://www.linkedin.com/company/zebi,"Zebi provides Data and Analytics as a Service to Indian Businesses/Governments of all sizes. Zebi is set to leapfrog Indian Organizations into Next Generation technologies. Zebi’s Big Data Platform drives up efficiencies for businesses, governments, and enhances quality of life for citizens/consumers.",https://www.facebook.com/ZebidataIndia/,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology",3,"Babu Munagala, Pruthvi Rao, Sudheer Kuppam",11-50,4,,2018-03-19,10000000,USD,10000000,Initial Coin Offering,10000000,USD,10000000,Initial Coin Offering,21000000,USD,21000000,21000000,USD,21000000,Kosmos Ventures,1,1,1,Made Acquisitions,,,,,Private,,,,,,,,,,,,,,,12,3,,4,,,,,,,
Minti,https://www.crunchbase.com/organization/minti-7222,2021-02-01,day,"Cryptocurrency, Social Media","New York, New York, United States",Minti helps creators auto-mint social posts as non-fungible tokens.,"73,382",,Active,,,,,For Profit,https://www.mintiapp.com/,https://twitter.com/mintiapp,https://www.linkedin.com/company/mintiapp,"Mint enables creators to automatically mint social posts as non-fungible tokens. Creators can now mint their social content with Minti and post it to Instagram and Twitter, where all of their followers are.",,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Media and Entertainment, Payments, Software",2,"Sun Lee, Wally Sajimi",1-10,1,Seed,2021-06-01,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,1000000,USD,1000000,"Innovation Works, Pareto Holdings, Quake Capital Partners, Third Kind Venture Capital, Nadav Ben-Chanoch",,8,,,,,,,Private,,,,,,,,,,,,,,-39.45%,33,,,7,,,,,,,
Spot Tech,https://www.crunchbase.com/organization/spot-5,2014-01-01,year,"Leisure, Restaurants, Tourism, Travel","San Francisco, California, United States",Spot Tech is an application that lets you plan trips and explore the best places in the world with your friends.,"73,385",$100M to $500M,Active,,,,,For Profit,http://spot.com/,https://twitter.com/spot,https://www.linkedin.com/company/spotdotcom,"Spot Tech is an application that lets you plan trips, explore the best places in the world and make to-do lists with your friends.",http://www.facebook.com/spot,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,,,,,,,"Community and Lifestyle, Food and Beverage, Travel and Tourism",1,Steve Weiner,1-10,1,Seed,2016-03-08,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,"Expa, SVA",,2,,,,,,,Private,,,,,,,,,,,,,,98.66%,39,2,4,11,,,,,,,
Finteca,https://www.crunchbase.com/organization/finteca,2017-01-01,year,"Financial Services, FinTech, Software","Barcelona, Catalonia, Spain","makes it easy to plan, apply and coordinate a mortgage - all from your phone.","73,388",,Active,,,,,For Profit,http://www.finteca.es,https://twitter.com/finteca?lang=en,https://www.linkedin.com/company/fintecatech/,"Finteca can save you more than € 8,000 * compared to traditional advisors. Without commissions, without risk, our professional team improves conditions of interest and other parameters.",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,"Financial Services, Software",3,"Carlos Blanco, Marc Torres, Silvia Escamez Romero",11-50,5,Seed,2023-01-31,,,,Pre-Seed,,,,Pre-Seed,1250000,EUR,1433856,1430000,EUR,1634996,"ICF Capital, Nuclio Venture Builder, Nekko Capital, Carlos Blanco, Archipelago Next",2,6,,,,,,,Private,,,,,,,,,,,,,1,,59,2,,21,,,,,,,
Visbit,https://www.crunchbase.com/organization/visbit-inc,2015-03-02,day,"Cloud Computing, Computer Vision, Enterprise Software, Video Streaming, Virtual Reality","Sunnyvale, California, United States","Smart transmission and playback of premium quality immersive media across headsets, mobile, and web.","73,390",$1M to $10M,Active,,,,,For Profit,http://www.visbit.co,https://twitter.com/visbitinc,https://www.linkedin.com/company/visbit-inc-,"Based in Silicon Valley, Visbit, Inc. is a visual technology company enabling 360-degree video and VR content creators to deliver the highest quality streaming and viewing experiences to consumers across multiple VR platforms. With the patented Visbit View-Optimized Streaming (VVOS) technology, Visbit is the first to offer a streaming service that can deliver and play 360-degree VR videos without noticeable latency in 4-8K resolution over regular Wi-Fi and LTE across VR headsets and platforms.  Visbit’s technology allows premium quality 360-degree VR video to be viewed without downloading or heavy compression, which improves user experience, increases user reach at existing bandwidth and saves overall data usage – closing the gap between VR content requirements and typical network speed capabilities.  The company was founded in 2015 and is based in Sunnyvale, CA. For more information go to www.visbit.co.",https://www.facebook.com/visbit,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Content and Publishing, Hardware, Internet Services, Media and Entertainment, Software, Video",2,"Changyin Zhou, Elaine Lu",1-10,3,Seed,2019-04-09,2250000,USD,2250000,Seed,2250000,USD,2250000,Seed,5450000,USD,5450000,5450000,USD,5450000,"ZhenFund, Amino Capital, Colopl Next, Presence Capital, Sparkland Capital",,6,,,,,,,Private,,,,,,,,,,,,,5,-21.92%,11,8,,20,10,4,Electric Communication Technique,Scientific and electric apparatus and instruments,31230,USD,31230
Decoy Smart Control,https://www.crunchbase.com/organization/decoy-smart-control,2015-01-01,year,Biotechnology,"Ribeirão Prêto, Minas Gerais, Brazil",Decoy Smart Control is biological solutions developer for pest control.,"73,393",$1M to $10M,Active,,,,,For Profit,https://www.decoysmart.com/,,https://www.linkedin.com/company/decoy-smart-control,Decoy Smart Control is biological solutions developer for pest control.,,Latin America,,,,,,,,,,,,,,,,,"Biotechnology, Science and Engineering",1,Lucas von Zuben,11-50,2,Seed,2022-04-25,9000000,BRL,1845169,Seed,9000000,BRL,1845169,Seed,9000000,BRL,1845170,9810000,BRL,2003348,"Fundação de Amparo à Pesquisa do Estado de SP, SP Ventures, Farmabase",2,3,,,,,,,Private,,,,,,,,,,,,,,,43,,,,,,,,,,
Reflexion AI,https://www.crunchbase.com/organization/reflexion-ai,2021-01-01,year,"Artificial Intelligence, Software","Dover, Delaware, United States",Reflexion AI is a video search engine for Media businesses.,"73,394",,Active,,,,,For Profit,https://reflexion.ai/,,https://www.linkedin.com/company/reflexion-ai,"Reflexion AI is a video search engine for Media businesses developed by leveraging on large language models to analyse videos. It enables semantic and intelligent search, content moderation, genre and mood identification and auto-generation of highlights and teasers from any content.",,"East Coast, Southern US",,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2,"Chandni Priya, Karan Kabra",11-50,1,Seed,2022-03-15,250000,USD,250000,Pre-Seed,250000,USD,250000,Pre-Seed,250000,USD,250000,250000,USD,250000,,,,,,,,,,Private,,,,,,,,,,,,,,,55,,,,,,,,,,
ERTH,https://www.crunchbase.com/organization/erth,2018-01-01,year,"Electronics, Recycling, Service Industry","Selangor, Selangor, Malaysia",ERTH is a social enterprise that specializes in collecting and recycling electronic waste from households and businesses.,"73,395",,Active,,,,,For Profit,https://www.erth.app/,https://twitter.com/erthhq,https://www.linkedin.com/company/masar-smart-energy/,"ERTH (E-waste Recycling Through Heroes) buys all kinds of end-of-life personal electronics such as PCs, laptops, smartphones, etc. for recycling. ERTH provides free pick-up service by thousands of Heroes and pays higher prices for your e-waste than public recycling centres due to our unique accelerated supply chain from consumer to recovery.",https://www.facebook.com/erthHQ/,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Other, Sustainability",1,Mohamed El-Fatatry,11-50,3,,2023-09-11,,,,Venture - Series Unknown,,,,Venture - Series Unknown,250000,MYR,61599,250000,MYR,61599,"Quest Ventures, Gobi Partners, AcceliCITY powered by Leading Cities, ScaleUp Malaysia, L8 Ventures",2,5,,,,,,,Private,,,,,,,,,,,,,,-39.43%,3,,,,,,,,,,
