Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,LinkedIn,Full Description,Facebook,Headquarters Regions,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Entegrata,https://www.crunchbase.com/organization/entegrata,2023-01-01,year,"Data Integration, Law Enforcement, Legal Tech, Software","Indianapolis, Indiana, United States",Entegrata is a legal tech company that allows firms to centralize all of their data safely and securely.,"61,559",,Active,,,,,For Profit,https://www.entegrata.com/,,https://www.linkedin.com/company/entegrata,"Entegrata is a legal tech company that allows firms to centralize all of their data safely and securely. The company was founded in 2023 and is headquartered in Indianapolis, Indiana, United States.",,"Great Lakes, Midwestern US",,,,,,,,,,,,,,,,,"Data and Analytics, Government and Military, Information Technology, Privacy and Security, Professional Services, Software",1,Tom Baldwin,1-10,1,Seed,2023-03-15,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,,,,,,,,,,Private,,,,,,,,,,,,,,,1,,,,,,,,87738,USD,87738
Niocycle,https://www.crunchbase.com/organization/niocycle,2021-01-01,year,"Battery, CleanTech, Energy Storage, Recycling","Sacramento, California, United States","Cleantech, Recycling, Lithium-ion Batteries","61,560",,Active,,,,,For Profit,https://niocycle.com,,https://www.linkedin.com/company/76621156/,"Niocycle Technologies is an ambitious company, that started research in 2019 and was founded in 2021 in the Technology Development Zone in Türkiye. In 2022 the Company incorporated in the United States while becoming part of the PlugNPlay Network. Niocycle will accompany industries to realize successful and sustainable adaptation of technologies while considering a holistic and circular approach. Niocycle has assembled a very competent and determined crew, capable of innovative and sustainable thinking to accompany the vision and projects. One objective of Niocycle is to implement and roll out a highly efficient and environmentally friendly lithium-ion battery recycling process for batteries from electric vehicles but also notebooks, mobile phones, and other devices. Niocycle will actively contribute to increasing the world's ecosystem resilience along the value chain and reduce the dependency on primary resources by obtaining reusable critical raw materials by recycling.",,"West Coast, Western US",,,,,,,,,,,,,,,,,"Energy, Sustainability",3,"Fatih Bosna, Taha Uluhan, Yusuf Percin",11-50,2,Seed,2022-03-01,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,1620000,USD,1620000,1620000,USD,1620000,,,,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
CU-BX,https://www.crunchbase.com/organization/continuse,2015-01-01,year,"Automotive, Biometrics, Health Care, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel","Highly accurate measurements of driver health, fatigue, stress & comfort for automotive driver monitoring systems","61,561",$1M to $10M,Active,,,,,For Profit,http://www.cu-bx.com,,https://www.linkedin.com/company/cu-bx/,"CU-BX provides high-accuracy measurements of driver health parameters, fatigue, stress, and comfort. Our patented technology maintains high-level accuracy across all road and lighting conditions and is agnostic to clothing and other accessories such as masks, sunglasses, headwear, etc. CU-BX works closely with all key automotive players (OEMs, Tier-1 and Tier-2 manufacturers) on providing driver monitoring systems (DMS) as well as aftermarket solutions. See our 1-pager here: https://www.dropbox.com/s/a0bp4dmmcwlwoe0/CU-BX_Automotive_OnePager.pdf?dl=0",,"Europe, Middle East, and Africa (EMEA), Middle East",,,,,,,,,,,,,,,,,"Biotechnology, Data and Analytics, Health Care, Science and Engineering, Transportation",3,"Asher Polani, Evgeny Beiderman, Zeev Zalevsky",11-50,6,Early Stage Venture,2018-10-16,,,,Series B,,,,Series B,27000000,USD,27000000,27000000,USD,27000000,"MedTech Innovator, K3 Ventures, Kli Capital, OTV, Meng Xiong Kuok",2,6,,,,,,,Private,,,,,,,,,,,,,,,18,,,,,,,,,,
Trustdata,https://www.crunchbase.com/organization/trustdata,2014-03-26,day,"Big Data, Consulting, Professional Services","Beijing, Beijing, China","Trustdata is a mobile internet big data monitoring platform that provides terminal data products, consulting and professional services.","61,562",,Active,,,,,For Profit,http://www.itrustdata.cn/,,https://www.linkedin.com/company/%E5%8C%97%E4%BA%AC%E9%BA%92%E9%BA%9F%E5%BF%83%E9%80%9A%E7%BD%91%E7%BB%9C%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Data and Analytics, Other, Professional Services",1,Sun Qian,11-50,2,Early Stage Venture,2015-12-01,40000000,CNY,6250879,Series A,40000000,CNY,6250879,Series A,7250879,USD,7250879,7250879,USD,7250879,"ZhenFund, Sinovation Ventures, Haowangjiao Touzi",,3,,,,,,,Private,,,,,,,,,,,,,,,2,,,,,,,,,,
Luxie Beauty,https://www.crunchbase.com/organization/luxie-inc,2014-02-09,day,"Beauty, Cosmetics, E-Commerce, Health Care","Campbell, California, United States",Luxie Beauty is a cosmetic company bringing luxurious cruelty-free beauty products for any makeup lover.,"61,563",$1M to $10M,Active,,,,,For Profit,https://www.luxiebeauty.com/,https://twitter.com/luxiebeauty,https://www.linkedin.com/company/luxie-inc,"Luxie Beauty is a cosmetic company bringing luxurious cruelty-free beauty products for any makeup lover. It offers a wide range of high-quality makeup brushes and accessories to the Americas, Europe, and Asia. All of its brushes feature soft, synthetic bristles and are vegan and cruelty-free. Luxie Beauty was launched in 2014 and is headquartered in Campbell, California.",https://www.facebook.com/luxiebeauty,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care",1,Tammy Huynh,11-50,1,Seed,2021-04-23,2750000,USD,2750000,Seed,2750000,USD,2750000,Seed,2750000,USD,2750000,2750000,USD,2750000,,,,,,,,,,Private,,,,,,,,,,,,,,130.22%,61,,,,,,,,,,
Longyue Mechanical and Electrical Technology,https://www.crunchbase.com/organization/longyue-mechanical-and-electrical-technology,2017-01-01,year,"Aerospace, Manufacturing, Service Industry","Suzhou, Jiangsu, China","Longyue Mechanical and Electrical Technology engaged in technologies, strengthened linkages, and provided commercial aircraft services.","61,565",,Active,,,,,For Profit,,,,"Longyue Mechanical and Electrical Technology engaged in technologies, strengthened linkages, and provided commercial aircraft services.",,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Manufacturing, Other, Science and Engineering",,,,2,Seed,2023-09-11,100000000,CNY,13719303,Seed,100000000,CNY,13719303,Seed,100000000,CNY,13719303,100000000,CNY,13719303,"Haiwang Capital, ASBV",1,2,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,
Abbot's Butcher,https://www.crunchbase.com/organization/the-abbot-s-butcher,2018-01-01,year,"Food and Beverage, Food Processing, Restaurants","Costa Mesa, California, United States",Abbot's Butcher provides crafts premium plant-based meats.,"61,565",Less than $1M,Active,,,,,For Profit,https://www.abbotsbutcher.com,https://twitter.com/abbotsbutcher,https://www.linkedin.com/company/theabbotsbutcher,"Abbot's Butcher use only the highest quality ingredients to craft our plant-based proteins, and why we choose to be thoughtful and responsible in all we do.",https://www.facebook.com/abbotsbutcher,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,,,,,,,Food and Beverage,1,Kerry Song,1-10,7,Early Stage Venture,2021-10-20,,,,Series A,,,,Series A,1100000,USD,1100000,1650000,USD,1650000,"Unovis Asset Management, Melitas Ventures, SOSV, Food-X, Clear Current Capital",2,8,,,,,,,Private,,,,,,,,,,,,,,341.15%,10,,,,0,1,,Meats and prepared or preserved foods; dairy products,,,
Xingshen Zhineng,https://www.crunchbase.com/organization/xingshen-zhineng,2017-07-28,day,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Robotics, Software","Changshahsien, Hunan, China","Xingshen Zhineng engages in the AI field for providing unmanned driving-related technology, products and solutions.","61,568",,Active,,,,,For Profit,http://www.xingshentech.com,,https://www.linkedin.com/company/%E9%95%BF%E6%B2%99%E8%A1%8C%E6%B7%B1%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"Xingshen Zhineng is a supplier of smart logistics products and a provider of unmanned driving core technology. It has full-stack independent research and development and design capabilities ranging from chassis, structure, hardware, and software to unmanned driving technology and solutions. Xingshen Intelligent has independently developed the Chaoying, Fanyu, Benxiao, Jedi, and Buyi series of unmanned vehicle products based on independent and controllable software and hardware technologies. The company has introduced a line of unmanned vehicle products suitable for a variety of terminal logistics application scenarios, as well as unmanned driving kits for automatic driving models such as sweepers, inspection vehicles, and unmanned buses.",,Asia-Pacific (APAC),,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation",1,Xiangjing An,11-50,4,Early Stage Venture,2022-08-08,,,,Series A,,,,Series A,130000000,CNY,19787431,130000000,CNY,19787431,"JD.com, UBTech Robotics, K2VC, Caixin Industry Fund, Honghao Capital",2,12,,,,,,,Private,,,,,,,,,,,,,,,17,,,,,,,,,,
Amanleek,https://www.crunchbase.com/organization/amanleek,2019-01-01,year,"Auto Insurance, FinTech, Health Insurance, Insurance, InsurTech","Cairo, Al Qahirah, Egypt","Amanleek is an insurtech startup that provides car, health, and travel insurance services.","61,570",$1M to $10M,Active,,,,,For Profit,https://www.amanleek.com,https://twitter.com/amanleek,https://www.linkedin.com/company/amanleek,"Amanleek, aims to simplify insurance services and make it more accessible for a wider base of individual and business customers through leveraging transparency, trust and innovation to deliver an enhanced experience for all parties involved through tech based solutions.",https://www.facebook.com/amanleek.insurance,"Europe, Middle East, and Africa (EMEA), Middle East, Europe, Middle East, and Africa (EMEA)",,,,,,,,,,,,,,,,,Financial Services,4,"Ahmad Baracat, Ihab El Sokary, Mohab Aboueita, Mohamed Mansour",11-50,3,,2022-05-22,500000,USD,500000,Venture - Series Unknown,500000,USD,500000,Venture - Series Unknown,535000,USD,535000,535000,USD,535000,"Launch Africa, AUC Venture Lab, Orange Egypt, Orange Digital Ventures",3,4,,,,,,,Private,,,,,,,,,,,,,,-64.66%,33,1,,,,,,,,,
Findo,https://www.crunchbase.com/organization/findo-io,2016-01-01,year,"Artificial Intelligence, Email, Internet, Semantic Search","Menlo Park, California, United States","Findo is a smart search assistant across all personal cloud, emails, files, and contacts.","61,572",$1M to $10M,Closed,,,,none,For Profit,http://www.findo.com,https://twitter.com/findo_io,https://www.linkedin.com/company/15179427?trk=prof-exp-company-name,"Findo is a smart search assistant that works across personal emails, files, images, notes in Gmail, Google Drive, Dropbox, Evernote, Outlook, OneDrive, YahooMail, iCloud Mail (@me.com, @icloud.com), notebooks,  among others. The system “intuits” human-like language and can do a search by description.  A Delaware-registered corporation headquartered in Menlo Park, CA, Findo was co-founded by award-winning serial entrepreneurs  Dr. David Yang and Gary A. Fowler. The Findo team has 26  engineers, artificial intelligence scientists and managers; two PhDs; and nine filed patents. Currently, Findo’s team is implementing state-of-the-art unsupervised and semi-supervised deep learning models: VAE model,   Ladder style model, and  GAN style model to create a new level in the personal search experience. The company  was featured at CBInsights among major VC-backed bot startups:  https://www.cbinsights.com/blog/bot-startups-timeline/ For additional information on Findo and the software and technologies it supports, visit www.findo.com",https://www.facebook.com/findo.io/?fref=ts,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software",2,"David Yang, Gary A. Fowler",11-50,3,Seed,2018-10-09,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,6500000,USD,6500000,6500000,USD,6500000,"ABBYY, Foxit Corporation, Flint Capital",1,3,,,,,,,Private,,,,,,,,,,,,,1,,12,1,,18,5,0,Computing; Calculating,,,,
