company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
The Ladies' First Project,2020-01-01,https://theladiesfirstnonp.wixsite.com/theladiesfirst,"Arcadia, California, United States","Education, Other, Social Impact","Charity, Education, Non Profit",2208978.0,"The Ladies' First Project is a student-run nonprofit organization that combats gender inequality in education. Education not only opens so many doors in life, but it also gives individuals a voice to stand against oppression and fight for what they believe in.",11-50,,,,,,,,11-50,Private,,,,,,6,2020,75553,False,False
Proof+Geist,2021-01-01,https://proofgeist.com,"Jacksonville, Florida, United States","Information Technology, Internet Services, Other, Software","Information Technology, Service Industry, Software, Web Hosting",508905.0,"At Proof+Geist, we know that FileMaker and the Claris platform is a key puzzle piece to any business ecosystem. With our world-class FileMaker hosting platform, professional development tools, and expertise in both Claris FileMaker and web technologies, we are ready to innovate and help support your business. We are excited to lead the Modern FileMaker Revolution, expanding the capabilities of your custom software with web technologies and the Claris platform.",11-50,,,,,,,4.0,11-50,Private,,,0.0,0.0,,6,2021,38234,False,False
Wizza Scam,2019-01-01,https://independent.academia.edu/WizzaScam/,"New York, New York, United States",Media and Entertainment,Digital Entertainment,133815.0,"Wizza is a great website for you to win big prizes. You can purchase items from our range of available prizes like luxury vacations and dream cars, spending only as little as $0.05. When the clock expires on an item that is still in stock, a winner will be randomly chosen by Wizza's system and contacted via email. -  You can choose a prize for a limited amount of time. You purchase tickets with certain prizes in mind, and Wizza will randomly select the winner at midnight when the timer expires. Wizza is a company that donates part of the profits to a charity. They have weekly sweepstakes contests with different updates from their creator.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,16884,False,False
Immorel,2021-01-01,https://www.immorel.com,"Brooklyn, New York, United States",Commerce and Shopping,Retail,1610460.0,Immorel is a line of mushroom-based teas that bring the health benefits of mushrooms to the masses.,1-10,1.0,,2023-05-01,,Non-equity Assistance,,,1-10,Private,,,0.0,0.0,,3,2021,65151,False,False
Mellowlark Labs,2022-01-01,https://www.mellowlark.com,"Minneapolis, Minnesota, United States",Professional Services,Consulting,2940934.0,"At Mellowlark Labs, we're dedicated to making custom solutions accessible to small businesses. We don't just strategize, we build applications, assets and other tools that help you achieve smart, sustainable growth. Small businesses need to do a lot with limited resources - develop a strong culture, navigate a complex world of data and technology, and design a compelling brand that stands out in a crowded marketplace. We aim to help you avoid generic solutions that don't end up fitting your team or achieving your goals. Our process includes strategizing, developing solutions that are tailored to fit your needs, and guiding you until they are successfully integrated into your process. Your business works best when each part is operating in sync with one another. We apply a holistic approach that helps identify underlying weaknesses and strengthen connections across teams and departments. Contact Mellowlark Labs today to find out how we can help you overcome barriers and unlock new opportunities.",1-10,,,,,,,,1-10,Private,,,,,,6,2022,88483,False,False
Edgeium,2018-01-01,https://edgeium.com,"Farmers Branch, Texas, United States","Information Technology, Other, Professional Services","Information Technology, Outsourcing, Service Industry, Small and Medium Businesses",1143420.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,54873,False,False
Fit Mother Project,2018-01-01,https://www.fitmotherproject.com,"Scottsdale, Arizona, United States","Health Care, Sports","Fitness, Wellness",1587455.0,"Fit Mother Project provides training for weight loss, muscle building, and more. In addition, they also provide supplements online such as super fuel protein chocolate, super fuel protein vanilla, super fuel vegan protein, test booster RX, burn RX, immune boost, joint RX, and heart RX. They also offer Fit Mother hats, workout shirts, hoodies,",1-10,,,,,,,1.0,1-10,Private,,,,,,6,2018,64062,False,False
Pursuit Packages,2019-01-01,https://www.pursuitpackages.com,"Columbus, Ohio, United States","Administrative Services, Transportation","Delivery, Packaging Services, Warehousing",2211453.0,Pursuit Packages is a delivery service partner with amazon. They provide delivery services and work exclusively with Amazon. They address inquiries through phone calls and emails.,51-100,,,,,,,,51-100,Private,,,,,,6,2019,76339,False,False
Rectify,2018-01-01,https://www.rectifydata.com/,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Legal, Machine Learning",510534.0,"Rectify is the developer of a business development platform designed to automate the process of removing private or sensitive information from documents. Their machine learning algorithms remove proprietary information, enabling businesses to decrease the human involvement required to identify and remove consumer identities.",1-10,1.0,Seed,2020-09-17,,Seed,,2.0,1-10,Private,,,,,,2,2018,38303,False,False
Illuceo,2021-01-01,https://www.illuceoinc.com,"Walnut Creek, California, United States","Design, Education, Professional Services","Consulting, Product Design, Training",2196381.0,"Illuceo is a DEI consultant. They offer services that include product design company, marketing, workshops, consulting, assessments, surveys, coaching, and strategic roadmap. The customer queries are addressed through phone, online form, and email.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2021,75756,False,False
Ruby,2020-11-04,https://www.shopruby.app,"Costa Mesa, California, United States","Advertising, Commerce and Shopping, Sales and Marketing","Advertising, E-Commerce",454566.0,"Say hello to the future of money saving while shopping. Ruby makes it fast, easy and personal. Never waste time looking for savings again - we do it all for you! Get personalised offer recommendations, combine cashback, coupons and promo codes, rack up loyalty points and then checkout in just a tap - it’s the only app that stacks ALL the offers in one place!",1-10,1.0,,2021-10-08,,Non-equity Assistance,,1.0,1-10,Private,,,,,,3,2020,36168,False,False
"RSC Motors, Inc.",2020-01-08,https://rscmotors.us/,"Alexandria, Virginia, United States","Manufacturing, Sports, Transportation","Automotive, Manufacturing, Sports",767926.0,,1-10,2.0,Seed,2022-01-01,,Seed,,1.0,1-10,Private,,,,,,2,2020,46377,False,False
Weblysoft,2018-01-01,https://weblysoft.com,"Omaha, Nebraska, United States","Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software","Creative Agency, Digital Marketing, Information Technology, Internet, Mobile Apps, Web Apps",1757995.0,"Weblysoft is a creative technology agency and they are a mobile & web agency (based in Omaha Nebraska and Douala, Cameroon) focused on creative and results-driven solutions for companies ranging from start-ups to mid-size businesses. It consistently strives to provide custom mobile & website design and development services to clients.",11-50,,,,,,,,11-50,Private,,,,,,6,2018,66923,False,False
Trestlework,2019-01-01,https://trestlework.com/,"Chicago, Illinois, United States","Education, Health Care, Professional Services","Consulting, Education, Health Care",1200042.0,,1-10,,,,,,,1.0,1-10,Private,,,,,,6,2019,56300,False,False
The Crow,2019-01-01,https://crowcomedy.com/,"Santa Monica, California, United States",Media and Entertainment,Media and Entertainment,2976287.0,"If you're looking for a laid-back night full of laughs, check out The Crow! The venue is Santa Monica's latest live comedy spot located in Bergamot Station.",11-50,,,,,,,,11-50,Private,,,,,,6,2019,88012,False,False
Clean Hood Services,2020-01-01,https://www.cleanhoodservices.com,"Taunton, Massachusetts, United States","Administrative Services, Other, Real Estate","Commercial, Facilities Support Services, Janitorial Service",2313124.0,"Clean Hood Services provides bare metal cleaning, equipment cleaning, floor washing, access panel installation, hinge kit installation, exhaust fan belt replacement, exhaust fan maintenance, installation, bearing replacement, emergency response service, grease containment system design, pollution control unit inspection, and ultraviolet light inspection.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,78048,False,False
Joonto,2018-11-01,https://joonto.com,"Lehi, Utah, United States","Hardware, Mobile, Software","Mobile, SaaS, Telecommunications, Wireless",274482.0,,11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,27300,False,False
Looped,2018-01-01,http://loopedlive.com,"New York, New York, United States","Community and Lifestyle, Events, Media and Entertainment, Software, Video","Events, Video, Virtual World",38702.0,"Looped is a virtual events platform, powering the future of live entertainment.",11-50,2.0,Seed,2021-03-02,7700000.0,Seed,7700000.0,4.0,11-50,Private,,,1.0,0.0,Electric Communication Technique,0,2018,4785,False,False
Unitea,2021-01-01,http://www.unitea.com,"Miami, Florida, United States","Community and Lifestyle, Data and Analytics, Events, Gaming, Internet Services, Media and Entertainment, Mobile, Music and Audio","Big Data, Event Management, Gamification, Media and Entertainment, Mobile, Music, Music Venues, Social, Social Media",39869.0,"We are a community rewarding loyalty to culture fans love. Fans earn Karma, an action-based token, for listening and sharing music with their friends. Karma is exchanged for experiential “real-life” or digital rewards with artists, festivals, brands, and other fans (i.e., Going on a Coca Cola sponsored hot air balloon ride with Claude Vonstroke @ Electric Forest). Unitea is the first platform to help artists monetize social data on fans via an experiential ad medium through our proprietary “Data Royalty”.",11-50,2.0,Seed,2023-05-16,7000000.0,Seed,7000000.0,2.0,11-50,Private,,,,,,0,2021,4990,False,False
Lykkly,2021-01-01,https://www.lykkly.com,"Fargo, North Dakota, United States","Apps, Financial Services, Health Care, Internet Services, Mobile, Software","FinTech, Internet, Mobile Apps, Wellness",737749.0,"Lykkly is the personal financial wellness platform that reduces stress and makes you happier with money. Now you can build momentum towards life's milestones and create a positive money mindset — via personalized experiences, healthy habits, and specialized support — right from your phone.",1-10,,,,,,,2.0,1-10,Private,,,,,,6,2021,45557,False,False
Desk Assist Worldwide,2018-01-01,https://desk-assist.com,"Salem, Massachusetts, United States","Data and Analytics, Sales and Marketing, Software","Database, Marketing, Virtual Assistant, Web Development",2491119.0,"Desk Assist Worldwide offer transaction coordinator services, including managing escrow, facilitating communication, database management, and coordinating inspection. They provide marketing services such as content management, branding, website development, and lead generation. They also provide administrative assistance, lead generation, calendar management, and prospecting services. Transaction",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,81431,False,False
Oaktree Memorials,2020-01-01,https://oaktreememorials.com,"Englewood, Colorado, United States","Commerce and Shopping, Consumer Goods","Gift, Jewelry, Shopping",631041.0,"Honor life's most precious moments with Oaktree Memorials, the premier provider of contemporary urns and cremation jewelry. Oaktree's collection was built and designed to uniquely celebrate the legacy of your loved ones and pets, while also seamlessly fitting in within your home. After all, one-of-a-kind lives deserve one-of-a-kind urns. Discover the finest selection at Oaktree Memorials, where we offer contemporary urns and memorials, a diverse range of urns for ashes, heartfelt memorial gifts, and the best cremation jewelry to cherish your loved ones.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,42426,False,False
Ojas Life,2020-01-01,https://www.ojaslife.co,"New York, New York, United States","Health Care, Internet Services","Elder Care, Health Care, Internet of Things, Wellness",1999639.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,71855,False,False
Resilientship,2020-01-01,https://www.resilientship.com,"Los Angeles, California, United States","Community and Lifestyle, Internet Services, Other, Social Impact","Communities, Non Profit, Social Impact, Social Network",2982454.0,"Resilientship brings together young women who are facing the challenges of a cancer diagnosis through community, education, and friendship. They find matching friends based on diagnosis and priorities. They create digestible educational content to spread awareness on diagnoses, how to be a supportive ally, and early detection. They respond to customer inquiries by email.",1-10,,,,,,,,1-10,Private,,,,,,6,2020,89344,False,False
VentureStack,2020-01-01,https://venture-stack.com,"Durham, North Carolina, United States","Financial Services, Real Estate","Property Management, Real Estate, Real Estate Investment",1835016.0,VentureStack exists to provide off-market deals to real estate investors. Their marketing system allows them to acquire properties off-market for prices significantly under market value.,1-10,,,,,,,2.0,1-10,Private,,,,,,6,2020,68533,False,False
mowMedia,2019-01-31,https://www.mowmedia.com,"Stamford, Connecticut, United States","Advertising, Media and Entertainment, Music and Audio, Sales and Marketing","Advertising, Brand Marketing, Digital Marketing, Digital Media, Email Marketing, Marketing, Media and Entertainment, Podcast",764713.0,"A human approach to digital marketing - that's the simple idea that kicked off mowMedia back in 2019. Today, we are proud to be driving engaged subscribers and listeners at scale to some of the largest Newsletters and Podcasts in the US with unique, high intent placements through our extensive network of direct, high quality content publishers.  - Learn more - Newsletters: https://www.mowmedia.com Podcasts: https://www.mowpod.com",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2019,46282,False,False
