company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,founding_year,org_uuid,already_scraped,snapshot_in_window
VA.care,2021-01-01,https://www.va.care/,"New York, New York, United States",Health Care,Health Care,2208983.0,"VA.care provides virtual assistant for healthcare. We have professional virtual assistants for medical, dental and veterinary offices. We make your life easier.",1-10,,,,,,,,1-10,Private,,,,,,6,2021,75552,False,False
EDGE196,2018-01-01,https://www.edge196.com/,"Sugar Land, Texas, United States","Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",540852.0,,11-50,,,,,,,1.0,11-50,Private,,,0.0,1.0,,6,2018,39415,False,False
Bon Secours Mercy Health,2018-01-01,https://bsmhealth.org/,"Cincinnati, Ohio, United States",Health Care,Health Care,173357.0,Bon Secours Mercy Health is a network of hospitals that serves as a catholic healthcare ministry.,10001+,,,,,,,,10001+,Private,,,,,,6,2018,20127,False,False
Florida Pure Maintenance Mold Remediation,2018-01-01,https://www.floridapuremaintenance.com,"Jacksonville, Florida, United States","Administrative Services, Professional Services, Real Estate","Building Maintenance, Facilities Support Services, Field Support, Janitorial Service",1781300.0,"Florida Pure Maintenance Mold Remediation offers patented dry fog tech for the safety of people and pets. They kill molds, viruses, and bacteria on buildings with dry fog. They provide automatic and continuous air quality maintenance with probiotics.",11-50,,,,,,,1.0,11-50,Private,,,,,,6,2018,67966,False,False
Vorosoft,2020-01-01,http://www.vorosoft.com/,"San Jose, California, United States","Design, Information Technology","Information Services, Information Technology, Product Design",3133514.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2020,90187,False,False
GIG Performance,2022-01-01,https://www.gigperformance.com/,"Mapleton, Utah, United States","Energy, Sustainability","Energy, Energy Efficiency, Renewable Energy",1970122.0,"Gig Performance is a renewable energy technology that brings green energy to the trucking industry on a daily basis. They are also involved in electric trucks, passenger EVs, wind energy, and tidal energy. Their patent-pending technology captures up and down motions generated from shock systems on moving vehicles and generates energy at the device.",1-10,1.0,Seed,2020-07-01,,Pre-Seed,,,1-10,Private,,,,,,2,2022,70727,False,False
Lion Eye Creative,2018-01-01,https://www.lioneyecreative.com/,"Battle Ground, Washington, United States","Design, Information Technology, Internet Services, Sales and Marketing, Software","Graphic Design, Information Technology, SEO, Social Media Marketing, Web Design, Web Development",612704.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,41829,False,False
Optic,2020-01-01,https://optic.xyz,"San Francisco, California, United States","Blockchain and Cryptocurrency, Information Technology, Other","Blockchain, Information Technology",96523.0,"Optic monitors blockchains to reveal the origins of any NFT and how it’s been reimagined, remixed, or copied.",11-50,2.0,Seed,2022-07-20,11000000.0,Seed,11000000.0,,11-50,Private,,,,,,0,2020,12878,False,False
Product N,2018-01-01,https://www.productn.co,"Santa Monica, California, United States","Internet Services, Other, Professional Services, Sales and Marketing","B2C, Internet, Management Consulting, Product Management, SEO",1270654.0,"Product N is a product management consulting firm that helps venture-funded companies build, launch, grow, and hire for their B2C and B2B digital experiences. As part of their product management services, they also provide development, data engineering, content strategy/SEO, and technical resource recruitment resources to complement product and engineering departments, as needed.",1-10,,,,,,,,1-10,Private,,,,,,6,2018,57651,False,False
Stacks Open Internet Foundation,2020-01-01,https://stacks.org/,"Anaheim, California, United States",Financial Services,Wealth Management,240333.0,"They are stewards of the Stacks ecosystem on a mission to build a user-owned internet where you have true ownership of your identity, data, and wealth.",11-50,,,,,,,,11-50,Private,,,0.0,2.0,,6,2020,25145,False,False
Digital Marketing Trend,2021-01-01,https://dmtrend.com,"Livermore, California, United States","Design, Internet Services, Sales and Marketing, Software","Digital Marketing, Graphic Design, Web Development, Web Hosting",1333846.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2021,59581,False,False
e2log,2018-01-01,https://e2log.com/,"Sugar Land, Texas, United States",Transportation,"Logistics, Shipping, Transportation",61740.0,"E2log is a digital ecosystem for the door-to-door shipping of oversize cargoes. Its ecosystem services include cargo assessment, packing list preparation, loading, customs clearance, port handling, international transportation, and more. The company was founded in 2018 and is headquartered in Sugar Land, Texas.",1-10,2.0,,2021-09-03,7122901.0,Venture - Series Unknown,8872900.0,2.0,1-10,Private,,,0.0,2.0,,1,2018,8414,False,False
Helping Hands MB,2020-01-01,https://www.helpinghandsmb.org,"Miami Beach, Florida, United States","Community and Lifestyle, Education, Other, Social Impact","Communities, Education, Non Profit",2182963.0,,11-50,,,,,,,,11-50,Private,,,,,,6,2020,75137,False,False
Secured Alliance Ventures,2018-01-01,https://saventures.com/,"Phoenix, Arizona, United States","Community and Lifestyle, Financial Services, Lending and Investments","Communities, Financial Services, Venture Capital",1183736.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,55336,False,False
Capitol Breathe Free Sinus & Allergy Centers,2018-01-01,https://www.capitolbreathefree.com,"Washington, District of Columbia, United States",Health Care,"Health Care, Hospital, Medical",1083899.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,53511,False,False
HyperFocus ROI,2018-01-01,https://www.hyperfocusroi.com/,"Coral Gables, Florida, United States","Advertising, Sales and Marketing","Advertising, Marketing, Public Relations",1309034.0,,1-10,,,,,,,,1-10,Private,,,,,,6,2018,58430,False,False
