company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Project Lunchroom,2020-01-01,https://www.projectlunchroom.org,"Fremont, California, United States","Food and Beverage, Professional Services, Sales and Marketing","Business Development, Marketing, Restaurants",1113899.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,53952,False,False
Zambrands,2021-11-01,https://zambrands.com/,"Charlotte, North Carolina, United States",Commerce and Shopping,E-Commerce,3055232.0,"Zambrands is an Ecommerce Platform which started in 2021, Hernan Rodriguez-Zambrana our companies CEO, Saw many challenges in his decisions of engagement gifts for his Wedding party. This provided an opportunity to create unique gift sets that stand alone from normal ecommerce retailers. After sourcing products from all over the world, Zambrands was born. Groomsmen and Grooms women can now rest easy as interpretations of wonderful friends inspired the unique gift sets.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2021,89766,False,False
SEMCAP,2020-03-01,https://www.semcap.com/,"Wayne, Pennsylvania, United States",Financial Services,Financial Services,191852.0,"SEMCAP is a growth impact equity investor and value creator led by Buck Buckley and Cyrus Vandrevala, both serial entrepreneurs and investors. SEMCAP targets private companies that are accelerated further by seminal trends and long-term industry trends driven by technology, social transformation and regulatory transition. SEMCAP has teams in Health, Education, and Food & Nutrition and an SDG-aligned impact methodology embedded within the investment process.",11-50,0.0,,,0.0,,0.0,4.0,11-50,Private,,,0.0,7.0,,6,4,2020,21513,False,False
Mendota Health,2021-01-01,https://mendotahealth.com,"Saint Paul, Minnesota, United States",Health Care,"Health Care, Home Health Care, Hospital, Medical",268445.0,"Mendota Health engages in post-surgical and chronic advanced wound care treatment at home and on-site in senior living communities for patients. They are involved in providing wound care that includes point-of-care treatment decision-making, wound debridement, and advanced biologics. They treat chronic wounds, stalled wounds, and advanced and hard-to-treat wounds.",51-100,0.0,,,0.0,,0.0,1.0,51-100,Private,,,,,,6,3,2021,26918,False,False
Link Cell Therapies,2022-01-01,https://linkcelltx.com,"San Francisco, California, United States","Biotechnology, Health Care, Science and Engineering","Biotechnology, Life Science, Medical",332681.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,30569,False,False
Round Us,2021-01-01,https://www.roundusllc.com,"Encino, California, United States","Apps, Mobile, Software","Mobile Apps, SaaS, Software",2471804.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,81753,False,False
Beatsource,2019-01-01,https://www.beatsource.com,"Los Angeles, California, United States","Apps, Internet Services, Media and Entertainment, Music and Audio, Software","Apps, Music, Music Streaming",780959.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,5,2019,46742,False,False
allsome Capital,2020-01-01,https://allsomecapital.com,"Chicago, Illinois, United States","Financial Services, Professional Services","Consulting, Finance, Financial Services",1960014.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,70929,False,False
A1C Drink,2020-01-01,https://a1cdrinks.com,"Irvine, California, United States","Commerce and Shopping, Food and Beverage, Health Care","E-Commerce, Food and Beverage, Nutrition",118658.0,"A1C Drink is an e-commerce company that provides diabetic drinks. It has developed an innovative beverage with the potential to shake up the American obese, overweight, diabetic, pre-diabetic, and insulin-resistant markets. This new beverage is a CINNABLAST with a refreshing unique taste that has no competitors in the market. Although its beverage was created specifically as a drink for diabetics to safely consume that won’t affect their condition, its refreshing taste will be enjoyed by millions of consumers not directly affected by the illness because of its beneficial ingredients and great taste.",11-50,1.0,Seed,2023-07-25,380400.0,Seed,380400.0,,11-50,Private,,,,,,0,4,2020,15328,False,False
Renter Insight,2021-01-01,https://www.renterinsight.com,"Denver, Colorado, United States","Real Estate, Software","Real Estate, Software",434692.0,"Renter Insight gives any size owner the tools to find and qualify the best applicants, easily communicate with residents, track maintenance requests, accept electronic payments, purchase property & renters insurance, and more… save time, save money, increase NOI with Renter Insight.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,35374,False,False
CounterTEN,2022-01-25,https://counterten.com,"San Diego, California, United States","Blockchain and Cryptocurrency, Internet Services, Other, Sales and Marketing, Sports","Blockchain, eSports, Loyalty Programs, Web3",94479.0,"CounterTEN enables revenue generation and fan engagement through the sale of NFTs with real-world utility. Our platform allows Brands to easily create, sell and verify NFTs without requiring any familiarity with cryptocurrency, digital wallets or gas fees. Fans purchase NFTs using a credit card, download the NFT to their Apple / Google wallet, and enjoy benefits at any participating venue or retailer by simply scanning the NFT QR code. This provides a multitude of opportunities for brands and sponsors to partner around a single NFT and drive fans to events, stadiums, sports bars, restaurants and retailers to redeem exclusive benefits and create a deeper connection with the brand.",1-10,1.0,Seed,2022-09-21,380000.0,Pre-Seed,380000.0,1.0,1-10,Private,,,,,,0,2,2022,12625,False,False
Full Course,2021-07-01,http://www.FullCourse.com,"Atlanta, Georgia, United States",Food and Beverage,"Food and Beverage, Restaurants",947934.0,"Full Course is a restaurant development and investment firm that supports the rapid growth of emerging food and restaurant brands through education, mentorship, and early-stage investment. Leveraging proven growth techniques and over 200+ years of operations experience, the Full Course team develops brands with solid revenue streams and runway for growth, particularly those owned and operated by women, minorities, and other underrepresented founders. Full Course cultivates brands with an omnichannel approach with product development, company stores, franchising, non-traditional development, and more.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,0.0,0.0,,6,2,2021,51053,False,False
Enrole,2020-01-01,https://enroleapp.com,"San Francisco, California, United States","Administrative Services, Apps, Consumer Electronics, Hardware, Professional Services, Software","Apps, Computer, Recruiting, Staffing Agency",1328766.0,"Enrole is a mobile application which connects talent directly to recruiters based on an algorithmic matching system of interests, skills, and goals. They take at shifting the center of the job search from sifting through job postings to developing a connection between recruiter and candidate, through an on-demand and on-the-go through our mobile app. Their designed algorithm allows to find jobs by factoring in all parts of an individual in their matching process.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,59695,False,False
Closest.AI Inc,2021-10-21,https://www.closest.ai,"Atlanta, Georgia, United States",Real Estate,Real Estate,1427139.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,60911,False,False
Wise Wellness Guild,2019-01-01,https://wisewellnessguild.com,"Cincinnati, Ohio, United States","Advertising, Professional Services, Sales and Marketing","Advertising, Brand Marketing, Consulting",1479011.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,61489,False,False
