company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Able Ninja,2021-01-01,https://www.nccdallas.com,"Tampa, Florida, United States","Hardware, Privacy and Security, Professional Services","Consulting, Security, Telecommunications",1098428.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,54320,False,False
Artisan Dental Care,2020-01-01,https://www.artisandentalcare.com,"Cornelius, North Carolina, United States",Health Care,"Dental, Health Care, Hospital, Medical",3149586.0,"Artisan Dental Care is a dental care. They provides hygienists, dental assistants, and office associates.  They offer comprehensive dental care for adults and children. Preventative dentistry, implant dentistry, restorative dentistry, emergency dental care, lake dentist, veneers, root canals, bonding. Their services includes cosmetic dentistry, technology, family dentistry, and more.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,91250,False,False
DataStrands,2019-01-01,https://www.datastrands.com,"Sacramento, California, United States","Information Technology, Other, Software","Information Technology, Service Industry, Software",2862383.0,DataStrands helps leaders deal smartly with the flood of data into their organizations. DataStrands uses metadata to measure and enhance all data operations. This delivers topline results more income and customer success.,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,86675,False,False
MarknDev,2020-12-01,https://markndev.com/,"Austin, Texas, United States","Sales and Marketing, Software","Social Media Marketing, Web Development",1819003.0,"Welcome to MarknDev - where digital dreams take flight and visions transform into reality. We are a dynamic team of creative minds and technical wizards, committed to empowering businesses through unparalleled website development and strategic digital marketing solutions. Established with a vision to revolutionize the digital landscape, MarknDev has journeyed through four years of excellence. Our path has been marked by the successful fusion of innovation, dedication, and a genuine understanding of our clients' unique needs.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2020,68820,False,False
Health Access Solutions,2019-01-01,https://www.healthaccesssolutions.com,"San Francisco, California, United States","Financial Services, Health Care","Health Care, Health Insurance, Insurance, Life Insurance",469658.0,"Health Access Solutions provides people better health care solutions. Their Help Desk can help with the Sedera membership, the ICHRA plan, or even understanding which benefits they should use for their   medical needs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,36762,False,False
ADA WebGuard,2019-01-01,https://www.adawebguard.com,"Miami, Florida, United States",Internet Services,Internet,2305791.0,"The mission of ADA WEBGUARD™ is to generate awareness of the importance to create and maintain ADA Compliant Websites to enable those who have Eyesight and other disabilities to be able to navigate websites with freedom, confidence and the satisfaction that they deserve and are entitled to by their United States Federal Constitutional right. Our mission is to facilitate ADA Website Compliance to all of those individuals and companies that market products and services on the Internet. To provide reliable expert ADA guidance to repair existing websites and create new websites to be ADA compliant in accordance with Federal ADA guidelines. In addition, to maintain vigilance of websites in order to assure continued compliance and to certify and provide Expert Advice, Assistance, Expert Affidavits of Certification and Expert Testimony when necessary. ADA WebGuard stands for excellence, Insuring that the ADA WebGuard seal on websites certifies compliance to the highest federal standard. All companies who display the ADA WebGuard seal are in ADA Compliance. They care and respect the rights of all others to have equal access to their websites.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,78160,False,False
Scout,2018-05-01,https://www.scout.cool,"New York, New York, United States","Data and Analytics, Information Technology","Analytics, Big Data, Information Technology",688992.0,Product Analytics for Ethereum blockchain companies,1-10,1.0,Seed,2019-05-01,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,5,2018,44134,False,False
Legacy Automotive Capital,2021-01-01,https://legacyautocapital.com,"Malvern, Pennsylvania, United States","Financial Services, Other, Real Estate, Transportation","Automotive, Financial Services, Professional Services, Real Estate",1750751.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,67049,False,False
Unified Commerce Group,2020-01-01,https://www.unifiedcommercegroup.com/,"New City, New York, United States",Commerce and Shopping,Retail,222281.0,Unified Commerce Group  is a New Retail group seeking to acquire and scale purpose-driven brands across the largest global retail economies. UCG will provide brands with multi-disciplinary expertise in each operational vertical with a world class network to ensure long-term growth and profitability while offering the opportunity to compete on a global scale.,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,23853,False,False
Applied Value Technologies,2021-10-01,https://appliedvaluetech.com/,"Andover, Massachusetts, United States","Information Technology, Software","Information Services, Software",218235.0,"Applied Value Technologies is an early-stage, mission-driven venture revolutionizing the way companies view IT productivity. We help our customers scale with next-generation enterprise technology support services that accelerate user productivity through enhanced automation and a highly personalized user experience. Our goal is to be a trusted partner, collaborating with customers to design and implement user-centric, technology-enabled support solutions at scale.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2021,23542,False,False
