company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Dr. Bob's Dental Care,2019-01-01,https://www.drbobsdentalcare.com,"Buffalo, New York, United States",Health Care,"Cosmetic Surgery, Dental, Health Care, Personal Health",2370869.0,"Dr. Bob's Dental Care provides dental care services. They provide teeth cleaning, digital radiographs, teeth whitening, bite guards, oral examination, implants, and cosmetic work services. They provide oral surgery for injuries and defects in the head, neck, face, jaws, and the hard and soft tissues of the oral and maxillofacial. They address inquiries through phone, email, and online applications.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,80203,False,False
SRC,2022-04-27,https://www.robloxsrc.com,"San Diego, California, United States","Content and Publishing, Media and Entertainment","News, Social News",2389575.0,"SRC, Inc is a Roblox News company that is own by Declan McConnell and Gavin Goss, they are both owners of SRC, Inc. They make Roblox news every day and they have exciting journeys featuring Game releases and more.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,79902,False,False
Bet Lions LLC.,2021-12-01,https://betlions.com/,"Saint Louis, Missouri, United States","Gaming, Sports","Fantasy Sports, Gambling, Gaming, Sports",2044175.0,"Authoritative global online sports betting news and analysis. BetLions.com publishes content that focuses on online sports betting platforms, product reviews & analysis, digital marketing trends, politics, and current technology encompassing the online sports betting world. Bet Lions was founded in December 2021. OUR TEAM Thomas Valx – Founder David Valmeyer – Editor in Chief Cameron Joshua – Lead Author Noah Strang – Author   Contact@BetLions.com | betlions.com/contact-us/",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2021,72663,False,False
Perfecthomepros,2019-01-01,https://www.perfecthomepros.com/,"Grand Blanc, Michigan, United States","Internet Services, Real Estate","Home Decor, Internet, Landscaping",3016110.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,88912,False,False
Cosmos Innovation,2019-01-01,https://www.cosmosinnovation.com,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Energy, Natural Resources, Science and Engineering, Software, Sustainability","Artificial Intelligence (AI), Renewable Energy, Solar",19556.0,,11-50,2.0,Early Stage Venture,2023-10-19,16800000.0,Series A,19680000.0,,11-50,Private,,,,,,0,5,2019,1299,False,False
NuMarket,2020-01-01,https://numarket.co/,"Boston, Massachusetts, United States","Financial Services, Information Technology, Internet Services, Lending and Investments, Other, Professional Services","Business Development, Financial Services, Funding Platform, Online Portals, Technical Support",276398.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,27394,False,False
Caprice Capital Partners,2019-01-01,https://capricecapital.com/,"Manhattan Beach, California, United States","Financial Services, Media and Entertainment","Advice, Finance, Financial Services",1140172.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,54956,False,False
MetaGods,2021-01-01,https://metagods.gg,"California, Kentucky, United States","Gaming, Media and Entertainment, Software","Gaming, Metaverse",63938.0,MetaGods is the next generation of play-to-earn action Massively Multiplayer Online RPG. Earn epic NFT loot by exploring dungeons and slaying mythical monsters. Bring along your friends from any Metaverse and earn even more rewards.,1-10,1.0,Seed,2021-12-04,3000000.0,Seed,3000000.0,,1-10,Private,,,,,,0,3,2021,8704,False,False
Kwik Tax Service,2019-01-01,http://www.kwiktaxservice.com,"Fort Worth, Texas, United States","Education, Financial Services, Other, Professional Services","Accounting, Financial Services, Professional Services, Training",3198664.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,90829,False,False
Cheetah,2022-01-11,https://www.cheetah.ooo/,"San Francisco, California, United States","Real Estate, Software","Real Estate, Real Estate Brokerage, SaaS, Software",365875.0,Reimagining the way real estate agents do business. Amass wealth through our full-commission model within a subscription-based real estate framework.,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,2,2022,32266,False,False
Hazel Ridge Veterinary Clinic,2021-01-01,https://www.hazelridgevet.com/,"Fair Oaks, California, United States","Community and Lifestyle, Health Care","Health Care, Medical, Pet, Veterinary",1872080.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,69336,False,False
Pennant,2022-01-01,https://pennant.live,"Minneapolis, Minnesota, United States",Software,"SaaS, Software",402652.0,Pennant is a technology platform that enables performing artists to launch their own custom-branded subscription video channel to connect directly with their patrons and fans.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,33980,False,False
Adore Homes,2019-01-01,https://adore-homes.com,"San Jose, California, United States",Real Estate,"Construction, Real Estate",661204.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,43349,False,False
Carbon Yield,2019-01-01,https://carbon-yield.com,"Chicago, Illinois, United States",Agriculture and Farming,"Agriculture, AgTech, Farming",118221.0,Carbon Yield equips farmers with a support platform to help them migrate to restorative farming.,1-10,2.0,Seed,2022-04-01,100000.0,Pre-Seed,200000.0,,1-10,Private,,,,,,0,5,2019,15273,False,False
Programodo,2020-01-01,https://programodo.com,"Atlanta, Georgia, United States","Information Technology, Professional Services, Science and Engineering, Software","Consulting, Information Technology, Software Engineering",1913691.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,70089,False,False
TAINR,2021-01-01,https://gotainr.com/,"Los Angeles, California, United States","Commerce and Shopping, Food and Beverage, Manufacturing, Sustainability","Grocery, Manufacturing, Retail, Sustainability",444619.0,"TAINR manufactures modern dispensers to eliminate single-use plastic packaging from products. It helps users select food products that automatically weigh and calculate the food, keeping them in control of quality and price. The company was founded in 2021 and is headquartered in Los Angeles, California.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,2.0,0.0,Checking-Devices,6,3,2021,35771,False,False
Growth - Cannabis Conference,2019-01-01,https://growth.us/,"New York, New York, United States","Events, Media and Entertainment","Event Management, Events",123670.0,"Co-founded by the creator of some of the largest global conferences, including Money2020 and HLTH, Growth will bring together the most influential companies, investors and leaders inside and outside of cannabis.Growth is the definitive annual cannabis conference with highly curated content, facilitated networking and elevated experiences.",1-10,1.0,Seed,2019-11-15,5000000.0,Seed,5000000.0,1.0,1-10,Private,,,,,,0,5,2019,15855,False,False
Product Marketing Alliance,2019-02-20,https://productmarketingalliance.com,"San Francisco, California, United States","Advertising, Data and Analytics, Design, Other, Sales and Marketing","Advertising, Digital Marketing, Market Research, Marketing, Product Management, Product Research",177039.0,"Product Marketing Alliance is a collective of passionate product marketing managers committed to driving demand, adoption and the overall success of their products.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,20421,False,False
Woflow,2019-04-01,https://www.woflow.com,"San Francisco, California, United States","Data and Analytics, Hardware, Information Technology, Internet Services, Sales and Marketing, Software","Analytics, Cloud Infrastructure, CRM, Information Technology, SaaS",17586.0,Woflow is a leader in catalog digitization and data management providing the world's first Merchant Data Platform. Woflow helps industry-defining platforms and marketplaces create and maintain complex structured data at scale.,11-50,3.0,Early Stage Venture,2022-01-25,7300000.0,Series A,10925000.0,2.0,11-50,Private,,,,,,0,4,2019,893,False,False
The Everymom,2021-01-01,https://theeverymom.com,"Chicago, Illinois, United States","Commerce and Shopping, Internet Services, Media and Entertainment","Internet, Media and Entertainment, Retail, Shopping",554796.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,39873,False,False
Southwest Capital Group,2019-01-01,https://southwestcapitalgroup.com/,"Austin, Texas, United States","Financial Services, Real Estate","Construction, Financial Services",2691000.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,84568,False,False
Waylanders Company,2020-01-01,https://waylanders.com,"Bonita Springs, Florida, United States",Transportation,"Delivery Service, Logistics, Transportation",660428.0,,51-100,0.0,,,0.0,,0.0,,51-100,Private,,,,,,6,4,2020,43335,False,False
YOUBE,2020-01-01,http://www.yoube.today,"Los Angeles, California, United States",Real Estate,Coworking,1528416.0,"We are a new take on reliable, tech-driven, drop-in by-the-hour co-working / shared space. Our mission is to empower you with the flexibility to work where and when you need. The need for places freelancers and entrepreneurs alike to go is growing, along with other professionals who don’t desire to have a dedicated office every day. Whether you are dropping in for just an hour or you need to balance your overhead, we have affordable options all around. The brilliant thing is that membership gives you access to all of our locations in Los Angeles and soon-to-be nationwide. We are the future of co-working! YOUBE. We will be everywhere you need to be.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,63664,False,False
Gluroo,2020-08-28,https://www.gluroo.com/,"Los Altos, California, United States",Health Care,Health Care,309764.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2020,29294,False,False
Strand Composites,2020-01-01,https://www.strandcomposites.com,"Harrison, New York, United States","Design, Manufacturing","Industrial, Machinery Manufacturing, Manufacturing, Product Design",1515946.0,"Strand Composites creates and produces FRP containers, pipelines, and ducts. Strand Composites is a custom fabricator that creates fiberglass-reinforced plastic storage tanks and process vessels for the containment and handling of corrosive chemicals.",51-100,0.0,,,0.0,,0.0,,51-100,Private,,,0.0,1.0,,6,4,2020,62329,False,False
Sasco Media,2022-01-01,https://www.sascomedia.com,"Westport, Connecticut, United States","Advertising, Sales and Marketing","Advertising, Digital Marketing, Marketing",1373797.0,"Sasco Media is a full-service, digital performance marketing agency that solves problems and formulates strategies to help a company grow. The company aims to streamline the process by selecting the right partner and technology to match the clients’ specific needs and safely preserve their digital footprint. It was founded in 2022 and is located in Westport, CT",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,60399,False,False
AllCure,2020-06-01,https://www.allcure.co,"San Francisco, California, United States","Health Care, Information Technology, Internet Services","Health Care, Information Services, Information Technology, Internet, Medical",1355898.0,AllCure is an online medical platform for immigrants and minorities to connect patients with medical providers who speak their native languages / understand their cultures so that patients can get BETTER treatment and lead a HEALTHY life.  CURE EVERYONE CURE EVERYTHING!,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2020,59144,False,False
Loan House,2020-01-01,https://loanhouse.us,"Boca Raton, Florida, United States",Financial Services,Financial Services,1099558.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,54291,False,False
Full Picture Media,2020-01-01,https://fullpicturemedia.com/,"San Francisco, California, United States","Content and Publishing, Events, Media and Entertainment, Video","Content, Events, Media and Entertainment, Video Editing",3070730.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,89613,False,False
ChiroSolutions Center,2019-01-01,https://mychirosolutions.com,"Virginia Beach, Virginia, United States",Health Care,"Health Care, Medical, Rehabilitation",1213862.0,"The ChiroSolutions Center provides chiropractic care, rehabilitation and adjustments, personal training, nutritional guidance and supplements, weight loss, bstrong4life, and silver sneakers. An online inquiry form is available on the company's website.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,55963,False,False
Fixmate,2020-01-01,https://fixmate.io/,"Boston, Massachusetts, United States","Apps, Hardware, Mobile, Software","Apps, Augmented Reality, Enterprise Applications, Mobile Apps",1485401.0,Augmented reality remote assistance. Fixmate enables peer-to- peer virtual communication and interaction through digital marks on your video calls with your peers/customers. These are some reasons why an expert should use Fixmate: 1.) Interactive business calls that help you to drive your business and grow. 2.) It cuts down on travel costs. 3. ) You can measure anything on a real-time video call.  4.) You could point to things in real-time to make sure your client is getting the directions they need.,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,4,2020,62925,False,False
MindCart AI,2020-01-01,https://www.mindcart.ai/,"Allentown, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",598244.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,41361,False,False
Paytegrity,2021-01-01,https://pay-tegrity.com,"Jacksonville, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Payments, Software","Analytics, Health Care, Machine Learning, Payments",727392.0,"Paytegrity is a data-driven, machine-learning-based healthcare analytics start-up specializing in payment integrity, fraud, waste, and abuse. They provide risk assessment and analysis, special projects and pilots, a payright prepay rules engine, pi program development, payright advisory services, and vendor transition support.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,3,2021,45282,False,False
Fintech Advisors,2021-01-01,https://fintechadvisors.us,"Royal Palm Beach, Florida, United States","Financial Services, Media and Entertainment, Professional Services","Advice, Consulting, Financial Services, FinTech",1580256.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,64195,False,False
